Metoda,Zwyciestwa,Udzial_%,sr_delta_pp,mediana_delta_pp,istotnych
IQR,56,14.6,2.0969696428571427,1.0652,17
PCA Mahalanobis,53,13.8,4.236377358490566,2.7963,32
Robust Mahalanobis,46,12.0,7.262752173913044,5.526,34
MAD,30,7.8,4.030106666666667,1.0638999999999998,12
Percentile,22,5.7,3.1221227272727274,2.9516,16
OneClassSVM,20,5.2,3.035145,1.9356499999999999,8
Band Z-score,20,5.2,2.1739349999999997,1.7359,8
Erosion,19,4.9,3.6993,1.1806,6
LOF,18,4.7,0.9961,0.05905,3
HotellingT2,17,4.4,3.175582352941176,2.7155,9
PCA Reconstruction,17,4.4,2.786764705882353,0.2663,4
Mahalanobis,15,3.9,2.49486,1.3316,5
IsolationForest,13,3.4,4.449638461538462,2.2432,7
GMM,12,3.1,1.7990666666666666,0.7674000000000001,4
EllipticEnvelope,10,2.6,3.2321999999999997,2.6467,5
SAM,10,2.6,2.89425,1.2046,5
kNN,6,1.6,1.0011666666666668,0.8655,1
