klasa,nazwa_klasy,poligon,liczba_pikseli,cv_max_proc,pasmo
1,pole zaorane,1,131,8.83768225411,B4
1,pole zaorane,2,104,5.51246576344,B12
1,pole zaorane,3,147,13.1589945031,B4
1,pole zaorane,4,145,7.88536998646,B8
1,pole zaorane,5,112,10.5452919228,B4
1,pole zaorane,6,153,3.33406019885,B12
1,pole zaorane,7,132,9.12704617828,B8A
1,pole zaorane,8,161,13.0155612521,B8A
2,droga,1,75,14.1177092881,B8
2,droga,2,78,9.18062533945,B8A
2,droga,3,99,10.118731612,B4
2,droga,4,74,5.39748682417,B4
2,droga,5,126,7.62423313691,B5
3,plaża,1,91,29.2883476756,B12
3,plaża,2,95,40.9026281021,B12
3,plaża,3,99,19.4971709984,B12
3,plaża,4,138,18.1199073926,B4
3,plaża,5,99,17.2996963605,B8
3,plaża,6,101,16.3718454236,B12
3,plaża,7,121,13.4942689608,B8
4,las,1,124,8.86446194022,B11
4,las,2,120,14.767607359,B8
4,las,3,138,8.78966943339,B8
4,las,4,153,9.14292049765,B8
4,las,5,128,5.92217389463,B11
4,las,6,100,10.9034648374,B4
5,zabudowa,1,92,14.9079821528,B4
5,zabudowa,2,189,22.0144436992,B12
5,zabudowa,3,70,15.0560109458,B4
5,zabudowa,4,86,9.56456928913,B12
5,zabudowa,5,113,22.7937133613,B4
5,zabudowa,6,115,21.2451871005,B4
5,zabudowa,7,62,18.233179368,B4
6,woda,1,159,39.7595104932,B8A
6,woda,2,173,24.8614744508,B8
6,woda,3,169,17.2460586841,B11
6,woda,4,173,13.2915812857,B8A
6,woda,5,206,12.1116557342,B8A
6,woda,6,165,56.2847094675,B11
7,pole z roślinnością,1,154,13.2265663646,B8
7,pole z roślinnością,2,178,15.9565090391,B8
7,pole z roślinnością,3,137,3.10897111387,B8
7,pole z roślinnością,4,124,11.8067080025,B6
7,pole z roślinnością,5,162,10.0525019629,B12
7,pole z roślinnością,6,140,24.1785111713,B12
7,pole z roślinnością,7,186,11.2520911095,B12
7,pole z roślinnością,8,119,8.75939148276,B7
