klasa,nazwa_klasy,poligon,liczba_pikseli,cv_max_proc,pasmo
1,pole zaorane,1,134,1.12064169938,B12
1,pole zaorane,2,101,1.91662508912,B12
1,pole zaorane,3,148,2.27870337455,B8
1,pole zaorane,4,150,3.68256868466,B12
1,pole zaorane,5,111,4.10714474254,B4
1,pole zaorane,6,150,3.5139229219,B12
1,pole zaorane,7,133,0.936409635085,B8
1,pole zaorane,8,162,6.1443287173,B12
2,droga,1,75,3.77845184135,B4
2,droga,2,76,4.79763382641,B8
2,droga,3,99,4.35430045553,B1
2,droga,4,74,3.72073545752,B8A
2,droga,5,125,4.49009212928,B11
3,plaża,1,92,6.02548100536,B12
3,plaża,2,95,5.45999002495,B12
3,plaża,3,99,4.47876314455,B1
3,plaża,4,140,6.13251323536,B12
3,plaża,5,101,6.04584626319,B1
3,plaża,6,101,5.37104513249,B12
3,plaża,7,119,5.05733359949,B1
4,las,1,120,2.77002883578,B8
4,las,2,116,3.78655458852,B8
4,las,3,149,6.18824837167,B8
4,las,4,148,5.89207979441,B8
4,las,5,125,3.34874169717,B8
4,las,6,104,5.95887425711,B8
5,zabudowa,1,91,4.55345606406,B2
5,zabudowa,2,185,5.16417514711,B1
5,zabudowa,3,70,5.56237842055,B12
5,zabudowa,4,86,7.70122857639,B12
5,zabudowa,5,114,9.16911607242,B1
5,zabudowa,6,101,7.15119481372,B4
5,zabudowa,7,63,8.06876501608,B12
6,woda,1,159,0.422518778925,B12
6,woda,2,174,0.720444686647,B8A
6,woda,3,171,0.623539462923,B8A
6,woda,4,180,0.820777891075,B8A
6,woda,5,200,0.494100307961,B8
6,woda,6,166,1.14279013316,B5
7,pole z roślinnością,1,154,5.09343429563,B8
7,pole z roślinnością,2,177,2.06247250782,B8
7,pole z roślinnością,3,135,2.4815792875,B8
7,pole z roślinnością,4,125,5.88302667815,B8
7,pole z roślinnością,5,163,2.65363056063,B4
7,pole z roślinnością,6,139,2.48290104643,B8
7,pole z roślinnością,7,188,0.897039070555,B5
7,pole z roślinnością,8,118,3.57622209322,B12
