Metoda,ROI_mediana_ms,ROI_maks_ms,Klasa_mediana_ms,Klasa_maks_ms,n_obszarow,n_klas
IsolationForest,136.4,656.5,160.9,179.7,47,7
EllipticEnvelope,43.4,70.1,267.5,358.5,47,7
Robust Mahalanobis,29.1,60.4,492.8,639.0,47,7
PCA,15.0,26.8,206.9,235.1,47,7
GMM,4.6,17.2,17.0,30.4,47,7
LOF,3.2,5.0,4.4,5.6,47,7
kNN,3.0,3.4,3.6,4.3,47,7
Mahalanobis,0.8,1.2,1.1,1.4,47,7
HotellingT2,0.7,1.4,1.0,1.4,47,7
MAD,0.5,0.6,1.1,1.2,47,7
PCA Reconstruction,0.5,0.5,0.9,1.1,47,7
OneClassSVM,0.5,0.7,1.6,2.5,47,7
Percentile,0.4,0.4,0.7,0.9,47,7
IQR,0.4,0.5,0.8,1.1,47,7
Band Z-score,0.3,0.3,0.5,0.7,47,7
SAM,0.3,0.4,0.5,0.6,47,7
Erosion,0.1,0.1,0.1,0.1,47,7
