Wariant,Stan,Raster,Zakres,Algorytm,OA_bazowe_%,Kappa_bazowe,Najlepsza_metoda,Delta_OA_pp,Istotne_lok
123456,poprawny,L1C,roi,maximum likelihood,70.1299,0.6211,OneClassSVM,+2.3613,TAK
123456,poprawny,L1C,roi,random forest,70.4841,0.6191,PCA Reconstruction,+1.2987,nie
123456,poprawny,L1C,roi,multi-layer perceptron,82.4085,0.7420,OneClassSVM,+1.6529,nie
123456,poprawny,L1C,roi,support vector machine,87.7214,0.8246,LOF,+0.0000,nie
123456,poprawny,L1C,roi,spectral angle mapping,85.7143,0.7986,MAD,+0.0000,nie
123456,poprawny,L1C,roi,minimum distance,81.9362,0.7406,IQR,+0.2361,nie
123456,poprawny,L1C,class,maximum likelihood,70.1299,0.6211,HotellingT2,+3.6600,TAK
123456,poprawny,L1C,class,random forest,70.1299,0.6152,Band Z-score,+2.9516,TAK
123456,poprawny,L1C,class,multi-layer perceptron,83.5891,0.7681,EllipticEnvelope,+1.2987,nie
123456,poprawny,L1C,class,support vector machine,87.7214,0.8246,GMM,+0.1181,nie
123456,poprawny,L1C,class,spectral angle mapping,85.7143,0.7986,Band Z-score,+0.1181,nie
123456,poprawny,L1C,class,minimum distance,81.9362,0.7406,IQR,+1.4168,nie
123456,zbledami,L1C,roi,maximum likelihood,54.7816,0.4611,Erosion,+11.4522,TAK
123456,zbledami,L1C,roi,random forest,63.4002,0.5436,OneClassSVM,+2.0071,nie
123456,zbledami,L1C,roi,multi-layer perceptron,80.0472,0.7320,SAM,+7.9103,TAK
123456,zbledami,L1C,roi,support vector machine,88.3117,0.8336,Band Z-score,+0.2361,nie
123456,zbledami,L1C,roi,spectral angle mapping,88.4298,0.8370,IQR,+0.7084,nie
123456,zbledami,L1C,roi,minimum distance,84.2975,0.7755,LOF,+0.1181,nie
123456,zbledami,L1C,class,maximum likelihood,54.7816,0.4611,Robust Mahalanobis,+21.2515,TAK
123456,zbledami,L1C,class,random forest,63.4002,0.5436,IsolationForest,+6.1393,TAK
123456,zbledami,L1C,class,multi-layer perceptron,80.0472,0.7320,GMM,+6.3754,TAK
