Konfiguracja,maximum likelihood,random forest,minimum distance,spectral angle mapping,support vector machine,multi-layer perceptron
MAD → PCA Mahalanobis,54.8996,48.1700,79.9292,81.8182,82.0543,79.4569
"Ensemble[Robust Mahalanobis, Percentile]",57.2609,45.9268,75.4427,77.6860,79.1027,81.8182
MAD → Robust Mahalanobis,66.5880,42.6210,79.5750,79.3388,81.8182,70.4841
"Ensemble[PCA Mahalanobis, Robust Mahalanobis]",61.7473,44.1558,76.5053,81.7001,78.5124,78.7485
Percentile → SAM,57.1429,46.1629,75.4427,77.9221,80.2834,81.5821
PCA Mahalanobis,43.8017,40.4959,76.3872,80.8737,78.1582,74.9705
PCA Mahalanobis → SAM,37.3081,40.8501,76.2692,80.7556,78.0401,77.6860
Percentile → Robust Mahalanobis,51.1216,40.8501,76.8595,80.6375,80.2834,74.9705
SAM → Percentile,57.3790,46.3991,75.5608,78.0401,80.6375,75.9150
PCA Mahalanobis → Percentile,63.8725,40.2597,76.2692,80.5195,77.4498,70.3660
Robust Mahalanobis → Percentile,61.5112,42.8571,75.9150,80.1653,75.3247,70.6021
PCA Mahalanobis → MAD,7.3200,36.3636,75.5608,79.6930,76.9776,74.8524
Percentile → MAD,49.7048,44.7462,76.6234,76.8595,78.9847,79.6930
Percentile → PCA Mahalanobis,55.1358,38.9610,76.6234,79.6930,79.5750,74.1440
Robust Mahalanobis → SAM,26.9185,41.6765,75.9150,79.6930,75.5608,77.2137
"Ensemble[PCA Mahalanobis, Percentile]",58.0874,46.3991,75.3247,77.5679,78.7485,79.5750
Robust Mahalanobis,26.8005,42.3849,75.9150,79.4569,74.9705,77.3318
Percentile,57.6151,46.8713,75.3247,77.8040,79.2208,79.3388
Robust Mahalanobis → PCA Mahalanobis,64.2267,39.4333,75.3247,79.3388,76.7414,72.4911
SAM → PCA Mahalanobis,59.7403,39.6694,75.7969,79.3388,77.3318,76.3872
SAM → Robust Mahalanobis,26.9185,42.5030,76.5053,79.3388,76.3872,76.5053
"Ensemble[PCA Mahalanobis, SAM]",55.6080,45.9268,75.3247,77.2137,78.9847,78.0401
"Ensemble[Robust Mahalanobis, SAM]",55.6080,45.8087,75.3247,77.2137,78.9847,77.5679
SAM,55.6080,45.6907,75.3247,77.2137,78.9847,76.0331
"Ensemble[Percentile, SAM]",55.6080,46.5171,75.3247,77.2137,78.8666,78.3943
SAM → MAD,34.3566,42.3849,73.1995,75.4427,76.6234,78.8666
Poziom bazowy,56.3164,46.3991,75.3247,76.8595,78.7485,75.2066
"Ensemble[MAD, SAM]",55.7261,46.1629,75.2066,76.5053,78.6305,74.6163
PCA Mahalanobis → Robust Mahalanobis,10.5077,39.3152,75.6789,78.6305,76.8595,72.9634
MAD → Percentile,58.2054,43.4475,75.5608,75.7969,78.5124,77.2137
"Ensemble[PCA Mahalanobis, MAD]",43.3294,46.5171,73.4357,74.8524,75.3247,78.1582
Robust Mahalanobis → MAD,34.4746,64.1086,75.6789,78.1582,77.5679,62.2196
"Ensemble[MAD, Percentile]",57.1429,46.0449,75.3247,76.3872,78.0401,71.4286
MAD → SAM,33.5301,42.3849,72.7273,75.3247,76.3872,77.8040
MAD,43.2113,46.2810,73.1995,74.7344,75.6789,76.5053
"Ensemble[Robust Mahalanobis, MAD]",57.6151,45.1004,72.0189,75.5608,76.0331,73.5537
