Konfiguracja,maximum likelihood,random forest,minimum distance,spectral angle mapping,support vector machine,multi-layer perceptron
Robust Mahalanobis → PCA Mahalanobis,11.3341,63.6364,82.2904,79.8111,85.8323,66.7060
"Ensemble[PCA Mahalanobis, SAM]",46.5171,45.1004,78.7485,81.3459,81.7001,85.3601
SAM,46.5171,46.3991,78.7485,81.3459,81.7001,85.3601
Percentile → MAD,48.2881,60.8028,79.1027,80.6375,84.1795,78.0401
MAD,46.7532,59.2680,79.2208,81.2279,83.4711,71.7828
MAD → Percentile,38.2527,59.3861,78.8666,80.6375,83.4711,77.0956
"Ensemble[PCA Mahalanobis, MAD]",46.9894,60.3306,79.2208,81.2279,83.3530,77.2137
MAD → SAM,47.6978,60.8028,79.4569,80.9917,83.2349,78.5124
SAM → MAD,47.9339,59.8583,79.1027,80.9917,83.2349,78.0401
SAM → Percentile,46.7532,46.2810,78.1582,79.8111,83.2349,78.1582
Percentile → SAM,47.2255,43.6836,78.3943,80.4014,83.1169,82.1724
"Ensemble[Robust Mahalanobis, MAD]",46.9894,57.8512,78.0401,80.9917,82.7627,78.3943
Percentile,47.6978,44.5100,78.5124,80.5195,82.6446,80.2834
"Ensemble[PCA Mahalanobis, Percentile]",47.4616,44.1558,78.8666,80.5195,82.4085,80.4014
"Ensemble[Robust Mahalanobis, Percentile]",47.5797,44.6281,78.6305,79.8111,82.4085,75.9150
"Ensemble[MAD, Percentile]",45.6907,43.9197,78.8666,81.4640,81.9362,69.8937
PCA Mahalanobis → SAM,9.3270,48.1700,78.1582,78.5124,81.9362,79.9292
Poziom bazowy,46.3991,42.6210,79.4569,81.8182,81.7001,74.7344
"Ensemble[Percentile, SAM]",46.5171,43.3294,78.7485,81.3459,81.7001,71.5466
"Ensemble[Robust Mahalanobis, SAM]",46.5171,46.3991,78.7485,81.3459,81.7001,80.2834
"Ensemble[MAD, SAM]",45.3365,44.9823,78.7485,81.5821,81.5821,80.1653
PCA Mahalanobis,9.3270,47.5797,78.1582,78.0401,81.2279,79.6930
Percentile → PCA Mahalanobis,9.3270,45.8087,77.6860,78.7485,81.2279,73.9079
SAM → PCA Mahalanobis,9.3270,47.6978,77.8040,78.5124,81.1098,77.8040
PCA Mahalanobis → MAD,9.3270,47.5797,77.5679,78.1582,80.8737,77.8040
"Ensemble[PCA Mahalanobis, Robust Mahalanobis]",9.3270,46.9894,78.1582,78.2763,80.6375,75.2066
PCA Mahalanobis → Percentile,9.3270,44.0378,78.2763,79.3388,80.5195,75.4427
Robust Mahalanobis → MAD,57.2609,44.8642,76.8595,80.4014,77.6860,68.8312
MAD → Robust Mahalanobis,8.2645,44.0378,77.2137,78.7485,79.5750,74.6163
MAD → PCA Mahalanobis,9.3270,45.9268,77.2137,78.6305,78.5124,78.3943
Robust Mahalanobis → Percentile,11.2161,44.9823,76.7414,78.5124,77.5679,77.6860
Robust Mahalanobis → SAM,57.7332,45.8087,77.2137,78.5124,76.8595,76.7414
Robust Mahalanobis,57.4970,45.2184,77.0956,77.9221,76.1511,77.0956
SAM → Robust Mahalanobis,57.9693,44.8642,77.0956,77.9221,76.2692,68.0047
PCA Mahalanobis → Robust Mahalanobis,1.7710,40.4959,75.5608,75.7969,77.8040,75.9150
Percentile → Robust Mahalanobis,38.6068,45.5726,77.3318,77.6860,76.6234,73.4357
