Run_ID,Algorytm,Metoda,n_punktow,OA_bazowa_%,OA_bazowa_CI_dol_%,OA_bazowa_CI_gora_%,OA_metody_%,OA_metody_CI_dol_%,OA_metody_CI_gora_%,Delta_pp,Delta_CI_dol_pp,Delta_CI_gora_pp,CI_wyklucza_zero,F1_makro_bazowa_%,F1_makro_metody_%,Delta_F1_makro_pp
1234567_poprawny_L1C_class,maximum likelihood,HotellingT2,847,56.3164,52.9550,59.6207,59.0319,55.6865,62.2957,2.7155,1.2820,4.1489,TAK,62.5189,65.2567,2.7378
1234567_poprawny_L1C_class,random forest,PCA_Reconstruction,847,48.5242,45.1727,51.8891,48.2881,44.9381,51.6535,-0.2361,-1.5035,1.0312,nie,57.2920,57.2140,-0.0780
1234567_poprawny_L1C_class,multi-layer perceptron,LOF,847,76.7414,73.7794,79.4620,80.8737,78.0879,83.3806,4.1322,2.0944,6.1701,TAK,74.5356,77.4958,2.9602
1234567_poprawny_L1C_class,support vector machine,Percentile,847,78.7485,75.8669,81.3706,79.2208,76.3595,81.8182,0.4723,-0.7072,1.6517,nie,77.9167,77.1495,-0.7673
1234567_poprawny_L1C_class,spectral angle mapping,PCA,847,76.8595,73.9019,79.5746,80.8737,78.0879,83.3806,4.0142,1.4516,6.5767,TAK,76.0289,75.6184,-0.4106
1234567_poprawny_L1C_class,minimum distance,PCA,847,75.3247,72.3112,78.1094,76.3872,73.4119,79.1243,1.0626,-1.5442,3.6693,nie,72.8283,69.1808,-3.6475
1234567_poprawny_L1C_roi,maximum likelihood,OneClassSVM,847,56.3164,52.9550,59.6207,57.2609,53.9039,60.5523,0.9445,-0.2337,2.1227,nie,62.5189,63.5882,1.0693
1234567_poprawny_L1C_roi,random forest,PCA,847,46.1629,42.8305,49.5300,47.6978,44.3521,51.0643,1.5348,0.0568,3.0129,TAK,55.1520,57.1500,1.9980
1234567_poprawny_L1C_roi,multi-layer perceptron,PCA_Reconstruction,847,71.7828,68.6588,74.7101,80.9917,78.2117,83.4919,9.2090,6.6445,11.7734,TAK,66.4527,78.7876,12.3349
1234567_poprawny_L1C_roi,support vector machine,GMM,847,78.7485,75.8669,81.3706,78.8666,75.9900,81.4825,0.1181,-0.4941,0.7302,nie,77.9167,77.7278,-0.1889
1234567_poprawny_L1C_roi,spectral angle mapping,IQR,847,76.8595,73.9019,79.5746,77.5679,74.6378,80.2490,0.7084,-0.3254,1.7421,nie,76.0289,76.4209,0.3920
1234567_poprawny_L1C_roi,minimum distance,IQR,847,75.3247,72.3112,78.1094,75.7969,72.8001,78.5608,0.4723,-0.0937,1.0382,nie,72.8283,73.1871,0.3589
1234567_poprawny_L2A_class,maximum likelihood,Percentile,847,60.3306,56.9964,63.5714,62.2196,58.9062,65.4227,1.8890,0.3247,3.4533,TAK,64.4919,65.4565,0.9646
1234567_poprawny_L2A_class,random forest,Percentile,847,69.8937,66.7203,72.8875,73.4357,70.3602,76.2995,3.5419,1.9231,5.1607,TAK,68.8101,71.2686,2.4585
1234567_poprawny_L2A_class,multi-layer perceptron,SAM,847,74.1440,71.0910,76.9790,79.8111,76.9760,82.3771,5.6671,3.1187,8.2154,TAK,68.8563,75.6483,6.7919
1234567_poprawny_L2A_class,support vector machine,Robust_Mahalanobis,847,74.7344,71.7008,77.5446,79.8111,76.9760,82.3771,5.0767,2.2162,7.9373,TAK,73.6092,74.3498,0.7406
1234567_poprawny_L2A_class,spectral angle mapping,Robust_Mahalanobis,847,72.0189,68.9015,74.9374,76.5053,73.5344,79.2369,4.4864,2.5463,6.4265,TAK,69.9010,72.2623,2.3613
1234567_poprawny_L2A_class,minimum distance,Robust_Mahalanobis,847,72.7273,69.6304,75.6189,76.8595,73.9019,79.5746,4.1322,1.5188,6.7457,TAK,69.8775,70.5853,0.7078
1234567_poprawny_L2A_roi,maximum likelihood,Mahalanobis,847,60.3306,56.9964,63.5714,62.2196,58.9062,65.4227,1.8890,0.5457,3.2323,TAK,64.4919,66.2386,1.7468
1234567_poprawny_L2A_roi,random forest,LOF,847,69.8937,66.7203,72.8875,72.6092,69.5088,75.5054,2.7155,1.4828,3.9481,TAK,68.8101,70.8442,2.0340
1234567_poprawny_L2A_roi,multi-layer perceptron,OneClassSVM,847,74.1440,71.0910,76.9790,78.1582,75.2519,80.8102,4.0142,1.8112,6.2172,TAK,68.8563,74.4342,5.5778
1234567_poprawny_L2A_roi,support vector machine,IQR,847,74.7344,71.7008,77.5446,75.4427,72.4334,78.2223,0.7084,-0.5582,1.9749,nie,73.6092,73.6312,0.0220
