pasmo,dlugosc_fali_um,klasa_1,klasa_2,klasa_3,klasa_4,klasa_5,klasa_6,klasa_7
B1,0.443,2481.66267281,2607.17699115,2723.72715054,2195.67889908,3075.89683631,2183.20095694,2341.32833333
B2,0.49,2319.79262673,2521.61725664,2946.59005376,1863.39187418,3089.24621733,1835.32727273,2088.50666667
B3,0.56,2262.0516129,2448.42699115,3138.23252688,1708.55176933,3021.29848693,1600.97033493,2114.04416667
B4,0.665,2455.04792627,2475.29424779,3531.37903226,1427.38007864,3225.27235213,1347.57799043,1789.24
B5,0.705,2585.20552995,2533.3539823,3518.81989247,1720.02228047,3223.3301238,1372.97416268,2291.87833333
B6,0.74,2842.88202765,2835.46238938,3793.13844086,3111.4757536,3411.04264099,1355.77894737,4133.725
B7,0.783,3095.9640553,3015.93584071,4087.20967742,3791.07863696,3604.00825309,1377.04210526,4893.18166667
B8,0.842,3073.5437788,2870.96017699,4016.65860215,3745.80996068,3444.25447043,1294.13301435,4766.69916667
B8A,0.865,3341.63225806,3096.10176991,4314.91666667,4147.12057667,3701.29160935,1333.0784689,5201.43166667
B9,0.945,1566.24700461,1546.24115044,1563.08064516,1719.88728702,1572.65474553,1112.70909091,1822.8875
B10,1.375,1026.35668203,1009.69026549,1010.48521505,1009.41284404,1010.69325997,1009.07751196,1018.57083333
B11,1.61,3933.89769585,2827.09955752,4734.16666667,2282.75229358,3630.25171939,1182.95023923,3022.63666667
B12,2.19,3241.23410138,2504.54424779,4377.48252688,1519.93053735,3134.56671252,1129.91961722,2015.13083333
