Run_ID,Algorytm,Metoda,DA_bazowa_%,DA_metody_%,Delta_DA_pp,b,c,p,p_Holm_rodzina,Rodzina_n,Istotne_005
1234567_poprawny_L1C_class,maximum likelihood,HotellingT2,56.3164,59.0319,2.7155,8,31,0.0004,0.0354,102,TAK
1234567_poprawny_L1C_class,random forest,PCA_Reconstruction,48.5242,48.2881,-0.2361,16,14,0.8551,1.0000,102,nie
1234567_poprawny_L1C_class,multi-layer perceptron,LOF,76.7414,80.8737,4.1322,22,57,0.0001,0.0114,102,TAK
1234567_poprawny_L1C_class,support vector machine,Percentile,78.7485,79.2208,0.4723,11,15,0.5563,1.0000,102,nie
1234567_poprawny_L1C_class,spectral angle mapping,PCA,76.8595,80.8737,4.0142,45,79,0.0030,0.2312,102,nie
1234567_poprawny_L1C_class,minimum distance,PCA,75.3247,76.3872,1.0626,59,68,0.4778,1.0000,102,nie
1234567_poprawny_L1C_roi,maximum likelihood,OneClassSVM,56.3164,57.2609,0.9445,9,17,0.1698,1.0000,102,nie
1234567_poprawny_L1C_roi,random forest,PCA,46.1629,47.6978,1.5348,14,27,0.0609,1.0000,102,nie
1234567_poprawny_L1C_roi,multi-layer perceptron,PCA_Reconstruction,71.7828,80.9917,9.2090,26,104,0.0000,0.0000,102,TAK
1234567_poprawny_L1C_roi,support vector machine,GMM,78.7485,78.8666,0.1181,3,4,1.0000,1.0000,102,nie
1234567_poprawny_L1C_roi,spectral angle mapping,IQR,76.8595,77.5679,0.7084,7,13,0.2632,1.0000,102,nie
1234567_poprawny_L1C_roi,minimum distance,IQR,75.3247,75.7969,0.4723,1,5,0.2188,1.0000,102,nie
1234567_poprawny_L2A_class,maximum likelihood,Percentile,60.3306,62.2196,1.8890,15,31,0.0270,1.0000,102,nie
1234567_poprawny_L2A_class,random forest,Percentile,69.8937,73.4357,3.5419,10,40,0.0000,0.0039,102,TAK
1234567_poprawny_L2A_class,multi-layer perceptron,SAM,74.1440,79.8111,5.6671,38,86,0.0000,0.0023,102,TAK
1234567_poprawny_L2A_class,support vector machine,Robust_Mahalanobis,74.7344,79.8111,5.0767,56,99,0.0007,0.0668,102,nie
1234567_poprawny_L2A_class,spectral angle mapping,Robust_Mahalanobis,72.0189,76.5053,4.4864,17,55,0.0000,0.0013,102,TAK
1234567_poprawny_L2A_class,minimum distance,Robust_Mahalanobis,72.7273,76.8595,4.1322,47,82,0.0028,0.2372,102,nie
1234567_poprawny_L2A_roi,maximum likelihood,Mahalanobis,60.3306,62.2196,1.8890,9,25,0.0101,0.9491,102,nie
1234567_poprawny_L2A_roi,random forest,LOF,69.8937,72.6092,2.7155,3,26,0.0000,0.0045,102,TAK
1234567_poprawny_L2A_roi,multi-layer perceptron,OneClassSVM,74.1440,78.1582,4.0142,29,63,0.0006,0.0581,102,nie
1234567_poprawny_L2A_roi,support vector machine,IQR,74.7344,75.4427,0.7084,12,18,0.3613,1.0000,102,nie
1234567_poprawny_L2A_roi,spectral angle mapping,Erosion,72.0189,72.4911,0.4723,5,9,0.4240,1.0000,102,nie
1234567_poprawny_L2A_roi,minimum distance,PCA,72.7273,73.3176,0.5903,5,10,0.3018,1.0000,102,nie
1234567_zbledami_L1C_class,maximum likelihood,Robust_Mahalanobis,46.3991,57.4970,11.0980,38,132,0.0000,0.0000,102,TAK
1234567_zbledami_L1C_class,random forest,MAD,42.7391,59.2680,16.5289,38,178,0.0000,0.0000,102,TAK
1234567_zbledami_L1C_class,multi-layer perceptron,Percentile,78.8666,82.8808,4.0142,27,61,0.0004,0.0366,102,TAK
1234567_zbledami_L1C_class,support vector machine,IQR,81.7001,84.5336,2.8335,24,48,0.0067,0.5105,102,nie
