Run_ID,Algorytm,Metoda,DA_bazowa_%,DA_metody_%,Delta_DA_pp,b,c,p,p_Holm_rodzina,Rodzina_n,Istotne_005
1234567_poprawny_L1C_class,maximum likelihood,GMM,56.3164,56.4345,0.1181,11,12,1.0000,1.0000,102,nie
1234567_poprawny_L1C_class,maximum likelihood,Mahalanobis,56.3164,58.9138,2.5974,7,29,0.0005,0.0377,102,TAK
1234567_poprawny_L1C_class,maximum likelihood,IsolationForest,56.3164,56.3164,0.0000,12,12,1.0000,1.0000,102,nie
1234567_poprawny_L1C_class,maximum likelihood,PCA_Reconstruction,56.3164,56.1983,-0.1181,10,9,1.0000,1.0000,102,nie
1234567_poprawny_L1C_class,maximum likelihood,Robust_Mahalanobis,56.3164,26.8005,-29.5159,295,45,0.0000,0.0000,102,TAK
1234567_poprawny_L1C_class,maximum likelihood,SAM,56.3164,55.6080,-0.7084,12,6,0.2379,1.0000,102,nie
1234567_poprawny_L1C_class,maximum likelihood,HotellingT2,56.3164,59.0319,2.7155,8,31,0.0004,0.0354,102,TAK
1234567_poprawny_L1C_class,maximum likelihood,MAD,56.3164,43.2113,-13.1051,393,282,0.0000,0.0021,102,TAK
1234567_poprawny_L1C_class,maximum likelihood,IQR,56.3164,48.0519,-8.2645,113,43,0.0000,0.0000,102,TAK
1234567_poprawny_L1C_class,maximum likelihood,EllipticEnvelope,56.3164,56.4345,0.1181,9,10,1.0000,1.0000,102,nie
1234567_poprawny_L1C_class,maximum likelihood,OneClassSVM,56.3164,53.2468,-3.0697,51,25,0.0041,0.3060,102,nie
1234567_poprawny_L1C_class,maximum likelihood,LOF,56.3164,57.2609,0.9445,9,17,0.1698,1.0000,102,nie
1234567_poprawny_L1C_class,maximum likelihood,Erosion,56.3164,11.2161,-45.1004,408,26,0.0000,0.0000,102,TAK
1234567_poprawny_L1C_class,maximum likelihood,kNN,56.3164,55.6080,-0.7084,12,6,0.2379,1.0000,102,nie
1234567_poprawny_L1C_class,maximum likelihood,PCA,56.3164,43.8017,-12.5148,165,59,0.0000,0.0000,102,TAK
1234567_poprawny_L1C_class,maximum likelihood,Percentile,56.3164,57.6151,1.2987,28,39,0.2218,1.0000,102,nie
1234567_poprawny_L1C_class,maximum likelihood,Band_Z-score,56.3164,56.3164,0.0000,12,12,1.0000,1.0000,102,nie
1234567_poprawny_L1C_class,random forest,GMM,48.5242,46.6352,-1.8890,24,8,0.0080,0.5527,102,nie
1234567_poprawny_L1C_class,random forest,Robust_Mahalanobis,48.5242,41.7946,-6.7296,114,57,0.0000,0.0017,102,TAK
1234567_poprawny_L1C_class,random forest,Mahalanobis,48.5242,45.2184,-3.3058,32,4,0.0000,0.0006,102,TAK
1234567_poprawny_L1C_class,random forest,OneClassSVM,48.5242,46.3991,-2.1251,28,10,0.0058,0.4140,102,nie
1234567_poprawny_L1C_class,random forest,PCA,48.5242,41.0862,-7.4380,111,48,0.0000,0.0001,102,TAK
1234567_poprawny_L1C_class,random forest,SAM,48.5242,45.8087,-2.7155,31,8,0.0004,0.0354,102,TAK
1234567_poprawny_L1C_class,random forest,EllipticEnvelope,48.5242,45.1004,-3.4238,31,2,0.0000,0.0001,102,TAK
1234567_poprawny_L1C_class,random forest,kNN,48.5242,45.6907,-2.8335,26,2,0.0000,0.0013,102,TAK
1234567_poprawny_L1C_class,random forest,LOF,48.5242,46.0449,-2.4793,24,3,0.0001,0.0104,102,TAK
1234567_poprawny_L1C_class,random forest,Percentile,48.5242,45.8087,-2.7155,32,9,0.0006,0.0467,102,TAK
1234567_poprawny_L1C_class,random forest,IQR,48.5242,43.0933,-5.4309,66,20,0.0000,0.0001,102,TAK
1234567_poprawny_L1C_class,random forest,Erosion,48.5242,45.3365,-3.1877,37,10,0.0001,0.0128,102,TAK
1234567_poprawny_L1C_class,random forest,PCA_Reconstruction,48.5242,48.2881,-0.2361,16,14,0.8551,1.0000,102,nie
1234567_poprawny_L1C_class,random forest,Band_Z-score,48.5242,46.2810,-2.2432,26,7,0.0017,0.1348,102,nie
1234567_poprawny_L1C_class,random forest,IsolationForest,48.5242,45.4545,-3.0697,28,2,0.0000,0.0005,102,TAK
1234567_poprawny_L1C_class,random forest,MAD,48.5242,46.5171,-2.0071,43,26,0.0541,1.0000,102,nie
1234567_poprawny_L1C_class,random forest,HotellingT2,48.5242,45.6907,-2.8335,28,4,0.0000,0.0043,102,TAK
1234567_poprawny_L1C_class,multi-layer perceptron,Mahalanobis,76.7414,77.5679,0.8264,33,40,0.4825,1.0000,102,nie
1234567_poprawny_L1C_class,multi-layer perceptron,Band_Z-score,76.7414,74.2621,-2.4793,63,42,0.0510,1.0000,102,nie
1234567_poprawny_L1C_class,multi-layer perceptron,EllipticEnvelope,76.7414,76.6234,-0.1181,45,44,1.0000,1.0000,102,nie
1234567_poprawny_L1C_class,multi-layer perceptron,SAM,76.7414,79.2208,2.4793,37,58,0.0402,1.0000,102,nie
1234567_poprawny_L1C_class,multi-layer perceptron,PCA_Reconstruction,76.7414,78.1582,1.4168,34,46,0.2188,1.0000,102,nie
