Wariant,Stan,Raster,Zakres,Metoda,Calosc_s,Wycinanie_s,Detekcja_s,Sygnatury_s,Pozostale_s,Udzial_sygnatur_%,Udzial_detekcji_%,Wywolan_wycinania,Wywolan_detekcji,Obszarow_zmienionych,Obszarow_usunietych
1234567,zbledami,L1C,roi,MAD,53.3086,0.9895,0.0416,52.2082,0.0693,97.9,0.1,47,47,47,0
1234567,zbledami,L1C,roi,Band Z-score,53.1170,0.7853,0.0185,52.2693,0.0439,98.4,0.0,47,47,47,0
1234567,zbledami,L1C,roi,Percentile,53.1137,0.7810,0.0244,52.2574,0.0508,98.4,0.0,47,47,47,0
1234567,zbledami,L1C,roi,IQR,53.0559,0.7803,0.0231,52.2054,0.0471,98.4,0.0,47,47,47,0
1234567,zbledami,L1C,roi,Mahalanobis,53.2294,0.9050,0.0441,52.2278,0.0524,98.1,0.1,47,47,47,0
1234567,zbledami,L1C,roi,Robust Mahalanobis,54.1709,0.9626,0.7838,52.3699,0.0547,96.7,1.4,47,47,47,0
1234567,zbledami,L1C,roi,HotellingT2,53.4131,0.8733,0.0387,52.4484,0.0527,98.2,0.1,47,47,47,0
1234567,zbledami,L1C,roi,PCA Mahalanobis,54.0779,0.9010,0.6630,52.4631,0.0508,97.0,1.2,47,47,47,0
1234567,zbledami,L1C,roi,PCA Reconstruction,53.4477,0.7998,0.0299,52.5713,0.0467,98.4,0.1,47,47,47,0
1234567,zbledami,L1C,roi,GMM,53.5288,0.9179,0.1529,52.4031,0.0549,97.9,0.3,47,47,47,0
1234567,zbledami,L1C,roi,EllipticEnvelope,54.3208,0.9743,0.8004,52.4921,0.0541,96.6,1.5,47,47,47,0
1234567,zbledami,L1C,roi,IsolationForest,59.7953,1.0047,6.2866,52.4434,0.0604,87.7,10.5,47,47,47,0
1234567,zbledami,L1C,roi,LOF,53.5358,0.8236,0.1483,52.5072,0.0568,98.1,0.3,47,47,47,0
1234567,zbledami,L1C,roi,kNN,53.4005,0.7730,0.1363,52.4419,0.0494,98.2,0.3,47,47,47,0
1234567,zbledami,L1C,roi,OneClassSVM,53.3577,0.7669,0.0287,52.5105,0.0516,98.4,0.1,47,47,47,0
1234567,zbledami,L1C,roi,SAM,53.2844,0.7666,0.0210,52.4515,0.0453,98.4,0.0,47,47,47,0
1234567,zbledami,L1C,roi,Erosion,52.1433,0.7587,0.0053,51.3337,0.0455,98.4,0.0,47,47,46,1
1234567,zbledami,L1C,class,MAD,52.1935,0.7745,0.0042,51.3689,0.0460,98.4,0.0,47,7,46,1
1234567,zbledami,L1C,class,Band Z-score,53.2876,0.7690,0.0054,52.4715,0.0417,98.5,0.0,47,7,47,0
1234567,zbledami,L1C,class,Percentile,53.3013,0.7736,0.0071,52.4725,0.0480,98.4,0.0,47,7,47,0
1234567,zbledami,L1C,class,IQR,52.1601,0.7649,0.0071,51.3382,0.0499,98.4,0.0,47,7,46,1
1234567,zbledami,L1C,class,Mahalanobis,53.3781,0.8628,0.0092,52.4529,0.0532,98.3,0.0,47,7,47,0
1234567,zbledami,L1C,class,Robust Mahalanobis,45.1224,0.9076,1.5468,42.5858,0.0821,94.4,3.4,47,7,38,9
1234567,zbledami,L1C,class,HotellingT2,53.4417,0.8777,0.0093,52.5041,0.0506,98.2,0.0,47,7,47,0
1234567,zbledami,L1C,class,PCA Mahalanobis,45.8133,0.8610,1.1778,43.6970,0.0774,95.4,2.6,47,7,39,8
1234567,zbledami,L1C,class,PCA Reconstruction,53.4471,0.8323,0.0082,52.5577,0.0488,98.3,0.0,47,7,47,0
1234567,zbledami,L1C,class,GMM,53.4775,0.8985,0.0558,52.4702,0.0529,98.1,0.1,47,7,47,0
1234567,zbledami,L1C,class,EllipticEnvelope,54.9686,0.8852,1.5474,52.4881,0.0479,95.5,2.8,47,7,47,0
1234567,zbledami,L1C,class,IsolationForest,54.3360,0.8118,1.0598,52.4173,0.0472,96.5,2.0,47,7,47,0
1234567,zbledami,L1C,class,LOF,53.3106,0.7618,0.0347,52.4711,0.0430,98.4,0.1,47,7,47,0
1234567,zbledami,L1C,class,kNN,53.3208,0.7790,0.0305,52.4676,0.0436,98.4,0.1,47,7,47,0
1234567,zbledami,L1C,class,OneClassSVM,53.2524,0.7670,0.0136,52.4250,0.0468,98.4,0.0,47,7,47,0
1234567,zbledami,L1C,class,SAM,53.2621,0.7469,0.0059,52.4667,0.0426,98.5,0.0,47,7,47,0
1234567,zbledami,L1C,class,Erosion,52.0779,0.7657,0.0034,51.2630,0.0458,98.4,0.0,47,7,46,1
