Run_ID,Wariant,Stan,Raster,Zakres,Lp.,Metoda,Algorytm,DA_%,Kappa,Makro_PA_%,Makro_UA_%,Makro_F1_%,Niesklasyfikowane,Usuniete_px,Czas_s,Blad
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,1,"GMM(n_components=2,contamination=0.01)",multi-layer perceptron,82.5266,0.7757,77.8039,81.0233,78.6225,0,61,16.8,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,2,EllipticEnvelope(contamination=0.1),multi-layer perceptron,81.4640,0.7668,80.3027,79.8771,79.2562,0,588,16.0,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,3,OneClassSVM(nu=0.2),multi-layer perceptron,80.2834,0.7510,77.5771,77.3742,76.1201,0,1168,16.6,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,4,"GMM(n_components=3,contamination=0.01)",multi-layer perceptron,80.1653,0.7485,77.0185,78.6307,75.5398,0,61,14.7,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,5,"GMM(n_components=2,contamination=0.02)",multi-layer perceptron,79.5750,0.7418,76.0948,79.9066,73.7551,0,119,15.8,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,6,IsolationForest(contamination=0.3),multi-layer perceptron,79.5750,0.7374,72.7328,76.5238,73.2960,0,1753,14.8,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,7,OneClassSVM(nu=0.1),multi-layer perceptron,79.2208,0.7340,75.1037,78.1540,75.0534,0,590,15.2,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,8,"Percentile(lower_pct=0.02,upper_pct=0.98)",multi-layer perceptron,78.9847,0.7323,74.4782,77.0625,74.3094,0,1175,27.3,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,9,OneClassSVM(nu=0.02),multi-layer perceptron,78.9847,0.7279,72.9313,77.4174,73.2311,0,138,15.2,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,10,IsolationForest(contamination=0.05),multi-layer perceptron,78.8666,0.7292,73.6173,76.8560,73.5667,0,294,17.7,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,11,IsolationForest(contamination=0.2),multi-layer perceptron,78.3943,0.7252,74.0583,75.3805,72.2504,0,1170,15.8,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,12,IsolationForest(contamination=0.1),multi-layer perceptron,78.3943,0.7237,73.4620,76.6347,73.5231,0,588,17.0,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,13,IsolationForest(contamination=0.01),multi-layer perceptron,78.1582,0.7276,76.5797,74.8368,74.6332,0,61,16.0,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,14,"GMM(n_components=3,contamination=0.02)",multi-layer perceptron,78.1582,0.7262,76.5617,76.3064,75.2286,0,119,14.2,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,15,"GMM(n_components=2,contamination=0.05)",multi-layer perceptron,77.8040,0.7176,73.6224,76.1383,72.2104,0,294,16.2,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,16,"GMM(n_components=3,contamination=0.2)",multi-layer perceptron,77.6860,0.7225,77.1551,74.4350,75.0005,0,1170,14.7,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,17,"GMM(n_components=2,contamination=0.2)",multi-layer perceptron,77.6860,0.7191,74.7432,76.3358,72.8115,0,1170,15.9,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,18,Robust Mahalanobis(alpha=0.1),multi-layer perceptron,77.5679,0.7168,73.1677,74.2320,72.4069,0,2672,16.8,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,19,OneClassSVM(nu=0.01),multi-layer perceptron,77.4498,0.7125,73.5688,75.7503,73.0681,0,99,14.8,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,20,"GMM(n_components=2,contamination=0.3)",multi-layer perceptron,77.3318,0.7154,75.4019,75.5333,73.8852,0,1753,17.3,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,21,Robust Mahalanobis(alpha=0.05),multi-layer perceptron,77.2137,0.7095,71.7571,74.4799,70.7095,0,2454,14.8,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,22,"GMM(n_components=3,contamination=0.3)",multi-layer perceptron,77.2137,0.7089,71.1016,74.3446,71.0602,0,1753,14.1,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,23,"GMM(n_components=2,contamination=0.1)",multi-layer perceptron,76.7414,0.7115,76.6557,76.4732,74.5845,0,588,14.6,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,24,"Percentile(lower_pct=0.005,upper_pct=0.995)",multi-layer perceptron,76.7414,0.7100,75.3520,75.9468,73.4596,0,361,17.2,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,25,"Percentile(lower_pct=0.01,upper_pct=0.99)",multi-layer perceptron,76.6234,0.7081,74.8132,76.5613,73.5334,0,641,18.0,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,26,EllipticEnvelope(contamination=0.01),multi-layer perceptron,76.6234,0.7072,73.6033,74.9361,71.9054,0,61,16.4,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,27,EllipticEnvelope(contamination=0.005),multi-layer perceptron,76.6234,0.7035,71.4756,75.2838,68.9186,0,33,15.6,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,28,"Percentile(lower_pct=0.05,upper_pct=0.95)",multi-layer perceptron,76.6234,0.6998,70.2449,74.0004,70.6748,0,2491,17.1,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,29,EllipticEnvelope(contamination=0.05),multi-layer perceptron,76.5053,0.7053,73.4003,73.8738,72.1650,0,294,15.9,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,30,"GMM(n_components=3,contamination=0.1)",multi-layer perceptron,76.5053,0.7039,72.5459,73.2500,71.7029,0,588,14.8,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,31,"Percentile(lower_pct=0.1,upper_pct=0.9)",multi-layer perceptron,76.5053,0.6910,68.2156,74.3075,69.9612,0,3668,16.6,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,32,EllipticEnvelope(contamination=0.02),multi-layer perceptron,76.3872,0.7063,74.6886,73.6986,72.3471,0,119,17.0,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,33,EllipticEnvelope(contamination=0.2),multi-layer perceptron,76.2692,0.6959,70.2421,73.4622,70.2035,0,1171,16.1,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,34,OneClassSVM(nu=0.05),multi-layer perceptron,76.1511,0.6986,69.6167,74.3141,66.8282,0,294,14.7,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,35,"GMM(n_components=2,contamination=0.005)",multi-layer perceptron,75.9150,0.6954,72.4128,76.5201,71.9016,0,33,17.2,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,36,Poziom bazowy,multi-layer perceptron,75.2066,0.6914,72.7940,72.7829,70.6531,0,0,16.1,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,37,OneClassSVM(nu=0.005),multi-layer perceptron,74.9705,0.6892,75.0884,76.5605,73.6562,0,86,14.3,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,38,EllipticEnvelope(contamination=0.3),multi-layer perceptron,74.7344,0.6792,70.5118,72.1411,69.4189,0,1753,15.7,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,39,Robust Mahalanobis(alpha=0.025),multi-layer perceptron,74.2621,0.6753,70.4440,74.0427,69.6776,0,2325,15.2,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,40,Robust Mahalanobis(alpha=0.01),multi-layer perceptron,73.6718,0.6702,69.4780,72.2424,67.0004,0,2207,16.3,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,41,IsolationForest(contamination=0.02),multi-layer perceptron,72.9634,0.6615,68.5161,70.7528,65.6390,0,119,17.3,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,42,IsolationForest(contamination=0.005),multi-layer perceptron,72.6092,0.6608,71.1889,72.2231,69.7006,0,33,16.7,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,43,"GMM(n_components=3,contamination=0.05)",multi-layer perceptron,71.1924,0.6358,67.9026,72.5790,63.6188,0,294,14.6,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,44,"GMM(n_components=3,contamination=0.005)",multi-layer perceptron,68.3589,0.6059,63.6769,76.1723,60.0936,0,33,17.6,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,45,"Percentile(lower_pct=0.2,upper_pct=0.8)",multi-layer perceptron,57.6151,0.4727,57.8853,58.3309,57.5728,0,5137,13.6,
