Run_ID,Wariant,Stan,Raster,Zakres,Lp.,Metoda,Algorytm,DA_%,Kappa,Makro_PA_%,Makro_UA_%,Makro_F1_%,Niesklasyfikowane,Usuniete_px,Czas_s,Blad
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,1,IsolationForest(contamination=0.3),spectral angle mapping,81.1098,0.7627,78.4119,78.8202,77.4745,0,1753,11.0,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,2,"Percentile(lower_pct=0.2,upper_pct=0.8)",spectral angle mapping,80.4014,0.7511,74.0340,76.6367,74.1440,0,5137,6.7,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,3,Robust Mahalanobis(alpha=0.01),spectral angle mapping,80.2834,0.7532,78.1530,78.1659,77.1496,0,2207,9.3,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,4,IsolationForest(contamination=0.2),spectral angle mapping,80.0472,0.7486,76.7973,78.1153,76.3868,0,1170,11.5,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,5,Robust Mahalanobis(alpha=0.1),spectral angle mapping,79.8111,0.7473,77.4558,77.5145,76.2897,0,2672,9.0,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,6,Robust Mahalanobis(alpha=0.05),spectral angle mapping,79.4569,0.7429,76.9482,77.0633,75.8441,0,2454,9.0,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,7,Robust Mahalanobis(alpha=0.025),spectral angle mapping,79.4569,0.7428,76.9657,77.0541,75.9378,0,2325,9.7,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,8,"Percentile(lower_pct=0.1,upper_pct=0.9)",spectral angle mapping,79.4569,0.7403,75.3960,77.0457,75.0110,0,3668,8.9,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,9,EllipticEnvelope(contamination=0.2),spectral angle mapping,79.3388,0.7434,79.2267,80.1542,78.1637,0,1171,11.5,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,10,EllipticEnvelope(contamination=0.3),spectral angle mapping,78.9847,0.7390,78.7249,79.7008,77.6555,0,1753,10.7,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,11,"Percentile(lower_pct=0.01,upper_pct=0.99)",spectral angle mapping,77.8040,0.7246,77.2616,77.9005,76.4445,0,641,11.1,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,12,"GMM(n_components=3,contamination=0.05)",spectral angle mapping,77.6860,0.7234,77.3412,78.0360,76.5415,0,294,11.4,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,13,OneClassSVM(nu=0.05),spectral angle mapping,77.5679,0.7220,77.2972,77.9966,76.4847,0,294,11.1,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,14,"GMM(n_components=2,contamination=0.1)",spectral angle mapping,77.5679,0.7219,77.3162,78.3616,76.6536,0,588,11.5,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,15,"GMM(n_components=3,contamination=0.1)",spectral angle mapping,77.5679,0.7219,77.3205,78.1985,76.5904,0,588,11.5,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,16,OneClassSVM(nu=0.1),spectral angle mapping,77.5679,0.7219,77.1951,77.8525,76.3524,0,590,11.6,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,17,IsolationForest(contamination=0.01),spectral angle mapping,77.5679,0.7219,77.1649,77.8402,76.3760,0,61,11.9,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,18,"Percentile(lower_pct=0.005,upper_pct=0.995)",spectral angle mapping,77.5679,0.7219,77.1951,77.7852,76.3451,0,361,11.2,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,19,"GMM(n_components=3,contamination=0.2)",spectral angle mapping,77.4498,0.7209,77.8115,78.8644,76.9876,0,1170,11.0,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,20,IsolationForest(contamination=0.02),spectral angle mapping,77.4498,0.7203,77.0161,77.7902,76.2605,0,119,11.8,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,21,IsolationForest(contamination=0.05),spectral angle mapping,77.4498,0.7199,76.6580,77.6697,75.9743,0,294,11.3,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,22,"Percentile(lower_pct=0.02,upper_pct=0.98)",spectral angle mapping,77.4498,0.7197,76.2289,76.8993,75.3969,0,1175,11.2,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,23,IsolationForest(contamination=0.005),spectral angle mapping,77.3318,0.7192,77.0767,77.7622,76.2632,0,33,11.7,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,24,OneClassSVM(nu=0.02),spectral angle mapping,77.3318,0.7192,77.1027,77.7565,76.2634,0,138,11.5,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,25,"GMM(n_components=2,contamination=0.05)",spectral angle mapping,77.3318,0.7191,77.1042,77.9072,76.3127,0,294,11.4,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,26,OneClassSVM(nu=0.2),spectral angle mapping,77.3318,0.7185,76.3388,77.2602,75.5423,0,1168,11.7,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,27,"Percentile(lower_pct=0.05,upper_pct=0.95)",spectral angle mapping,77.3318,0.7180,75.9329,76.8723,74.9157,0,2491,11.6,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,28,"GMM(n_components=2,contamination=0.02)",spectral angle mapping,77.2137,0.7179,77.0326,77.7239,76.2071,0,119,11.3,
