Run_ID,Wariant,Stan,Raster,Zakres,Lp.,Metoda,Algorytm,DA_%,Kappa,Makro_PA_%,Makro_UA_%,Makro_F1_%,Niesklasyfikowane,Usuniete_px,Czas_s,Blad
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,1,IsolationForest(contamination=0.2),support vector machine,81.5821,0.7637,76.4063,79.7198,76.3663,0,1170,25.7,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,2,IsolationForest(contamination=0.1),support vector machine,80.6375,0.7551,78.3898,79.4458,77.4204,0,588,33.7,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,3,"Percentile(lower_pct=0.2,upper_pct=0.8)",support vector machine,80.4014,0.7514,74.5357,75.6674,73.2046,0,5137,8.6,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,4,EllipticEnvelope(contamination=0.1),support vector machine,80.2834,0.7520,79.3473,80.4541,78.3499,0,588,31.0,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,5,IsolationForest(contamination=0.05),support vector machine,79.6930,0.7442,78.1869,79.1934,77.0931,0,294,36.3,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,6,"Percentile(lower_pct=0.02,upper_pct=0.98)",support vector machine,79.6930,0.7440,77.6475,78.4184,76.5063,0,1175,32.8,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,7,EllipticEnvelope(contamination=0.05),support vector machine,79.3388,0.7412,78.9259,79.8756,77.7099,0,294,36.6,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,8,"Percentile(lower_pct=0.01,upper_pct=0.99)",support vector machine,79.2208,0.7393,78.4615,79.2551,77.1495,0,641,35.4,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,9,OneClassSVM(nu=0.2),support vector machine,79.2208,0.7380,77.1073,78.0302,75.9250,0,1168,32.5,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,10,"Percentile(lower_pct=0.05,upper_pct=0.95)",support vector machine,79.1027,0.7347,75.4981,75.6302,74.0777,0,2491,23.3,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,11,IsolationForest(contamination=0.005),support vector machine,78.9847,0.7374,78.9829,79.7226,77.6314,0,33,39.8,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,12,EllipticEnvelope(contamination=0.02),support vector machine,78.9847,0.7373,78.8766,79.5348,77.4972,0,119,38.0,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,13,IsolationForest(contamination=0.01),support vector machine,78.9847,0.7371,78.7486,79.5422,77.4290,0,61,39.3,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,14,IsolationForest(contamination=0.02),support vector machine,78.9847,0.7366,78.3862,79.3075,77.1184,0,119,38.3,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,15,EllipticEnvelope(contamination=0.01),support vector machine,78.8666,0.7359,78.8325,79.5584,77.4665,0,61,38.6,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,16,Poziom bazowy,support vector machine,78.7485,0.7352,79.4765,80.0735,77.9167,0,0,39.3,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,17,"GMM(n_components=2,contamination=0.005)",support vector machine,78.7485,0.7351,79.3703,80.0419,77.8552,0,33,38.5,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,18,"GMM(n_components=3,contamination=0.005)",support vector machine,78.7485,0.7349,79.1057,79.7833,77.6633,0,33,39.3,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,19,OneClassSVM(nu=0.05),support vector machine,78.7485,0.7340,78.3739,79.3267,77.0867,0,294,37.0,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,20,OneClassSVM(nu=0.1),support vector machine,78.7485,0.7335,77.8894,78.7641,76.5772,0,590,34.8,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,21,EllipticEnvelope(contamination=0.005),support vector machine,78.6305,0.7334,79.0089,79.7083,77.5273,0,33,39.0,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,22,OneClassSVM(nu=0.01),support vector machine,78.6305,0.7333,78.8506,79.5700,77.4373,0,99,38.4,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,23,OneClassSVM(nu=0.005),support vector machine,78.5124,0.7322,79.0711,79.6921,77.5263,0,86,38.4,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,24,"GMM(n_components=3,contamination=0.01)",support vector machine,78.5124,0.7320,78.9128,79.5526,77.4357,0,61,38.7,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,25,OneClassSVM(nu=0.02),support vector machine,78.5124,0.7318,78.6785,79.3118,77.1980,0,138,37.4,
