Run_ID,Wariant,Stan,Raster,Zakres,Lp.,Metoda,Algorytm,Klasa,PA_%,UA_%,F1_%
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,1,"GMM(n_components=2,contamination=0.01)",multi-layer perceptron,1,95.6790,86.5922,90.9091
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,1,"GMM(n_components=2,contamination=0.01)",multi-layer perceptron,2,60.0000,57.0000,58.4615
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,1,"GMM(n_components=2,contamination=0.01)",multi-layer perceptron,3,70.8333,100.0000,82.9268
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,1,"GMM(n_components=2,contamination=0.01)",multi-layer perceptron,4,89.8734,89.8734,89.8734
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,1,"GMM(n_components=2,contamination=0.01)",multi-layer perceptron,5,42.1687,61.4035,50.0000
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,1,"GMM(n_components=2,contamination=0.01)",multi-layer perceptron,6,91.0112,95.2941,93.1034
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,1,"GMM(n_components=2,contamination=0.01)",multi-layer perceptron,7,95.0617,77.0000,85.0829
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,2,IsolationForest(contamination=0.2),support vector machine,1,94.7531,86.2360,90.2941
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,2,IsolationForest(contamination=0.2),support vector machine,2,82.1053,68.4211,74.6411
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,2,IsolationForest(contamination=0.2),support vector machine,3,64.5833,96.8750,77.5000
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,2,IsolationForest(contamination=0.2),support vector machine,4,94.9367,66.9643,78.5340
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,2,IsolationForest(contamination=0.2),support vector machine,5,30.1205,60.9756,40.3226
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,2,IsolationForest(contamination=0.2),support vector machine,6,95.5056,98.8372,97.1429
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,2,IsolationForest(contamination=0.2),support vector machine,7,72.8395,79.7297,76.1290
