Run_ID,Wariant,Stan,Raster,Zakres,Lp.,Metoda,Algorytm,DA_%,Kappa,Makro_PA_%,Makro_UA_%,Makro_F1_%,Niesklasyfikowane,Usuniete_px,Czas_s,Blad
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,1,"GMM(n_components=2,contamination=0.01)",multi-layer perceptron,82.5266,0.7757,77.8039,81.0233,78.6225,0,61,16.8,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,2,IsolationForest(contamination=0.2),support vector machine,81.5821,0.7637,76.4063,79.7198,76.3663,0,1170,25.7,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,3,EllipticEnvelope(contamination=0.1),multi-layer perceptron,81.4640,0.7668,80.3027,79.8771,79.2562,0,588,16.0,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,4,IsolationForest(contamination=0.3),spectral angle mapping,81.1098,0.7627,78.4119,78.8202,77.4745,0,1753,11.0,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,5,IsolationForest(contamination=0.1),support vector machine,80.6375,0.7551,78.3898,79.4458,77.4204,0,588,33.7,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,6,"Percentile(lower_pct=0.2,upper_pct=0.8)",support vector machine,80.4014,0.7514,74.5357,75.6674,73.2046,0,5137,8.6,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,7,"Percentile(lower_pct=0.2,upper_pct=0.8)",spectral angle mapping,80.4014,0.7511,74.0340,76.6367,74.1440,0,5137,6.7,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,8,Robust Mahalanobis(alpha=0.01),spectral angle mapping,80.2834,0.7532,78.1530,78.1659,77.1496,0,2207,9.3,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,9,EllipticEnvelope(contamination=0.1),support vector machine,80.2834,0.7520,79.3473,80.4541,78.3499,0,588,31.0,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,10,OneClassSVM(nu=0.2),multi-layer perceptron,80.2834,0.7510,77.5771,77.3742,76.1201,0,1168,16.6,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,11,"GMM(n_components=3,contamination=0.01)",multi-layer perceptron,80.1653,0.7485,77.0185,78.6307,75.5398,0,61,14.7,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,12,IsolationForest(contamination=0.2),spectral angle mapping,80.0472,0.7486,76.7973,78.1153,76.3868,0,1170,11.5,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,13,Robust Mahalanobis(alpha=0.1),spectral angle mapping,79.8111,0.7473,77.4558,77.5145,76.2897,0,2672,9.0,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,14,IsolationForest(contamination=0.05),support vector machine,79.6930,0.7442,78.1869,79.1934,77.0931,0,294,36.3,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,15,"Percentile(lower_pct=0.02,upper_pct=0.98)",support vector machine,79.6930,0.7440,77.6475,78.4184,76.5063,0,1175,32.8,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,16,"GMM(n_components=2,contamination=0.02)",multi-layer perceptron,79.5750,0.7418,76.0948,79.9066,73.7551,0,119,15.8,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,17,IsolationForest(contamination=0.3),multi-layer perceptron,79.5750,0.7374,72.7328,76.5238,73.2960,0,1753,14.8,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,18,Robust Mahalanobis(alpha=0.05),spectral angle mapping,79.4569,0.7429,76.9482,77.0633,75.8441,0,2454,9.0,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,19,Robust Mahalanobis(alpha=0.025),spectral angle mapping,79.4569,0.7428,76.9657,77.0541,75.9378,0,2325,9.7,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,20,"Percentile(lower_pct=0.1,upper_pct=0.9)",spectral angle mapping,79.4569,0.7403,75.3960,77.0457,75.0110,0,3668,8.9,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,21,EllipticEnvelope(contamination=0.2),spectral angle mapping,79.3388,0.7434,79.2267,80.1542,78.1637,0,1171,11.5,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,22,EllipticEnvelope(contamination=0.05),support vector machine,79.3388,0.7412,78.9259,79.8756,77.7099,0,294,36.6,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,23,"Percentile(lower_pct=0.01,upper_pct=0.99)",support vector machine,79.2208,0.7393,78.4615,79.2551,77.1495,0,641,35.4,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,24,OneClassSVM(nu=0.2),support vector machine,79.2208,0.7380,77.1073,78.0302,75.9250,0,1168,32.5,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,25,OneClassSVM(nu=0.1),multi-layer perceptron,79.2208,0.7340,75.1037,78.1540,75.0534,0,590,15.2,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,26,"Percentile(lower_pct=0.05,upper_pct=0.95)",support vector machine,79.1027,0.7347,75.4981,75.6302,74.0777,0,2491,23.3,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,27,EllipticEnvelope(contamination=0.3),spectral angle mapping,78.9847,0.7390,78.7249,79.7008,77.6555,0,1753,10.7,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,28,IsolationForest(contamination=0.005),support vector machine,78.9847,0.7374,78.9829,79.7226,77.6314,0,33,39.8,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,29,EllipticEnvelope(contamination=0.02),support vector machine,78.9847,0.7373,78.8766,79.5348,77.4972,0,119,38.0,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,30,IsolationForest(contamination=0.01),support vector machine,78.9847,0.7371,78.7486,79.5422,77.4290,0,61,39.3,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,31,IsolationForest(contamination=0.02),support vector machine,78.9847,0.7366,78.3862,79.3075,77.1184,0,119,38.3,
