Run_ID,Wariant,Stan,Raster,Zakres,Lp.,Metoda,Algorytm,DA_%,Kappa,Makro_PA_%,Makro_UA_%,Makro_F1_%,Niesklasyfikowane,Usuniete_px,Czas_s,Blad
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,1,"Percentile(lower_pct=0.05,upper_pct=0.95)",multi-layer perceptron,82.9988,0.7831,79.2174,82.1087,78.7106,0,2274,13.8,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,2,IsolationForest(contamination=0.1),multi-layer perceptron,82.8808,0.7859,81.5179,79.6718,79.6216,0,585,17.0,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,3,IsolationForest(contamination=0.2),multi-layer perceptron,82.7627,0.7790,78.5634,81.0630,78.7626,0,1167,17.4,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,4,OneClassSVM(nu=0.02),multi-layer perceptron,82.6446,0.7798,78.1988,79.2046,77.4830,0,148,17.7,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,5,"Percentile(lower_pct=0.1,upper_pct=0.9)",multi-layer perceptron,82.6446,0.7778,77.2850,80.2230,77.9008,0,3553,12.9,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,6,"Percentile(lower_pct=0.01,upper_pct=0.99)",multi-layer perceptron,82.0543,0.7765,81.0206,78.3560,78.2919,0,547,13.1,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,7,"Percentile(lower_pct=0.02,upper_pct=0.98)",multi-layer perceptron,82.0543,0.7749,80.3506,79.8207,78.3733,0,1044,13.8,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,8,EllipticEnvelope(contamination=0.01),multi-layer perceptron,81.9362,0.7737,79.9357,80.2802,78.2036,0,61,15.7,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,9,OneClassSVM(nu=0.05),multi-layer perceptron,81.9362,0.7710,77.6665,78.0997,77.2645,0,299,14.4,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,10,IsolationForest(contamination=0.3),multi-layer perceptron,81.7001,0.7694,79.2082,79.4620,78.0868,0,1749,18.8,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,11,"GMM(n_components=3,contamination=0.1)",multi-layer perceptron,81.3459,0.7661,78.6852,78.0807,76.8237,0,585,15.0,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,12,EllipticEnvelope(contamination=0.02),multi-layer perceptron,81.3459,0.7641,76.7882,77.3923,75.5984,0,119,15.6,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,13,"GMM(n_components=3,contamination=0.3)",multi-layer perceptron,81.1098,0.7651,81.5600,79.6227,79.8085,0,1749,14.4,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,14,"GMM(n_components=2,contamination=0.02)",multi-layer perceptron,80.5195,0.7536,75.8845,76.1858,75.1460,0,119,14.9,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,15,"GMM(n_components=2,contamination=0.005)",multi-layer perceptron,80.4014,0.7545,78.2960,79.9694,75.6485,0,33,14.3,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,16,"Percentile(lower_pct=0.005,upper_pct=0.995)",multi-layer perceptron,80.1653,0.7511,77.1423,76.0846,75.8530,0,291,13.6,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,17,OneClassSVM(nu=0.1),multi-layer perceptron,79.8111,0.7502,80.5136,79.8567,78.5925,0,590,16.7,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,18,"GMM(n_components=3,contamination=0.02)",multi-layer perceptron,79.6930,0.7426,76.2265,78.8654,75.9806,0,119,14.9,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,19,IsolationForest(contamination=0.01),multi-layer perceptron,79.5750,0.7443,77.2575,75.9978,75.3730,0,61,16.6,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,20,"GMM(n_components=3,contamination=0.005)",multi-layer perceptron,79.4569,0.7418,75.6444,74.3245,74.1414,0,33,19.0,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,21,EllipticEnvelope(contamination=0.05),multi-layer perceptron,79.2208,0.7393,76.3844,75.8458,75.1172,0,294,13.7,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,22,IsolationForest(contamination=0.02),multi-layer perceptron,79.1027,0.7401,77.8058,77.0393,75.4038,0,119,18.4,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,23,EllipticEnvelope(contamination=0.1),multi-layer perceptron,78.7485,0.7342,78.0989,78.8660,76.8646,0,585,14.5,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,24,"GMM(n_components=3,contamination=0.2)",multi-layer perceptron,78.5124,0.7333,77.9915,77.1384,76.1439,0,1167,14.8,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,25,"GMM(n_components=2,contamination=0.1)",multi-layer perceptron,78.2763,0.7285,75.4256,75.0472,72.5007,0,585,14.2,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,26,"GMM(n_components=3,contamination=0.05)",multi-layer perceptron,77.9221,0.7262,77.4661,75.0408,75.4775,0,294,15.8,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,27,"GMM(n_components=2,contamination=0.05)",multi-layer perceptron,77.8040,0.7184,72.3727,78.0294,69.4194,0,294,14.0,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,28,Robust Mahalanobis(alpha=0.05),multi-layer perceptron,77.6860,0.7228,77.6127,75.0711,74.6180,0,2705,13.8,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,29,"GMM(n_components=2,contamination=0.3)",multi-layer perceptron,77.6860,0.7227,77.3666,75.1225,75.6391,0,1749,19.1,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,30,OneClassSVM(nu=0.01),multi-layer perceptron,77.5679,0.7206,75.2205,72.7327,73.5832,0,132,17.2,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,31,EllipticEnvelope(contamination=0.2),multi-layer perceptron,77.4498,0.7228,79.2871,78.4260,77.0449,0,1168,15.7,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,32,Robust Mahalanobis(alpha=0.025),multi-layer perceptron,77.0956,0.7147,75.8703,72.5045,73.5419,0,2601,13.5,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,33,Robust Mahalanobis(alpha=0.1),multi-layer perceptron,76.9776,0.7108,74.5244,72.6068,72.2304,0,2862,14.2,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,34,OneClassSVM(nu=0.2),multi-layer perceptron,76.8595,0.7148,77.5540,74.6451,75.4710,0,1169,14.6,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,35,Poziom bazowy,multi-layer perceptron,76.3872,0.7079,75.9883,74.4209,74.2519,0,0,13.9,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,36,EllipticEnvelope(contamination=0.005),multi-layer perceptron,76.2692,0.7039,73.1529,73.1806,71.1841,0,33,13.8,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,37,IsolationForest(contamination=0.05),multi-layer perceptron,75.6789,0.7012,76.5467,77.2615,73.1123,0,294,16.3,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,38,"GMM(n_components=2,contamination=0.01)",multi-layer perceptron,75.5608,0.6968,74.6059,73.4469,72.8197,0,61,13.7,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,39,IsolationForest(contamination=0.005),multi-layer perceptron,74.2621,0.6868,76.1774,74.0690,72.4334,0,33,16.6,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,40,"GMM(n_components=2,contamination=0.2)",multi-layer perceptron,72.7273,0.6693,76.8841,74.7424,73.1913,0,1167,15.8,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,41,Robust Mahalanobis(alpha=0.01),multi-layer perceptron,69.6576,0.6237,68.6946,73.1082,66.5959,0,2502,14.8,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,42,OneClassSVM(nu=0.005),multi-layer perceptron,69.1854,0.6249,69.7807,68.6116,67.0005,0,123,14.7,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,43,"GMM(n_components=3,contamination=0.01)",multi-layer perceptron,68.1228,0.6147,70.6128,71.7233,67.7979,0,61,14.3,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,44,EllipticEnvelope(contamination=0.3),multi-layer perceptron,65.7615,0.5805,65.9038,75.9091,64.8502,0,1749,16.7,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,45,"Percentile(lower_pct=0.2,upper_pct=0.8)",multi-layer perceptron,63.9906,0.5611,62.3593,65.6974,71.3186,0,5222,13.0,
