Run_ID,Wariant,Stan,Raster,Zakres,Lp.,Metoda,Algorytm,DA_%,Kappa,Makro_PA_%,Makro_UA_%,Makro_F1_%,Niesklasyfikowane,Usuniete_px,Czas_s,Blad
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,1,IsolationForest(contamination=0.3),spectral angle mapping,82.4085,0.7808,82.7012,82.5073,81.4255,0,1749,12.0,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,2,IsolationForest(contamination=0.005),spectral angle mapping,81.8182,0.7742,82.4255,81.1203,80.9035,0,33,11.9,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,3,OneClassSVM(nu=0.01),spectral angle mapping,81.8182,0.7741,82.4470,81.0090,80.8688,0,132,11.6,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,4,OneClassSVM(nu=0.005),spectral angle mapping,81.8182,0.7741,82.4295,80.9964,80.8068,0,123,11.6,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,5,Poziom bazowy,spectral angle mapping,81.8182,0.7741,82.4640,80.9969,80.7444,0,0,11.2,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,6,IsolationForest(contamination=0.01),spectral angle mapping,81.7001,0.7727,82.2707,81.0857,80.7792,0,61,11.9,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,7,"Percentile(lower_pct=0.005,upper_pct=0.995)",spectral angle mapping,81.5821,0.7713,82.2048,80.9471,80.6655,0,291,10.6,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,8,"Percentile(lower_pct=0.1,upper_pct=0.9)",spectral angle mapping,81.4640,0.7682,79.6929,78.4938,78.6187,0,3553,9.6,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,9,EllipticEnvelope(contamination=0.005),spectral angle mapping,81.3459,0.7683,81.7503,80.5019,80.2518,0,33,11.8,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,10,OneClassSVM(nu=0.02),spectral angle mapping,81.3459,0.7682,81.6005,80.2041,80.0507,0,148,12.2,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,11,IsolationForest(contamination=0.02),spectral angle mapping,81.2279,0.7667,81.4530,80.2760,80.0295,0,119,11.9,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,12,"GMM(n_components=2,contamination=0.01)",spectral angle mapping,81.1098,0.7654,81.5341,79.9262,79.8998,0,61,11.3,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,13,"GMM(n_components=3,contamination=0.02)",spectral angle mapping,81.1098,0.7653,81.3975,79.9336,79.8689,0,119,12.5,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,14,"GMM(n_components=2,contamination=0.005)",spectral angle mapping,80.9917,0.7640,81.3619,79.7417,79.7036,0,33,11.3,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,15,"GMM(n_components=3,contamination=0.005)",spectral angle mapping,80.8737,0.7625,81.1856,79.5772,79.5429,0,33,11.5,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,16,"GMM(n_components=3,contamination=0.01)",spectral angle mapping,80.8737,0.7624,81.0535,79.5164,79.4849,0,61,13.4,
