Run_ID,Wariant,Stan,Raster,Zakres,Lp.,Metoda,Algorytm,DA_%,Kappa,Makro_PA_%,Makro_UA_%,Makro_F1_%,Niesklasyfikowane,Usuniete_px,Czas_s,Blad
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,1,IsolationForest(contamination=0.1),support vector machine,84.4156,0.8042,83.9406,83.2242,82.9226,0,585,45.8,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,2,IsolationForest(contamination=0.2),support vector machine,84.2975,0.8024,83.5256,83.1500,82.6863,0,1167,38.8,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,3,"Percentile(lower_pct=0.05,upper_pct=0.95)",support vector machine,83.7072,0.7942,81.5461,81.0521,80.1776,0,2274,30.9,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,4,IsolationForest(contamination=0.05),support vector machine,83.4711,0.7926,82.8663,81.9957,81.6361,0,294,50.8,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,5,"Percentile(lower_pct=0.1,upper_pct=0.9)",support vector machine,83.1169,0.7865,80.1264,79.3084,78.8689,0,3553,17.7,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,6,"Percentile(lower_pct=0.02,upper_pct=0.98)",support vector machine,82.9988,0.7867,82.1180,81.2031,80.6865,0,1044,45.0,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,7,EllipticEnvelope(contamination=0.1),support vector machine,82.7627,0.7848,83.1671,83.2594,82.1626,0,585,47.6,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,8,EllipticEnvelope(contamination=0.2),support vector machine,82.6446,0.7847,84.1456,83.6071,82.5797,0,1168,37.6,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,9,"Percentile(lower_pct=0.01,upper_pct=0.99)",support vector machine,82.6446,0.7823,81.7065,80.9019,80.4040,0,547,51.1,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,10,OneClassSVM(nu=0.2),support vector machine,82.5266,0.7808,81.7568,81.3082,80.5764,0,1169,42.0,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,11,IsolationForest(contamination=0.3),support vector machine,82.4085,0.7790,81.5400,80.8156,80.1026,0,1749,30.6,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,12,OneClassSVM(nu=0.1),support vector machine,82.0543,0.7758,81.9165,81.2684,80.5561,0,590,50.0,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,13,OneClassSVM(nu=0.05),support vector machine,82.0543,0.7757,81.8554,81.2999,80.5672,0,299,55.5,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,14,OneClassSVM(nu=0.02),support vector machine,82.0543,0.7756,81.8641,81.3179,80.5560,0,148,61.5,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,15,"GMM(n_components=3,contamination=0.02)",support vector machine,81.7001,0.7714,81.4861,80.8540,80.1633,0,119,59.4,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,16,Poziom bazowy,support vector machine,81.7001,0.7714,81.5470,80.6335,80.1253,0,0,64.8,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,17,IsolationForest(contamination=0.01),support vector machine,81.7001,0.7713,81.4280,80.5442,79.9272,0,61,60.4,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,18,"Percentile(lower_pct=0.005,upper_pct=0.995)",support vector machine,81.7001,0.7713,81.3652,80.3073,79.8751,0,291,54.1,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,19,EllipticEnvelope(contamination=0.02),support vector machine,81.4640,0.7688,81.4311,80.5662,79.9278,0,119,57.3,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,20,EllipticEnvelope(contamination=0.01),support vector machine,81.4640,0.7686,81.3192,80.3191,79.7857,0,61,59.6,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,21,OneClassSVM(nu=0.005),support vector machine,81.4640,0.7685,81.2916,80.7407,79.9972,0,123,59.4,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,22,OneClassSVM(nu=0.01),support vector machine,81.4640,0.7684,81.1854,80.6079,79.9148,0,132,59.5,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,23,IsolationForest(contamination=0.02),support vector machine,81.4640,0.7681,80.8902,79.9697,79.4312,0,119,55.8,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,24,"GMM(n_components=2,contamination=0.02)",support vector machine,81.3459,0.7676,81.6040,80.6145,80.0140,0,119,57.9,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,25,EllipticEnvelope(contamination=0.05),support vector machine,81.3459,0.7674,81.6170,81.0155,80.2283,0,294,53.2,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,26,"GMM(n_components=2,contamination=0.05)",support vector machine,81.2279,0.7661,81.5295,80.7004,79.9780,0,294,53.8,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,27,"GMM(n_components=2,contamination=0.005)",support vector machine,81.2279,0.7657,81.0841,80.3391,79.6327,0,33,61.9,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,28,"GMM(n_components=3,contamination=0.01)",support vector machine,81.2279,0.7657,81.0754,80.4535,79.7213,0,61,63.9,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,29,"GMM(n_components=2,contamination=0.01)",support vector machine,81.2279,0.7657,81.0841,80.2714,79.6407,0,61,60.4,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,30,EllipticEnvelope(contamination=0.005),support vector machine,81.2279,0.7656,80.8716,79.9700,79.4140,0,33,61.7,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,31,"GMM(n_components=3,contamination=0.005)",support vector machine,81.2279,0.7656,80.9474,80.3164,79.5814,0,33,62.3,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,32,IsolationForest(contamination=0.005),support vector machine,81.2279,0.7654,80.8295,80.0661,79.4465,0,33,60.1,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,33,"GMM(n_components=2,contamination=0.3)",support vector machine,81.1098,0.7632,80.7417,81.3007,79.4923,0,1749,34.1,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,34,"GMM(n_components=3,contamination=0.1)",support vector machine,80.9917,0.7632,81.4180,80.7204,79.9152,0,585,50.3,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,35,"GMM(n_components=3,contamination=0.2)",support vector machine,80.9917,0.7628,81.3161,80.5662,79.8675,0,1167,42.4,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,36,"GMM(n_components=3,contamination=0.05)",support vector machine,80.8737,0.7620,81.2517,80.2471,79.6345,0,294,54.9,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,37,"GMM(n_components=3,contamination=0.3)",support vector machine,80.4014,0.7552,80.7231,80.7504,79.1428,0,1749,35.8,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,38,EllipticEnvelope(contamination=0.3),support vector machine,80.2834,0.7553,81.5256,81.3595,80.0137,0,1749,32.0,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,39,"GMM(n_components=2,contamination=0.2)",support vector machine,80.1653,0.7519,79.9003,79.3234,78.4373,0,1167,41.3,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,40,"GMM(n_components=2,contamination=0.1)",support vector machine,79.4569,0.7447,80.0724,79.3964,78.3451,0,585,49.4,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,41,Robust Mahalanobis(alpha=0.05),support vector machine,76.2692,0.7055,77.0995,77.2841,74.9419,0,2705,23.3,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,42,Robust Mahalanobis(alpha=0.025),support vector machine,76.1511,0.7041,76.9725,77.0882,74.8806,0,2601,23.9,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,43,Robust Mahalanobis(alpha=0.01),support vector machine,75.7969,0.7005,77.0729,77.1588,74.8766,0,2502,24.8,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,44,Robust Mahalanobis(alpha=0.1),support vector machine,75.5608,0.6974,76.8610,76.8498,74.5098,0,2862,22.8,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,45,"Percentile(lower_pct=0.2,upper_pct=0.8)",support vector machine,69.4215,0.5921,59.1111,69.1510,74.3128,0,5222,7.7,
