Run_ID,Wariant,Stan,Raster,Zakres,Lp.,Metoda,Algorytm,DA_%,Kappa,Makro_PA_%,Makro_UA_%,Makro_F1_%,Niesklasyfikowane,Usuniete_px,Czas_s,Blad
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,1,IsolationForest(contamination=0.1),support vector machine,84.4156,0.8042,83.9406,83.2242,82.9226,0,585,45.8,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,2,IsolationForest(contamination=0.2),support vector machine,84.2975,0.8024,83.5256,83.1500,82.6863,0,1167,38.8,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,3,"Percentile(lower_pct=0.05,upper_pct=0.95)",support vector machine,83.7072,0.7942,81.5461,81.0521,80.1776,0,2274,30.9,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,4,IsolationForest(contamination=0.05),support vector machine,83.4711,0.7926,82.8663,81.9957,81.6361,0,294,50.8,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,5,"Percentile(lower_pct=0.1,upper_pct=0.9)",support vector machine,83.1169,0.7865,80.1264,79.3084,78.8689,0,3553,17.7,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,6,"Percentile(lower_pct=0.02,upper_pct=0.98)",support vector machine,82.9988,0.7867,82.1180,81.2031,80.6865,0,1044,45.0,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,7,"Percentile(lower_pct=0.05,upper_pct=0.95)",multi-layer perceptron,82.9988,0.7831,79.2174,82.1087,78.7106,0,2274,13.8,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,8,IsolationForest(contamination=0.1),multi-layer perceptron,82.8808,0.7859,81.5179,79.6718,79.6216,0,585,17.0,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,9,EllipticEnvelope(contamination=0.1),support vector machine,82.7627,0.7848,83.1671,83.2594,82.1626,0,585,47.6,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,10,IsolationForest(contamination=0.2),multi-layer perceptron,82.7627,0.7790,78.5634,81.0630,78.7626,0,1167,17.4,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,11,EllipticEnvelope(contamination=0.2),support vector machine,82.6446,0.7847,84.1456,83.6071,82.5797,0,1168,37.6,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,12,"Percentile(lower_pct=0.01,upper_pct=0.99)",support vector machine,82.6446,0.7823,81.7065,80.9019,80.4040,0,547,51.1,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,13,OneClassSVM(nu=0.02),multi-layer perceptron,82.6446,0.7798,78.1988,79.2046,77.4830,0,148,17.7,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,14,"Percentile(lower_pct=0.1,upper_pct=0.9)",multi-layer perceptron,82.6446,0.7778,77.2850,80.2230,77.9008,0,3553,12.9,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,15,OneClassSVM(nu=0.2),support vector machine,82.5266,0.7808,81.7568,81.3082,80.5764,0,1169,42.0,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,16,IsolationForest(contamination=0.3),spectral angle mapping,82.4085,0.7808,82.7012,82.5073,81.4255,0,1749,12.0,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,17,IsolationForest(contamination=0.3),support vector machine,82.4085,0.7790,81.5400,80.8156,80.1026,0,1749,30.6,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,18,"Percentile(lower_pct=0.01,upper_pct=0.99)",multi-layer perceptron,82.0543,0.7765,81.0206,78.3560,78.2919,0,547,13.1,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,19,OneClassSVM(nu=0.1),support vector machine,82.0543,0.7758,81.9165,81.2684,80.5561,0,590,50.0,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,20,OneClassSVM(nu=0.05),support vector machine,82.0543,0.7757,81.8554,81.2999,80.5672,0,299,55.5,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,21,OneClassSVM(nu=0.02),support vector machine,82.0543,0.7756,81.8641,81.3179,80.5560,0,148,61.5,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,22,"Percentile(lower_pct=0.02,upper_pct=0.98)",multi-layer perceptron,82.0543,0.7749,80.3506,79.8207,78.3733,0,1044,13.8,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,23,EllipticEnvelope(contamination=0.01),multi-layer perceptron,81.9362,0.7737,79.9357,80.2802,78.2036,0,61,15.7,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,24,OneClassSVM(nu=0.05),multi-layer perceptron,81.9362,0.7710,77.6665,78.0997,77.2645,0,299,14.4,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,25,IsolationForest(contamination=0.005),spectral angle mapping,81.8182,0.7742,82.4255,81.1203,80.9035,0,33,11.9,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,26,OneClassSVM(nu=0.01),spectral angle mapping,81.8182,0.7741,82.4470,81.0090,80.8688,0,132,11.6,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,27,OneClassSVM(nu=0.005),spectral angle mapping,81.8182,0.7741,82.4295,80.9964,80.8068,0,123,11.6,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,28,Poziom bazowy,spectral angle mapping,81.8182,0.7741,82.4640,80.9969,80.7444,0,0,11.2,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,29,IsolationForest(contamination=0.01),spectral angle mapping,81.7001,0.7727,82.2707,81.0857,80.7792,0,61,11.9,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,30,"GMM(n_components=3,contamination=0.02)",support vector machine,81.7001,0.7714,81.4861,80.8540,80.1633,0,119,59.4,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,31,Poziom bazowy,support vector machine,81.7001,0.7714,81.5470,80.6335,80.1253,0,0,64.8,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,32,IsolationForest(contamination=0.01),support vector machine,81.7001,0.7713,81.4280,80.5442,79.9272,0,61,60.4,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,33,"Percentile(lower_pct=0.005,upper_pct=0.995)",support vector machine,81.7001,0.7713,81.3652,80.3073,79.8751,0,291,54.1,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,34,IsolationForest(contamination=0.3),multi-layer perceptron,81.7001,0.7694,79.2082,79.4620,78.0868,0,1749,18.8,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,35,"Percentile(lower_pct=0.005,upper_pct=0.995)",spectral angle mapping,81.5821,0.7713,82.2048,80.9471,80.6655,0,291,10.6,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,36,EllipticEnvelope(contamination=0.02),support vector machine,81.4640,0.7688,81.4311,80.5662,79.9278,0,119,57.3,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,37,EllipticEnvelope(contamination=0.01),support vector machine,81.4640,0.7686,81.3192,80.3191,79.7857,0,61,59.6,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,38,OneClassSVM(nu=0.005),support vector machine,81.4640,0.7685,81.2916,80.7407,79.9972,0,123,59.4,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,39,OneClassSVM(nu=0.01),support vector machine,81.4640,0.7684,81.1854,80.6079,79.9148,0,132,59.5,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,40,"Percentile(lower_pct=0.1,upper_pct=0.9)",spectral angle mapping,81.4640,0.7682,79.6929,78.4938,78.6187,0,3553,9.6,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,41,IsolationForest(contamination=0.02),support vector machine,81.4640,0.7681,80.8902,79.9697,79.4312,0,119,55.8,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,42,EllipticEnvelope(contamination=0.005),spectral angle mapping,81.3459,0.7683,81.7503,80.5019,80.2518,0,33,11.8,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,43,OneClassSVM(nu=0.02),spectral angle mapping,81.3459,0.7682,81.6005,80.2041,80.0507,0,148,12.2,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,44,"GMM(n_components=2,contamination=0.02)",support vector machine,81.3459,0.7676,81.6040,80.6145,80.0140,0,119,57.9,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,45,EllipticEnvelope(contamination=0.05),support vector machine,81.3459,0.7674,81.6170,81.0155,80.2283,0,294,53.2,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,46,"GMM(n_components=3,contamination=0.1)",multi-layer perceptron,81.3459,0.7661,78.6852,78.0807,76.8237,0,585,15.0,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,47,EllipticEnvelope(contamination=0.02),multi-layer perceptron,81.3459,0.7641,76.7882,77.3923,75.5984,0,119,15.6,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,48,IsolationForest(contamination=0.02),spectral angle mapping,81.2279,0.7667,81.4530,80.2760,80.0295,0,119,11.9,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,49,"GMM(n_components=2,contamination=0.05)",support vector machine,81.2279,0.7661,81.5295,80.7004,79.9780,0,294,53.8,
