Run_ID,Wariant,Stan,Raster,Zakres,Lp.,Metoda,Algorytm,DA_%,Kappa,Makro_PA_%,Makro_UA_%,Makro_F1_%,Niesklasyfikowane,Usuniete_px,Czas_s,Blad
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,1,MAD → Robust Mahalanobis,maximum likelihood,66.5880,0.6062,74.6626,73.4766,69.7427,0,2907,22.2,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,2,Robust Mahalanobis → PCA Mahalanobis,maximum likelihood,64.2267,0.5782,71.4998,76.6335,68.6921,0,3394,18.1,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,3,PCA Mahalanobis → Percentile,maximum likelihood,63.8725,0.5736,71.5823,73.8992,66.3237,0,2766,22.2,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,4,"Ensemble[PCA Mahalanobis, Robust Mahalanobis]",maximum likelihood,61.7473,0.5559,73.0725,70.0767,66.4811,0,1375,29.7,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,5,Robust Mahalanobis → Percentile,maximum likelihood,61.5112,0.5488,69.9445,70.8168,65.7395,0,2700,24.4,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,6,SAM → PCA Mahalanobis,maximum likelihood,59.7403,0.5323,70.1408,74.0957,64.1230,0,2446,22.4,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,7,MAD → Percentile,maximum likelihood,58.2054,0.5152,68.3731,68.5214,60.9988,0,1680,29.0,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,8,"Ensemble[PCA Mahalanobis, Percentile]",maximum likelihood,58.0874,0.5215,73.1339,70.6866,63.8982,0,420,34.4,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,9,"Ensemble[Robust Mahalanobis, MAD]",maximum likelihood,57.6151,0.5165,72.4994,69.1676,63.0682,0,459,32.4,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,10,Percentile,maximum likelihood,57.6151,0.5163,72.6698,71.7358,63.2799,0,641,34.5,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,11,SAM → Percentile,maximum likelihood,57.3790,0.5135,72.3288,71.5587,63.2923,0,710,34.9,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,12,"Ensemble[Robust Mahalanobis, Percentile]",maximum likelihood,57.2609,0.5143,73.3634,71.4490,63.6798,0,303,34.5,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,13,"Ensemble[MAD, Percentile]",maximum likelihood,57.1429,0.5123,72.6722,70.6829,63.1152,0,234,34.4,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,14,Percentile → SAM,maximum likelihood,57.1429,0.5109,72.0943,71.9902,62.7916,0,697,34.8,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,15,Poziom bazowy,maximum likelihood,56.3164,0.5052,73.2137,70.0869,62.5189,0,0,34.9,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,16,"Ensemble[MAD, SAM]",maximum likelihood,55.7261,0.4988,72.6072,70.4177,62.0713,0,36,34.0,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,17,SAM,maximum likelihood,55.6080,0.4971,72.2970,70.2251,61.9428,0,61,34.5,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,18,"Ensemble[PCA Mahalanobis, SAM]",maximum likelihood,55.6080,0.4971,72.2970,70.2251,61.9428,0,53,34.4,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,19,"Ensemble[Robust Mahalanobis, SAM]",maximum likelihood,55.6080,0.4971,72.2970,70.2251,61.9428,0,37,34.9,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,20,"Ensemble[Percentile, SAM]",maximum likelihood,55.6080,0.4971,72.2970,70.1240,61.9163,0,49,34.6,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,21,Percentile → PCA Mahalanobis,maximum likelihood,55.1358,0.4732,61.4377,69.6396,56.5283,0,2706,22.3,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,22,MAD → PCA Mahalanobis,maximum likelihood,54.8996,0.4678,63.6449,68.1015,65.1392,0,3065,18.1,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,23,Percentile → Robust Mahalanobis,maximum likelihood,51.1216,0.3815,50.9445,62.2537,53.0620,0,2782,24.4,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,24,Percentile → MAD,maximum likelihood,49.7048,0.4212,59.6741,69.5706,49.6897,0,1542,28.6,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,25,PCA Mahalanobis,maximum likelihood,43.8017,0.3657,58.5571,64.1995,51.1004,0,2366,23.7,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,26,"Ensemble[PCA Mahalanobis, MAD]",maximum likelihood,43.3294,0.1359,22.3314,55.7937,28.7556,0,796,30.8,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,27,MAD,maximum likelihood,43.2113,0.1330,21.9264,48.4992,34.5847,0,1152,29.9,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,28,PCA Mahalanobis → SAM,maximum likelihood,37.3081,0.2970,52.3541,64.0187,46.3571,0,2404,24.3,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,29,Robust Mahalanobis → MAD,maximum likelihood,34.4746,0.2444,38.9103,48.9109,37.0784,0,3428,19.7,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,30,SAM → MAD,maximum likelihood,34.3566,0.2689,48.6801,63.4581,37.4118,0,1199,29.6,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,31,MAD → SAM,maximum likelihood,33.5301,0.2409,38.7796,58.6690,29.2296,0,1201,29.5,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,32,SAM → Robust Mahalanobis,maximum likelihood,26.9185,0.1581,28.0387,51.9812,30.5217,0,2318,25.8,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,33,Robust Mahalanobis → SAM,maximum likelihood,26.9185,0.1581,28.0170,51.8469,30.5193,0,2364,25.5,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,34,Robust Mahalanobis,maximum likelihood,26.8005,0.1567,27.8666,51.7162,30.2987,0,2325,25.3,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,35,PCA Mahalanobis → Robust Mahalanobis,maximum likelihood,10.5077,0.0000,14.2857,10.5077,19.0171,0,3657,17.1,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,36,PCA Mahalanobis → MAD,maximum likelihood,7.3200,-0.0441,9.3186,5.2682,8.5934,0,2763,22.1,
