Run_ID,Wariant,Stan,Raster,Zakres,Lp.,Metoda,Algorytm,DA_%,Kappa,Makro_PA_%,Makro_UA_%,Makro_F1_%,Niesklasyfikowane,Usuniete_px,Czas_s,Blad
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,1,MAD → PCA Mahalanobis,minimum distance,79.9292,0.7457,74.9334,76.6894,74.4036,0,3065,7.0,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,2,MAD → Robust Mahalanobis,minimum distance,79.5750,0.7420,74.7562,75.9088,73.4372,0,2907,7.1,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,3,Percentile → Robust Mahalanobis,minimum distance,76.8595,0.7082,71.4495,74.2185,70.2416,0,2782,7.7,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,4,Percentile → MAD,minimum distance,76.6234,0.7099,75.6663,75.3959,73.6250,0,1542,8.3,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,5,Percentile → PCA Mahalanobis,minimum distance,76.6234,0.7052,70.7715,73.1124,69.3373,0,2706,7.2,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,6,SAM → Robust Mahalanobis,minimum distance,76.5053,0.6996,70.4413,75.1045,70.0406,0,2318,8.4,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,7,"Ensemble[PCA Mahalanobis, Robust Mahalanobis]",minimum distance,76.5053,0.6991,70.3303,75.1645,70.2569,0,1375,8.4,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,8,PCA Mahalanobis,minimum distance,76.3872,0.7018,70.6263,72.9786,69.1808,0,2366,8.0,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,9,PCA Mahalanobis → Percentile,minimum distance,76.2692,0.7007,70.4253,72.2673,68.7282,0,2766,6.9,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,10,PCA Mahalanobis → SAM,minimum distance,76.2692,0.7001,70.3696,72.7996,68.9717,0,2404,8.1,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,11,Robust Mahalanobis → Percentile,minimum distance,75.9150,0.6930,70.2457,74.3431,69.5571,0,2700,7.6,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,12,Robust Mahalanobis → SAM,minimum distance,75.9150,0.6929,70.2208,74.5129,69.6453,0,2364,8.2,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,13,Robust Mahalanobis,minimum distance,75.9150,0.6929,70.2208,74.4546,69.6340,0,2325,7.6,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,14,SAM → PCA Mahalanobis,minimum distance,75.7969,0.6940,69.5054,72.7592,68.1627,0,2446,7.2,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,15,Robust Mahalanobis → MAD,minimum distance,75.6789,0.6939,69.8951,72.6659,68.3060,0,3428,7.1,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,16,PCA Mahalanobis → Robust Mahalanobis,minimum distance,75.6789,0.6925,69.2160,72.2094,67.4254,0,3657,7.0,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,17,MAD → Percentile,minimum distance,75.5608,0.6969,74.2251,73.8910,71.6519,0,1680,8.2,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,18,SAM → Percentile,minimum distance,75.5608,0.6921,73.5025,74.2930,72.5977,0,710,9.0,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,19,PCA Mahalanobis → MAD,minimum distance,75.5608,0.6914,69.5495,72.1757,67.9839,0,2763,7.5,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,20,Percentile → SAM,minimum distance,75.4427,0.6908,73.4542,74.3343,72.5735,0,697,8.9,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,21,"Ensemble[Robust Mahalanobis, Percentile]",minimum distance,75.4427,0.6907,73.5806,74.4035,72.6666,0,303,9.6,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,22,"Ensemble[MAD, Percentile]",minimum distance,75.3247,0.6896,73.6442,74.6017,72.7255,0,234,9.6,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,23,"Ensemble[PCA Mahalanobis, Percentile]",minimum distance,75.3247,0.6896,73.5466,74.0818,72.5123,0,420,9.1,
