Run_ID,Wariant,Stan,Raster,Zakres,Lp.,Metoda,Algorytm,DA_%,Kappa,Makro_PA_%,Makro_UA_%,Makro_F1_%,Niesklasyfikowane,Usuniete_px,Czas_s,Blad
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,1,"Ensemble[Robust Mahalanobis, Percentile]",multi-layer perceptron,81.8182,0.7677,77.3312,79.6243,77.1308,0,303,19.7,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,2,Percentile → SAM,multi-layer perceptron,81.5821,0.7636,76.3793,79.2436,76.6711,0,697,19.8,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,3,Percentile → MAD,multi-layer perceptron,79.6930,0.7425,74.4683,74.8488,74.2378,0,1542,19.8,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,4,"Ensemble[PCA Mahalanobis, Percentile]",multi-layer perceptron,79.5750,0.7423,76.4287,77.2182,74.9235,0,420,17.8,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,5,MAD → PCA Mahalanobis,multi-layer perceptron,79.4569,0.7337,72.7132,78.4200,74.1644,0,3065,15.8,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,6,Percentile,multi-layer perceptron,79.3388,0.7401,76.4500,77.7328,75.0018,0,641,15.2,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,7,SAM → MAD,multi-layer perceptron,78.8666,0.7284,73.1071,77.6136,72.7230,0,1199,16.2,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,8,"Ensemble[PCA Mahalanobis, Robust Mahalanobis]",multi-layer perceptron,78.7485,0.7326,76.5407,76.8820,75.7899,0,1375,16.1,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,9,"Ensemble[Percentile, SAM]",multi-layer perceptron,78.3943,0.7242,72.9743,75.3650,73.2505,0,49,15.8,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,10,"Ensemble[PCA Mahalanobis, MAD]",multi-layer perceptron,78.1582,0.7260,76.1721,79.1094,74.7839,0,796,16.8,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,11,"Ensemble[PCA Mahalanobis, SAM]",multi-layer perceptron,78.0401,0.7242,75.5168,75.3631,74.3057,0,53,19.5,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,12,MAD → SAM,multi-layer perceptron,77.8040,0.7181,74.0652,77.1841,73.4167,0,1201,17.2,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,13,PCA Mahalanobis → SAM,multi-layer perceptron,77.6860,0.7145,70.6194,72.6949,70.2087,0,2404,18.3,
