Run_ID,Wariant,Stan,Raster,Zakres,Lp.,Metoda,Algorytm,DA_%,Kappa,Makro_PA_%,Makro_UA_%,Makro_F1_%,Niesklasyfikowane,Usuniete_px,Czas_s,Blad
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,1,Robust Mahalanobis → MAD,random forest,64.1086,0.5573,61.2141,65.4231,59.3723,0,3428,6.0,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,2,MAD → PCA Mahalanobis,random forest,48.1700,0.4045,59.0389,68.3509,54.1802,0,3065,6.1,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,3,Percentile,random forest,46.8713,0.3924,62.8387,57.3248,55.9103,0,641,6.2,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,4,"Ensemble[PCA Mahalanobis, MAD]",random forest,46.5171,0.3894,62.2185,58.7352,55.3173,0,796,6.7,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,5,"Ensemble[Percentile, SAM]",random forest,46.5171,0.3889,62.3076,57.5979,55.5080,0,49,6.8,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,6,Poziom bazowy,random forest,46.3991,0.3867,61.9001,57.8461,55.3211,0,0,6.2,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,7,SAM → Percentile,random forest,46.3991,0.3866,62.1951,56.6688,55.4826,0,710,6.5,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,8,"Ensemble[PCA Mahalanobis, Percentile]",random forest,46.3991,0.3862,61.8830,56.9539,55.3179,0,420,6.6,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,9,MAD,random forest,46.2810,0.3869,62.3982,58.2538,55.7472,0,1152,6.1,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,10,"Ensemble[MAD, SAM]",random forest,46.1629,0.3846,61.8173,56.0874,54.9440,0,36,6.8,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,11,Percentile → SAM,random forest,46.1629,0.3841,62.1436,57.2645,55.7860,0,697,6.5,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,12,"Ensemble[MAD, Percentile]",random forest,46.0449,0.3829,62.0250,56.8548,55.4920,0,234,7.0,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,13,"Ensemble[PCA Mahalanobis, SAM]",random forest,45.9268,0.3818,61.5123,55.0101,54.3060,0,53,6.5,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,14,"Ensemble[Robust Mahalanobis, Percentile]",random forest,45.9268,0.3811,61.3508,55.4816,54.8264,0,303,6.6,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,15,"Ensemble[Robust Mahalanobis, SAM]",random forest,45.8087,0.3803,61.3677,54.7567,54.2742,0,37,6.7,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,16,SAM,random forest,45.6907,0.3785,61.2263,56.9979,54.7469,0,61,6.2,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,17,"Ensemble[Robust Mahalanobis, MAD]",random forest,45.1004,0.3738,60.8336,57.3291,54.0655,0,459,6.6,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,18,Percentile → MAD,random forest,44.7462,0.3830,62.2626,67.7706,54.7526,0,1542,6.3,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,19,"Ensemble[PCA Mahalanobis, Robust Mahalanobis]",random forest,44.1558,0.3751,61.6837,63.7693,53.5087,0,1375,6.5,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,20,MAD → Percentile,random forest,43.4475,0.3681,60.1953,67.3634,52.3735,0,1680,6.3,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,21,Robust Mahalanobis → Percentile,random forest,42.8571,0.3609,60.0410,69.9858,52.2948,0,2700,6.2,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,22,MAD → Robust Mahalanobis,random forest,42.6210,0.3526,56.5160,65.1156,49.6996,0,2907,6.1,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,23,SAM → Robust Mahalanobis,random forest,42.5030,0.3568,59.4607,70.3957,52.0136,0,2318,6.6,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,24,SAM → MAD,random forest,42.3849,0.3568,59.2034,66.2124,51.9580,0,1199,6.5,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,25,MAD → SAM,random forest,42.3849,0.3567,59.2136,65.9296,51.8882,0,1201,6.3,
