Run_ID,Wariant,Stan,Raster,Zakres,Lp.,Metoda,Algorytm,DA_%,Kappa,Makro_PA_%,Makro_UA_%,Makro_F1_%,Niesklasyfikowane,Usuniete_px,Czas_s,Blad
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,1,MAD → PCA Mahalanobis,spectral angle mapping,81.8182,0.7691,76.2621,80.2619,76.5913,0,3065,9.1,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,2,"Ensemble[PCA Mahalanobis, Robust Mahalanobis]",spectral angle mapping,81.7001,0.7697,79.2054,79.8387,78.5907,0,1375,10.4,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,3,PCA Mahalanobis,spectral angle mapping,80.8737,0.7588,77.0320,78.4621,75.6184,0,2366,9.0,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,4,PCA Mahalanobis → SAM,spectral angle mapping,80.7556,0.7573,76.8801,78.4504,75.5157,0,2404,9.2,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,5,Percentile → Robust Mahalanobis,spectral angle mapping,80.6375,0.7569,77.9434,78.6820,77.1921,0,2782,9.3,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,6,PCA Mahalanobis → Percentile,spectral angle mapping,80.5195,0.7544,76.6067,77.4699,75.1447,0,2766,9.0,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,7,Robust Mahalanobis → Percentile,spectral angle mapping,80.1653,0.7514,77.7186,77.7403,76.6031,0,2700,9.2,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,8,Robust Mahalanobis → SAM,spectral angle mapping,79.6930,0.7458,77.3184,77.3430,76.2424,0,2364,9.3,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,9,PCA Mahalanobis → MAD,spectral angle mapping,79.6930,0.7437,75.5357,76.7143,74.2908,0,2763,9.0,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,10,Percentile → PCA Mahalanobis,spectral angle mapping,79.6930,0.7426,73.6126,77.5567,73.0745,0,2706,9.2,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,11,Robust Mahalanobis,spectral angle mapping,79.4569,0.7428,76.9657,77.0541,75.9378,0,2325,9.6,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,12,SAM → Robust Mahalanobis,spectral angle mapping,79.3388,0.7409,76.6947,77.3035,75.7703,0,2318,10.1,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,13,MAD → Robust Mahalanobis,spectral angle mapping,79.3388,0.7408,76.1740,79.2994,74.6307,0,2907,9.1,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,14,Robust Mahalanobis → PCA Mahalanobis,spectral angle mapping,79.3388,0.7384,73.1215,77.2473,72.4745,0,3394,8.0,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,15,SAM → PCA Mahalanobis,spectral angle mapping,79.3388,0.7373,72.5828,76.5603,72.2677,0,2446,9.3,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,16,PCA Mahalanobis → Robust Mahalanobis,spectral angle mapping,78.6305,0.7291,72.0730,76.3059,71.2099,0,3657,8.0,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,17,Robust Mahalanobis → MAD,spectral angle mapping,78.1582,0.7245,72.4941,76.6513,71.7491,0,3428,8.5,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,18,SAM → Percentile,spectral angle mapping,78.0401,0.7273,77.3497,78.0398,76.5889,0,710,11.6,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,19,Percentile → SAM,spectral angle mapping,77.9221,0.7258,77.1994,77.8513,76.4039,0,697,11.5,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,20,Percentile,spectral angle mapping,77.8040,0.7246,77.2616,77.9005,76.4445,0,641,11.3,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,21,"Ensemble[Robust Mahalanobis, Percentile]",spectral angle mapping,77.6860,0.7232,77.1069,77.7801,76.3121,0,303,11.7,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,22,"Ensemble[PCA Mahalanobis, Percentile]",spectral angle mapping,77.5679,0.7217,76.9131,77.5835,76.1092,0,420,11.6,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,23,SAM,spectral angle mapping,77.2137,0.7174,76.7153,77.4026,75.9322,0,61,11.2,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,24,"Ensemble[PCA Mahalanobis, SAM]",spectral angle mapping,77.2137,0.7174,76.7153,77.4026,75.9322,0,53,11.7,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,25,"Ensemble[Robust Mahalanobis, SAM]",spectral angle mapping,77.2137,0.7174,76.7153,77.4026,75.9322,0,37,11.7,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,26,"Ensemble[Percentile, SAM]",spectral angle mapping,77.2137,0.7174,76.7153,77.4026,75.9322,0,49,11.9,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,27,Poziom bazowy,spectral angle mapping,76.8595,0.7138,76.9843,77.5578,76.0289,0,0,11.7,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,28,Percentile → MAD,spectral angle mapping,76.8595,0.7131,75.6230,76.8951,74.5100,0,1542,10.3,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,29,"Ensemble[MAD, SAM]",spectral angle mapping,76.5053,0.7094,76.4508,77.1728,75.5958,0,36,11.8,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,30,"Ensemble[MAD, Percentile]",spectral angle mapping,76.3872,0.7080,76.2119,76.9598,75.3227,0,234,11.8,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,31,MAD → Percentile,spectral angle mapping,75.7969,0.7000,74.1368,76.6540,72.5012,0,1680,10.3,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,32,"Ensemble[Robust Mahalanobis, MAD]",spectral angle mapping,75.5608,0.6977,74.9971,75.8967,74.0819,0,459,11.7,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,33,SAM → MAD,spectral angle mapping,75.4427,0.6958,73.9699,74.9523,72.7766,0,1199,10.5,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,34,MAD → SAM,spectral angle mapping,75.3247,0.6944,73.8661,74.7226,72.7080,0,1201,10.4,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,35,"Ensemble[PCA Mahalanobis, MAD]",spectral angle mapping,74.8524,0.6892,73.8992,74.8618,72.7185,0,796,11.2,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,36,MAD,spectral angle mapping,74.7344,0.6878,73.7504,74.6933,72.5595,0,1152,10.2,
