Run_ID,Wariant,Stan,Raster,Zakres,Lp.,Metoda,Algorytm,DA_%,Kappa,Makro_PA_%,Makro_UA_%,Makro_F1_%,Niesklasyfikowane,Usuniete_px,Czas_s,Blad
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,1,MAD → PCA Mahalanobis,support vector machine,82.0543,0.7698,75.6647,80.6353,75.8754,0,3065,15.1,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,2,MAD → Robust Mahalanobis,support vector machine,81.8182,0.7688,76.3290,79.7630,75.5845,0,2907,12.7,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,3,SAM → Percentile,support vector machine,80.6375,0.7561,79.1186,80.0502,78.0792,0,710,37.2,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,4,Percentile → SAM,support vector machine,80.2834,0.7517,78.7753,79.7212,77.7109,0,697,36.8,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,5,Percentile → Robust Mahalanobis,support vector machine,80.2834,0.7499,74.5011,76.3136,73.5254,0,2782,17.3,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,6,Percentile → PCA Mahalanobis,support vector machine,79.5750,0.7413,73.3461,74.6504,72.3530,0,2706,14.3,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,7,Percentile,support vector machine,79.2208,0.7393,78.4615,79.2551,77.1495,0,641,37.0,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,8,"Ensemble[Robust Mahalanobis, Percentile]",support vector machine,79.1027,0.7379,78.3200,79.1894,77.1005,0,303,39.0,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,9,Percentile → MAD,support vector machine,78.9847,0.7380,77.9995,78.4338,75.5992,0,1542,22.4,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,10,SAM,support vector machine,78.9847,0.7372,78.7703,79.5006,77.4322,0,61,41.1,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,11,"Ensemble[PCA Mahalanobis, SAM]",support vector machine,78.9847,0.7372,78.7703,79.5006,77.4322,0,53,41.5,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,12,"Ensemble[Robust Mahalanobis, SAM]",support vector machine,78.9847,0.7372,78.7703,79.5006,77.4322,0,37,41.6,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,13,"Ensemble[Percentile, SAM]",support vector machine,78.8666,0.7358,78.7262,79.4480,77.3668,0,49,41.5,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,14,Poziom bazowy,support vector machine,78.7485,0.7352,79.4765,80.0735,77.9167,0,0,43.5,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,15,"Ensemble[PCA Mahalanobis, Percentile]",support vector machine,78.7485,0.7335,77.9201,78.5881,76.5175,0,420,37.7,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,16,"Ensemble[MAD, SAM]",support vector machine,78.6305,0.7336,79.2214,79.8610,77.6920,0,36,41.0,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,17,MAD → Percentile,support vector machine,78.5124,0.7324,77.3301,77.8007,74.7736,0,1680,20.9,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,18,"Ensemble[PCA Mahalanobis, Robust Mahalanobis]",support vector machine,78.5124,0.7259,72.9739,75.6441,72.3962,0,1375,21.1,
