Run_ID,Wariant,Stan,Raster,Zakres,Lp.,Metoda,Algorytm,Klasa,PA_%,UA_%,F1_%
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,1,MAD → PCA Mahalanobis,support vector machine,1,98.1481,89.5775,93.6672
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,1,MAD → PCA Mahalanobis,support vector machine,2,77.8947,57.3643,66.0714
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,1,MAD → PCA Mahalanobis,support vector machine,3,66.6667,98.4615,79.5031
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,1,MAD → PCA Mahalanobis,support vector machine,4,91.1392,65.4545,76.1905
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,1,MAD → PCA Mahalanobis,support vector machine,5,28.9157,68.5714,40.6780
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,1,MAD → PCA Mahalanobis,support vector machine,6,97.7528,98.8636,98.3051
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,1,MAD → PCA Mahalanobis,support vector machine,7,69.1358,86.1538,76.7123
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,2,MAD → PCA Mahalanobis,spectral angle mapping,1,95.3704,93.0723,94.2073
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,2,MAD → PCA Mahalanobis,spectral angle mapping,2,73.6842,62.5000,67.6329
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,2,MAD → PCA Mahalanobis,spectral angle mapping,3,78.1250,100.0000,87.7193
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,2,MAD → PCA Mahalanobis,spectral angle mapping,4,87.3418,51.8797,65.0943
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,2,MAD → PCA Mahalanobis,spectral angle mapping,5,45.7831,74.5098,56.7164
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,2,MAD → PCA Mahalanobis,spectral angle mapping,6,95.5056,98.8372,97.1429
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,2,MAD → PCA Mahalanobis,spectral angle mapping,7,58.0247,81.0345,67.6259
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,3,MAD → Robust Mahalanobis,support vector machine,1,95.3704,92.5150,93.9210
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,3,MAD → Robust Mahalanobis,support vector machine,2,85.2632,55.8621,67.5000
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,3,MAD → Robust Mahalanobis,support vector machine,3,66.6667,100.0000,80.0000
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,3,MAD → Robust Mahalanobis,support vector machine,4,91.1392,66.0550,76.5957
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,3,MAD → Robust Mahalanobis,support vector machine,5,26.5060,66.6667,37.9310
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,3,MAD → Robust Mahalanobis,support vector machine,6,97.7528,98.8636,98.3051
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,3,MAD → Robust Mahalanobis,support vector machine,7,71.6049,78.3784,74.8387
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,4,"Ensemble[Robust Mahalanobis, Percentile]",multi-layer perceptron,1,93.8272,88.1159,90.8819
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,4,"Ensemble[Robust Mahalanobis, Percentile]",multi-layer perceptron,2,61.0526,52.2523,56.3107
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,4,"Ensemble[Robust Mahalanobis, Percentile]",multi-layer perceptron,3,79.1667,95.0000,86.3636
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,4,"Ensemble[Robust Mahalanobis, Percentile]",multi-layer perceptron,4,89.8734,83.5294,86.5854
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,4,"Ensemble[Robust Mahalanobis, Percentile]",multi-layer perceptron,5,31.3253,68.4211,42.9752
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,4,"Ensemble[Robust Mahalanobis, Percentile]",multi-layer perceptron,6,91.0112,95.2941,93.1034
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,4,"Ensemble[Robust Mahalanobis, Percentile]",multi-layer perceptron,7,95.0617,74.7573,83.6957
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,5,"Ensemble[PCA Mahalanobis, Robust Mahalanobis]",spectral angle mapping,1,88.5802,91.9872,90.2516
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,5,"Ensemble[PCA Mahalanobis, Robust Mahalanobis]",spectral angle mapping,2,72.6316,71.8750,72.2513
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,5,"Ensemble[PCA Mahalanobis, Robust Mahalanobis]",spectral angle mapping,3,68.7500,100.0000,81.4815
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,5,"Ensemble[PCA Mahalanobis, Robust Mahalanobis]",spectral angle mapping,4,83.5443,68.0412,75.0000
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,5,"Ensemble[PCA Mahalanobis, Robust Mahalanobis]",spectral angle mapping,5,60.2410,68.4932,64.1026
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,5,"Ensemble[PCA Mahalanobis, Robust Mahalanobis]",spectral angle mapping,6,95.5056,100.0000,97.7011
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,5,"Ensemble[PCA Mahalanobis, Robust Mahalanobis]",spectral angle mapping,7,85.1852,58.4746,69.3467
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,6,Percentile → SAM,multi-layer perceptron,1,95.9877,87.1148,91.3363
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,6,Percentile → SAM,multi-layer perceptron,2,61.0526,53.2110,56.8627
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,6,Percentile → SAM,multi-layer perceptron,3,65.6250,100.0000,79.2453
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,6,Percentile → SAM,multi-layer perceptron,4,91.1392,82.7586,86.7470
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,6,Percentile → SAM,multi-layer perceptron,5,32.5301,56.2500,41.2214
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,6,Percentile → SAM,multi-layer perceptron,6,93.2584,94.3182,93.7853
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,6,Percentile → SAM,multi-layer perceptron,7,95.0617,81.0526,87.5000
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,7,PCA Mahalanobis,spectral angle mapping,1,90.4321,93.3121,91.8495
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,7,PCA Mahalanobis,spectral angle mapping,2,83.1579,56.8345,67.5214
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,7,PCA Mahalanobis,spectral angle mapping,3,68.7500,100.0000,81.4815
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,7,PCA Mahalanobis,spectral angle mapping,4,83.5443,76.7442,80.0000
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,7,PCA Mahalanobis,spectral angle mapping,5,27.7108,62.1622,38.3333
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,7,PCA Mahalanobis,spectral angle mapping,6,95.5056,98.8372,97.1429
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,7,PCA Mahalanobis,spectral angle mapping,7,90.1235,61.3445,73.0000
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,8,PCA Mahalanobis → SAM,spectral angle mapping,1,90.4321,93.0159,91.7058
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,8,PCA Mahalanobis → SAM,spectral angle mapping,2,81.0526,56.2044,66.3793
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,8,PCA Mahalanobis → SAM,spectral angle mapping,3,69.7917,100.0000,82.2086
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,8,PCA Mahalanobis → SAM,spectral angle mapping,4,83.5443,75.8621,79.5181
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,8,PCA Mahalanobis → SAM,spectral angle mapping,5,27.7108,63.8889,38.6555
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,8,PCA Mahalanobis → SAM,spectral angle mapping,6,95.5056,98.8372,97.1429
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,8,PCA Mahalanobis → SAM,spectral angle mapping,7,90.1235,61.3445,73.0000
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,9,Percentile → Robust Mahalanobis,spectral angle mapping,1,87.6543,93.1148,90.3021
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,9,Percentile → Robust Mahalanobis,spectral angle mapping,2,75.7895,64.8649,69.9029
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,9,Percentile → Robust Mahalanobis,spectral angle mapping,3,69.7917,100.0000,82.2086
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,9,Percentile → Robust Mahalanobis,spectral angle mapping,4,83.5443,72.5275,77.6471
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,9,Percentile → Robust Mahalanobis,spectral angle mapping,5,50.6024,66.6667,57.5342
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,9,Percentile → Robust Mahalanobis,spectral angle mapping,6,95.5056,100.0000,97.7011
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,9,Percentile → Robust Mahalanobis,spectral angle mapping,7,82.7160,53.6000,65.0485
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,10,SAM → Percentile,support vector machine,1,85.1852,87.8981,86.5204
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,10,SAM → Percentile,support vector machine,2,77.8947,71.1538,74.3719
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,10,SAM → Percentile,support vector machine,3,65.6250,100.0000,79.2453
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,10,SAM → Percentile,support vector machine,4,97.4684,82.7957,89.5349
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,10,SAM → Percentile,support vector machine,5,43.3735,65.4545,52.1739
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,10,SAM → Percentile,support vector machine,6,96.6292,98.8506,97.7273
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,10,SAM → Percentile,support vector machine,7,87.6543,54.1985,66.9811
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,11,PCA Mahalanobis → Percentile,spectral angle mapping,1,90.4321,93.3121,91.8495
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,11,PCA Mahalanobis → Percentile,spectral angle mapping,2,78.9474,55.9701,65.5022
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,11,PCA Mahalanobis → Percentile,spectral angle mapping,3,68.7500,100.0000,81.4815
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,11,PCA Mahalanobis → Percentile,spectral angle mapping,4,82.2785,77.3810,79.7546
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,11,PCA Mahalanobis → Percentile,spectral angle mapping,5,26.5060,55.0000,35.7724
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,11,PCA Mahalanobis → Percentile,spectral angle mapping,6,95.5056,98.8372,97.1429
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,11,PCA Mahalanobis → Percentile,spectral angle mapping,7,93.8272,61.7886,74.5098
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,12,Percentile → SAM,support vector machine,1,84.8765,87.8594,86.3422
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,12,Percentile → SAM,support vector machine,2,76.8421,70.8738,73.7374
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,12,Percentile → SAM,support vector machine,3,64.5833,100.0000,78.4810
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,12,Percentile → SAM,support vector machine,4,97.4684,82.7957,89.5349
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,12,Percentile → SAM,support vector machine,5,43.3735,64.2857,51.7986
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,12,Percentile → SAM,support vector machine,6,96.6292,98.8506,97.7273
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,12,Percentile → SAM,support vector machine,7,87.6543,53.3835,66.3551
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,13,Percentile → Robust Mahalanobis,support vector machine,1,95.6790,93.9394,94.8012
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,13,Percentile → Robust Mahalanobis,support vector machine,2,86.3158,63.5659,73.2143
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,13,Percentile → Robust Mahalanobis,support vector machine,3,41.6667,90.9091,57.1429
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,13,Percentile → Robust Mahalanobis,support vector machine,4,91.1392,66.6667,77.0053
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,13,Percentile → Robust Mahalanobis,support vector machine,5,37.3494,41.8919,39.4904
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,13,Percentile → Robust Mahalanobis,support vector machine,6,97.7528,96.6667,97.2067
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,13,Percentile → Robust Mahalanobis,support vector machine,7,71.6049,80.5556,75.8170
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,14,Robust Mahalanobis → Percentile,spectral angle mapping,1,86.7284,93.0464,89.7764
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,14,Robust Mahalanobis → Percentile,spectral angle mapping,2,73.6842,65.4206,69.3069
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,14,Robust Mahalanobis → Percentile,spectral angle mapping,3,68.7500,97.0588,80.4878
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,14,Robust Mahalanobis → Percentile,spectral angle mapping,4,83.5443,66.6667,74.1573
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,14,Robust Mahalanobis → Percentile,spectral angle mapping,5,49.3976,65.0794,56.1644
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,14,Robust Mahalanobis → Percentile,spectral angle mapping,6,95.5056,100.0000,97.7011
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,14,Robust Mahalanobis → Percentile,spectral angle mapping,7,86.4198,56.9106,68.6275
