Run_ID,Wariant,Stan,Raster,Zakres,Lp.,Metoda,Algorytm,DA_%,Kappa,Makro_PA_%,Makro_UA_%,Makro_F1_%,Niesklasyfikowane,Usuniete_px,Czas_s,Blad
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,1,MAD → PCA Mahalanobis,support vector machine,82.0543,0.7698,75.6647,80.6353,75.8754,0,3065,15.1,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,2,MAD → PCA Mahalanobis,spectral angle mapping,81.8182,0.7691,76.2621,80.2619,76.5913,0,3065,9.1,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,3,MAD → Robust Mahalanobis,support vector machine,81.8182,0.7688,76.3290,79.7630,75.5845,0,2907,12.7,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,4,"Ensemble[Robust Mahalanobis, Percentile]",multi-layer perceptron,81.8182,0.7677,77.3312,79.6243,77.1308,0,303,19.7,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,5,"Ensemble[PCA Mahalanobis, Robust Mahalanobis]",spectral angle mapping,81.7001,0.7697,79.2054,79.8387,78.5907,0,1375,10.4,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,6,Percentile → SAM,multi-layer perceptron,81.5821,0.7636,76.3793,79.2436,76.6711,0,697,19.8,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,7,PCA Mahalanobis,spectral angle mapping,80.8737,0.7588,77.0320,78.4621,75.6184,0,2366,9.0,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,8,PCA Mahalanobis → SAM,spectral angle mapping,80.7556,0.7573,76.8801,78.4504,75.5157,0,2404,9.2,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,9,Percentile → Robust Mahalanobis,spectral angle mapping,80.6375,0.7569,77.9434,78.6820,77.1921,0,2782,9.3,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,10,SAM → Percentile,support vector machine,80.6375,0.7561,79.1186,80.0502,78.0792,0,710,37.2,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,11,PCA Mahalanobis → Percentile,spectral angle mapping,80.5195,0.7544,76.6067,77.4699,75.1447,0,2766,9.0,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,12,Percentile → SAM,support vector machine,80.2834,0.7517,78.7753,79.7212,77.7109,0,697,36.8,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,13,Percentile → Robust Mahalanobis,support vector machine,80.2834,0.7499,74.5011,76.3136,73.5254,0,2782,17.3,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,14,Robust Mahalanobis → Percentile,spectral angle mapping,80.1653,0.7514,77.7186,77.7403,76.6031,0,2700,9.2,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,15,MAD → PCA Mahalanobis,minimum distance,79.9292,0.7457,74.9334,76.6894,74.4036,0,3065,7.0,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,16,Robust Mahalanobis → SAM,spectral angle mapping,79.6930,0.7458,77.3184,77.3430,76.2424,0,2364,9.3,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,17,PCA Mahalanobis → MAD,spectral angle mapping,79.6930,0.7437,75.5357,76.7143,74.2908,0,2763,9.0,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,18,Percentile → PCA Mahalanobis,spectral angle mapping,79.6930,0.7426,73.6126,77.5567,73.0745,0,2706,9.2,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,19,Percentile → MAD,multi-layer perceptron,79.6930,0.7425,74.4683,74.8488,74.2378,0,1542,19.8,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,20,"Ensemble[PCA Mahalanobis, Percentile]",multi-layer perceptron,79.5750,0.7423,76.4287,77.2182,74.9235,0,420,17.8,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,21,MAD → Robust Mahalanobis,minimum distance,79.5750,0.7420,74.7562,75.9088,73.4372,0,2907,7.1,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,22,Percentile → PCA Mahalanobis,support vector machine,79.5750,0.7413,73.3461,74.6504,72.3530,0,2706,14.3,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,23,Robust Mahalanobis,spectral angle mapping,79.4569,0.7428,76.9657,77.0541,75.9378,0,2325,9.6,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,24,MAD → PCA Mahalanobis,multi-layer perceptron,79.4569,0.7337,72.7132,78.4200,74.1644,0,3065,15.8,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,25,SAM → Robust Mahalanobis,spectral angle mapping,79.3388,0.7409,76.6947,77.3035,75.7703,0,2318,10.1,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,26,MAD → Robust Mahalanobis,spectral angle mapping,79.3388,0.7408,76.1740,79.2994,74.6307,0,2907,9.1,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,27,Percentile,multi-layer perceptron,79.3388,0.7401,76.4500,77.7328,75.0018,0,641,15.2,
