Run_ID,Wariant,Stan,Raster,Zakres,Lp.,Metoda,Algorytm,DA_%,Kappa,Makro_PA_%,Makro_UA_%,Makro_F1_%,Niesklasyfikowane,Usuniete_px,Czas_s,Blad
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,1,SAM → Robust Mahalanobis,maximum likelihood,57.9693,0.5163,70.5760,68.3681,62.4737,0,2630,30.7,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,2,Robust Mahalanobis → SAM,maximum likelihood,57.7332,0.5135,70.1111,67.8998,62.0599,0,2636,30.5,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,3,Robust Mahalanobis,maximum likelihood,57.4970,0.5113,70.1509,67.7897,61.8552,0,2601,29.7,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,4,Robust Mahalanobis → MAD,maximum likelihood,57.2609,0.5068,68.7316,67.5027,61.4439,0,3086,28.5,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,5,Percentile → MAD,maximum likelihood,48.2881,0.4161,63.5803,66.5840,53.3907,0,1269,35.8,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,6,SAM → MAD,maximum likelihood,47.9339,0.4125,63.4172,66.2600,53.2390,0,869,35.8,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,7,MAD → SAM,maximum likelihood,47.6978,0.4097,63.0102,66.2776,52.7602,0,901,35.7,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,8,Percentile,maximum likelihood,47.6978,0.4077,61.6452,63.6621,51.3598,0,547,37.5,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,9,"Ensemble[Robust Mahalanobis, Percentile]",maximum likelihood,47.5797,0.4067,61.7333,63.3229,51.4128,0,356,37.1,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,10,"Ensemble[PCA Mahalanobis, Percentile]",maximum likelihood,47.4616,0.4055,61.7152,63.4648,51.3156,0,354,37.5,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,11,Percentile → SAM,maximum likelihood,47.2255,0.4032,61.4903,63.9532,51.1347,0,604,37.8,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,12,"Ensemble[PCA Mahalanobis, MAD]",maximum likelihood,46.9894,0.4027,62.4608,66.0074,51.9568,0,818,35.9,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,13,"Ensemble[Robust Mahalanobis, MAD]",maximum likelihood,46.9894,0.4027,62.4608,66.0074,51.9568,0,736,35.5,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,14,MAD,maximum likelihood,46.7532,0.4001,62.1499,65.8658,51.6294,0,848,35.5,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,15,SAM → Percentile,maximum likelihood,46.7532,0.3988,61.3182,63.7692,50.7410,0,633,37.2,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,16,SAM,maximum likelihood,46.5171,0.3963,61.0616,62.5989,50.2758,0,61,37.5,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,17,"Ensemble[PCA Mahalanobis, SAM]",maximum likelihood,46.5171,0.3963,61.0616,62.5989,50.2758,0,61,37.4,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,18,"Ensemble[Robust Mahalanobis, SAM]",maximum likelihood,46.5171,0.3963,61.0616,62.5989,50.2758,0,61,36.6,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,19,"Ensemble[Percentile, SAM]",maximum likelihood,46.5171,0.3963,61.0616,62.5989,50.2758,0,57,37.6,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,20,Poziom bazowy,maximum likelihood,46.3991,0.3953,60.9287,61.8583,49.6646,0,0,38.4,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,21,"Ensemble[MAD, Percentile]",maximum likelihood,45.6907,0.3871,59.9887,62.8559,49.1700,0,204,38.1,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,22,"Ensemble[MAD, SAM]",maximum likelihood,45.3365,0.3843,60.0632,61.9112,48.7041,0,48,37.7,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,23,Percentile → Robust Mahalanobis,maximum likelihood,38.6068,0.2921,43.4112,65.2005,38.2155,0,2883,29.6,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,24,MAD → Percentile,maximum likelihood,38.2527,0.0000,14.2857,38.2527,55.3373,0,1367,35.6,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,25,Robust Mahalanobis → PCA Mahalanobis,maximum likelihood,11.3341,0.0000,14.2857,11.3341,20.3606,0,3798,20.2,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,26,Robust Mahalanobis → Percentile,maximum likelihood,11.2161,0.0000,14.2857,11.2161,20.1699,0,2927,30.5,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,27,PCA Mahalanobis,maximum likelihood,9.3270,0.0000,14.2857,9.3270,17.0626,0,2089,30.2,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,28,PCA Mahalanobis → MAD,maximum likelihood,9.3270,0.0000,14.2857,9.3270,17.0626,0,2573,29.3,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,29,PCA Mahalanobis → Percentile,maximum likelihood,9.3270,0.0000,14.2857,9.3270,17.0626,0,2502,30.4,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,30,PCA Mahalanobis → SAM,maximum likelihood,9.3270,0.0000,14.2857,9.3270,17.0626,0,2129,30.8,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,31,MAD → PCA Mahalanobis,maximum likelihood,9.3270,0.0000,14.2857,9.3270,17.0626,0,2322,31.5,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,32,Percentile → PCA Mahalanobis,maximum likelihood,9.3270,0.0000,14.2857,9.3270,17.0626,0,2343,32.1,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,33,SAM → PCA Mahalanobis,maximum likelihood,9.3270,0.0000,14.2857,9.3270,17.0626,0,2021,32.1,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,34,"Ensemble[PCA Mahalanobis, Robust Mahalanobis]",maximum likelihood,9.3270,0.0000,14.2857,9.3270,17.0626,0,1584,34.4,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,35,MAD → Robust Mahalanobis,maximum likelihood,8.2645,-0.0120,12.6582,4.1766,15.2672,0,3019,29.9,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,36,PCA Mahalanobis → Robust Mahalanobis,maximum likelihood,1.7710,-0.0844,2.7038,1.3294,2.2429,0,3625,24.1,
