Run_ID,Wariant,Stan,Raster,Zakres,Lp.,Metoda,Algorytm,DA_%,Kappa,Makro_PA_%,Makro_UA_%,Makro_F1_%,Niesklasyfikowane,Usuniete_px,Czas_s,Blad
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,1,Robust Mahalanobis → PCA Mahalanobis,minimum distance,82.2904,0.7761,78.3479,79.3627,77.0123,0,3798,7.0,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,2,MAD → SAM,minimum distance,79.4569,0.7419,78.4161,77.7278,77.3115,0,901,8.9,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,3,Poziom bazowy,minimum distance,79.4569,0.7405,78.4112,78.3409,77.3783,0,0,9.2,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,4,MAD,minimum distance,79.2208,0.7393,78.5665,77.5150,77.3129,0,848,8.6,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,5,"Ensemble[PCA Mahalanobis, MAD]",minimum distance,79.2208,0.7393,78.5665,77.5150,77.3129,0,818,8.6,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,6,SAM → MAD,minimum distance,79.1027,0.7378,78.3901,77.3265,77.1489,0,869,8.5,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,7,Percentile → MAD,minimum distance,79.1027,0.7378,78.3509,77.0118,77.0397,0,1269,8.4,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,8,MAD → Percentile,minimum distance,78.8666,0.7366,78.1553,76.1187,76.4026,0,1367,8.3,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,9,"Ensemble[MAD, Percentile]",minimum distance,78.8666,0.7329,77.8329,78.1572,76.9394,0,204,9.3,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,10,"Ensemble[PCA Mahalanobis, Percentile]",minimum distance,78.8666,0.7329,77.9174,78.3505,77.0121,0,354,9.1,
