Run_ID,Wariant,Stan,Raster,Zakres,Lp.,Metoda,Algorytm,DA_%,Kappa,Makro_PA_%,Makro_UA_%,Makro_F1_%,Niesklasyfikowane,Usuniete_px,Czas_s,Blad
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,1,SAM,multi-layer perceptron,85.3601,0.8128,80.8357,84.1024,80.9121,0,61,15.9,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,2,"Ensemble[PCA Mahalanobis, SAM]",multi-layer perceptron,85.3601,0.8128,80.8357,84.1024,80.9121,0,61,15.4,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,3,Percentile → SAM,multi-layer perceptron,82.1724,0.7755,79.5614,80.1704,78.2058,0,604,18.2,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,4,"Ensemble[PCA Mahalanobis, Percentile]",multi-layer perceptron,80.4014,0.7515,76.8928,78.3140,76.0058,0,354,20.1,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,5,Percentile,multi-layer perceptron,80.2834,0.7533,77.8178,76.0157,75.7619,0,547,16.3,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,6,"Ensemble[Robust Mahalanobis, SAM]",multi-layer perceptron,80.2834,0.7532,77.9400,76.4776,75.8934,0,61,18.8,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,7,"Ensemble[MAD, SAM]",multi-layer perceptron,80.1653,0.7522,78.0984,77.7353,76.4359,0,48,16.3,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,8,PCA Mahalanobis → SAM,multi-layer perceptron,79.9292,0.7456,77.0232,79.4581,76.7613,0,2129,19.2,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,9,PCA Mahalanobis,multi-layer perceptron,79.6930,0.7444,76.3946,76.0506,75.4502,0,2089,20.5,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,10,MAD → SAM,multi-layer perceptron,78.5124,0.7280,74.2089,75.1344,74.0275,0,901,19.3,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,11,MAD → PCA Mahalanobis,multi-layer perceptron,78.3943,0.7277,75.4199,76.6020,74.6978,0,2322,17.0,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,12,"Ensemble[Robust Mahalanobis, MAD]",multi-layer perceptron,78.3943,0.7241,74.1606,78.2278,74.6301,0,736,15.7,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,13,SAM → Percentile,multi-layer perceptron,78.1582,0.7303,78.2917,76.0860,75.1883,0,633,16.8,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,14,Percentile → MAD,multi-layer perceptron,78.0401,0.7263,75.6793,75.1366,72.8111,0,1269,19.3,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,15,SAM → MAD,multi-layer perceptron,78.0401,0.7241,74.9441,79.0935,73.7076,0,869,16.5,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,16,PCA Mahalanobis → MAD,multi-layer perceptron,77.8040,0.7253,77.3628,76.1840,74.7776,0,2573,15.9,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,17,SAM → PCA Mahalanobis,multi-layer perceptron,77.8040,0.7229,76.3692,77.5563,74.7633,0,2021,17.6,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,18,Robust Mahalanobis → Percentile,multi-layer perceptron,77.6860,0.7189,75.8820,73.9584,74.4267,0,2927,15.2,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,19,"Ensemble[PCA Mahalanobis, MAD]",multi-layer perceptron,77.2137,0.7133,74.4507,77.9547,71.7018,0,818,17.2,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,20,Robust Mahalanobis,multi-layer perceptron,77.0956,0.7147,75.8703,72.5045,73.5419,0,2601,16.8,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,21,MAD → Percentile,multi-layer perceptron,77.0956,0.7129,73.8987,72.6957,72.8183,0,1367,20.3,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,22,Robust Mahalanobis → SAM,multi-layer perceptron,76.7414,0.7127,77.3258,74.1756,74.3696,0,2636,19.4,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,23,"Ensemble[Robust Mahalanobis, Percentile]",multi-layer perceptron,75.9150,0.7005,74.3131,74.4537,70.5884,0,356,19.4,
