Run_ID,Wariant,Stan,Raster,Zakres,Lp.,Metoda,Algorytm,DA_%,Kappa,Makro_PA_%,Makro_UA_%,Makro_F1_%,Niesklasyfikowane,Usuniete_px,Czas_s,Blad
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,1,Robust Mahalanobis → PCA Mahalanobis,random forest,63.6364,0.5597,68.8201,68.3571,67.2857,0,3798,6.1,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,2,MAD → SAM,random forest,60.8028,0.5428,70.7103,67.7454,64.8117,0,901,6.4,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,3,Percentile → MAD,random forest,60.8028,0.5420,70.0192,69.1213,65.3528,0,1269,6.4,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,4,"Ensemble[PCA Mahalanobis, MAD]",random forest,60.3306,0.5378,70.3107,71.7591,66.0990,0,818,6.7,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,5,SAM → MAD,random forest,59.8583,0.5308,68.8904,68.4318,63.8118,0,869,6.6,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,6,MAD → Percentile,random forest,59.3861,0.5290,69.8121,69.1880,64.5557,0,1367,6.5,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,7,MAD,random forest,59.2680,0.5251,68.7700,70.6608,64.5151,0,848,6.1,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,8,"Ensemble[Robust Mahalanobis, MAD]",random forest,57.8512,0.5118,68.8218,66.4073,62.8869,0,736,6.7,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,9,PCA Mahalanobis → SAM,random forest,48.1700,0.4234,67.0556,67.3522,56.3081,0,2129,6.1,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,10,SAM → PCA Mahalanobis,random forest,47.6978,0.4177,66.1150,64.2304,54.9189,0,2021,6.4,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,11,PCA Mahalanobis,random forest,47.5797,0.4167,66.1630,64.8642,55.0417,0,2089,6.0,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,12,PCA Mahalanobis → MAD,random forest,47.5797,0.4165,66.3189,56.7569,63.3019,0,2573,6.1,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,13,"Ensemble[PCA Mahalanobis, Robust Mahalanobis]",random forest,46.9894,0.4084,65.2838,55.9345,56.4144,0,1584,6.7,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,14,"Ensemble[Robust Mahalanobis, SAM]",random forest,46.3991,0.4009,63.8696,54.6779,52.4579,0,61,6.8,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,15,SAM,random forest,46.3991,0.4002,63.9743,51.6112,52.5116,0,61,6.3,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,16,SAM → Percentile,random forest,46.2810,0.4014,64.4144,54.4736,60.7813,0,633,6.7,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,17,MAD → PCA Mahalanobis,random forest,45.9268,0.3978,64.1340,63.6551,53.3027,0,2322,6.2,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,18,Percentile → PCA Mahalanobis,random forest,45.8087,0.3965,63.8665,60.7796,52.0184,0,2343,6.4,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,19,Robust Mahalanobis → SAM,random forest,45.8087,0.3832,61.8421,55.3802,54.5220,0,2636,6.2,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,20,Percentile → Robust Mahalanobis,random forest,45.5726,0.3943,63.5264,63.1486,64.4213,0,2883,6.3,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,21,Robust Mahalanobis,random forest,45.2184,0.3766,60.9726,53.9547,53.5900,0,2601,6.0,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,22,"Ensemble[PCA Mahalanobis, SAM]",random forest,45.1004,0.3860,61.9538,53.7219,50.3790,0,61,6.7,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,23,"Ensemble[MAD, SAM]",random forest,44.9823,0.3846,61.8441,51.0999,49.9593,0,48,6.7,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,24,Robust Mahalanobis → Percentile,random forest,44.9823,0.3735,60.6713,56.1701,53.8562,0,2927,6.2,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,25,SAM → Robust Mahalanobis,random forest,44.8642,0.3729,60.4883,53.5734,53.2928,0,2630,6.4,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,26,Robust Mahalanobis → MAD,random forest,44.8642,0.3716,60.5494,55.3626,53.5424,0,3086,6.4,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,27,"Ensemble[Robust Mahalanobis, Percentile]",random forest,44.6281,0.3814,61.7602,60.6310,50.9547,0,356,6.7,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,28,Percentile,random forest,44.5100,0.3803,61.3816,63.1479,50.8626,0,547,6.2,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,29,"Ensemble[PCA Mahalanobis, Percentile]",random forest,44.1558,0.3766,60.9991,60.3540,50.9388,0,354,6.7,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,30,PCA Mahalanobis → Percentile,random forest,44.0378,0.3778,61.2796,66.3486,53.2284,0,2502,6.1,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,31,MAD → Robust Mahalanobis,random forest,44.0378,0.3752,61.4777,66.8773,53.9985,0,3019,6.2,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,32,"Ensemble[MAD, Percentile]",random forest,43.9197,0.3734,60.5162,53.6483,50.7595,0,204,6.9,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,33,Percentile → SAM,random forest,43.6836,0.3694,60.0777,54.0258,50.3059,0,604,6.5,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,34,"Ensemble[Percentile, SAM]",random forest,43.3294,0.3662,59.5586,51.8219,49.2190,0,57,6.9,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,35,Poziom bazowy,random forest,42.6210,0.3571,58.4319,48.4134,48.3761,0,0,7.2,
