Run_ID,Wariant,Stan,Raster,Zakres,Lp.,Metoda,Algorytm,DA_%,Kappa,Makro_PA_%,Makro_UA_%,Makro_F1_%,Niesklasyfikowane,Usuniete_px,Czas_s,Blad
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,1,Poziom bazowy,spectral angle mapping,81.8182,0.7741,82.4640,80.9969,80.7444,0,0,11.2,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,2,"Ensemble[MAD, SAM]",spectral angle mapping,81.5821,0.7715,82.4694,81.2053,80.8615,0,48,11.8,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,3,"Ensemble[MAD, Percentile]",spectral angle mapping,81.4640,0.7701,82.4369,81.1700,80.8307,0,204,11.8,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,4,SAM,spectral angle mapping,81.3459,0.7686,82.1166,80.8612,80.5442,0,61,11.2,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,5,"Ensemble[PCA Mahalanobis, SAM]",spectral angle mapping,81.3459,0.7686,82.1166,80.8612,80.5442,0,61,11.7,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,6,"Ensemble[Robust Mahalanobis, SAM]",spectral angle mapping,81.3459,0.7686,82.1166,80.8612,80.5442,0,61,11.8,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,7,"Ensemble[Percentile, SAM]",spectral angle mapping,81.3459,0.7686,82.1166,80.8612,80.5442,0,57,11.9,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,8,MAD,spectral angle mapping,81.2279,0.7667,81.3898,80.6847,80.0964,0,848,11.1,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,9,"Ensemble[PCA Mahalanobis, MAD]",spectral angle mapping,81.2279,0.7667,81.3898,80.6509,80.0808,0,818,11.7,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,10,SAM → MAD,spectral angle mapping,80.9917,0.7637,81.0371,80.3276,79.7783,0,869,11.6,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,11,"Ensemble[Robust Mahalanobis, MAD]",spectral angle mapping,80.9917,0.7637,81.2799,80.6220,79.9938,0,736,11.3,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,12,MAD → SAM,spectral angle mapping,80.9917,0.7635,80.7171,80.1659,79.5500,0,901,11.4,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,13,MAD → Percentile,spectral angle mapping,80.6375,0.7591,80.2779,79.4224,79.0330,0,1367,11.4,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,14,Percentile → MAD,spectral angle mapping,80.6375,0.7590,80.1092,79.5519,78.9972,0,1269,11.5,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,15,"Ensemble[PCA Mahalanobis, Percentile]",spectral angle mapping,80.5195,0.7584,81.0562,79.7711,79.5267,0,354,11.7,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,16,Percentile,spectral angle mapping,80.5195,0.7584,81.0562,79.5861,79.4722,0,547,11.2,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,17,Percentile → SAM,spectral angle mapping,80.4014,0.7568,80.8068,79.1988,79.2196,0,604,11.6,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,18,Robust Mahalanobis → MAD,spectral angle mapping,80.4014,0.7568,81.1418,81.4765,79.7601,0,3086,9.3,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,19,SAM → Percentile,spectral angle mapping,79.8111,0.7498,80.1895,78.7217,78.6363,0,633,11.7,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,20,"Ensemble[Robust Mahalanobis, Percentile]",spectral angle mapping,79.8111,0.7497,80.0240,78.7717,78.5639,0,356,11.8,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,21,Robust Mahalanobis → PCA Mahalanobis,spectral angle mapping,79.8111,0.7448,74.6844,79.0448,74.0251,0,3798,8.1,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,22,PCA Mahalanobis → Percentile,spectral angle mapping,79.3388,0.7435,78.8219,78.2559,77.6153,0,2502,10.1,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,23,Percentile → PCA Mahalanobis,spectral angle mapping,78.7485,0.7369,78.5161,77.8841,77.2668,0,2343,10.4,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,24,MAD → Robust Mahalanobis,spectral angle mapping,78.7485,0.7366,78.5827,78.7499,77.4172,0,3019,9.8,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,25,MAD → PCA Mahalanobis,spectral angle mapping,78.6305,0.7350,78.0895,78.3213,77.1725,0,2322,10.2,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,26,SAM → PCA Mahalanobis,spectral angle mapping,78.5124,0.7336,78.0427,77.7122,76.9242,0,2021,10.4,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,27,PCA Mahalanobis → SAM,spectral angle mapping,78.5124,0.7335,77.9304,77.6385,76.8592,0,2129,10.2,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,28,Robust Mahalanobis → SAM,spectral angle mapping,78.5124,0.7333,78.3417,78.7364,77.3299,0,2636,10.3,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,29,Robust Mahalanobis → Percentile,spectral angle mapping,78.5124,0.7329,78.1158,78.4620,77.0645,0,2927,10.2,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,30,"Ensemble[PCA Mahalanobis, Robust Mahalanobis]",spectral angle mapping,78.2763,0.7301,77.5850,77.8061,76.7194,0,1584,11.3,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,31,PCA Mahalanobis → MAD,spectral angle mapping,78.1582,0.7294,77.6251,77.6085,76.6917,0,2573,10.1,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,32,PCA Mahalanobis,spectral angle mapping,78.0401,0.7279,77.5403,77.2612,76.4316,0,2089,10.0,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,33,SAM → Robust Mahalanobis,spectral angle mapping,77.9221,0.7266,78.2535,78.6501,77.1318,0,2630,10.4,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,34,Robust Mahalanobis,spectral angle mapping,77.9221,0.7265,78.1212,78.5288,77.0351,0,2601,10.0,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,35,Percentile → Robust Mahalanobis,spectral angle mapping,77.6860,0.7240,78.1088,78.1499,76.8656,0,2883,9.9,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,36,PCA Mahalanobis → Robust Mahalanobis,spectral angle mapping,75.7969,0.7015,76.4346,76.4144,74.2637,0,3625,9.0,
