Run_ID,Wariant,Stan,Raster,Zakres,Lp.,Metoda,Algorytm,DA_%,Kappa,Makro_PA_%,Makro_UA_%,Makro_F1_%,Niesklasyfikowane,Usuniete_px,Czas_s,Blad
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,1,Robust Mahalanobis → PCA Mahalanobis,support vector machine,85.8323,0.8208,83.1321,82.5312,82.4811,0,3798,17.1,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,2,Percentile → MAD,support vector machine,84.1795,0.8034,85.1397,83.4768,83.4393,0,1269,44.2,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,3,MAD → Percentile,support vector machine,83.4711,0.7954,85.0249,82.7593,82.9488,0,1367,41.2,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,4,MAD,support vector machine,83.4711,0.7951,84.6233,82.7492,82.7820,0,848,47.6,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,5,"Ensemble[PCA Mahalanobis, MAD]",support vector machine,83.3530,0.7936,84.4745,82.6122,82.6326,0,818,48.6,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,6,SAM → MAD,support vector machine,83.2349,0.7922,84.3272,82.4787,82.4859,0,869,47.5,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,7,MAD → SAM,support vector machine,83.2349,0.7921,84.2294,82.6399,82.4759,0,901,46.3,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,8,SAM → Percentile,support vector machine,83.2349,0.7897,82.6252,81.6948,81.3364,0,633,49.1,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,9,Percentile → SAM,support vector machine,83.1169,0.7883,82.3367,81.3193,80.9939,0,604,50.4,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,10,"Ensemble[Robust Mahalanobis, MAD]",support vector machine,82.7627,0.7859,83.6022,82.1287,81.9770,0,736,47.4,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,11,Percentile,support vector machine,82.6446,0.7823,81.7065,80.9019,80.4040,0,547,52.7,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,12,"Ensemble[PCA Mahalanobis, Percentile]",support vector machine,82.4085,0.7796,81.7230,80.8346,80.3393,0,354,54.2,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,13,"Ensemble[Robust Mahalanobis, Percentile]",support vector machine,82.4085,0.7792,81.2342,80.5403,79.9095,0,356,52.7,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,14,PCA Mahalanobis → SAM,support vector machine,81.9362,0.7772,83.8556,81.5333,81.5687,0,2129,30.4,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,15,"Ensemble[MAD, Percentile]",support vector machine,81.9362,0.7742,81.5494,80.8550,80.2124,0,204,58.1,
