Run_ID,Wariant,Stan,Raster,Zakres,Lp.,Metoda,Algorytm,Klasa,PA_%,UA_%,F1_%
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,1,Robust Mahalanobis → PCA Mahalanobis,support vector machine,1,94.1358,94.4272,94.2813
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,1,Robust Mahalanobis → PCA Mahalanobis,support vector machine,2,55.7895,68.8312,61.6279
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,1,Robust Mahalanobis → PCA Mahalanobis,support vector machine,3,77.0833,91.3580,83.6158
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,1,Robust Mahalanobis → PCA Mahalanobis,support vector machine,4,88.6076,82.3529,85.3659
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,1,Robust Mahalanobis → PCA Mahalanobis,support vector machine,5,73.4940,66.3043,69.7143
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,1,Robust Mahalanobis → PCA Mahalanobis,support vector machine,6,97.7528,96.6667,97.2067
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,1,Robust Mahalanobis → PCA Mahalanobis,support vector machine,7,95.0617,77.7778,85.5556
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,2,SAM,multi-layer perceptron,1,96.2963,89.9135,92.9955
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,2,SAM,multi-layer perceptron,2,80.0000,81.7204,80.8511
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,2,SAM,multi-layer perceptron,3,84.3750,87.0968,85.7143
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,2,SAM,multi-layer perceptron,4,84.8101,84.8101,84.8101
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,2,SAM,multi-layer perceptron,5,38.5542,86.4865,53.3333
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,2,SAM,multi-layer perceptron,6,96.6292,73.5043,83.4951
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,2,SAM,multi-layer perceptron,7,85.1852,85.1852,85.1852
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,3,"Ensemble[PCA Mahalanobis, SAM]",multi-layer perceptron,1,96.2963,89.9135,92.9955
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,3,"Ensemble[PCA Mahalanobis, SAM]",multi-layer perceptron,2,80.0000,81.7204,80.8511
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,3,"Ensemble[PCA Mahalanobis, SAM]",multi-layer perceptron,3,84.3750,87.0968,85.7143
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,3,"Ensemble[PCA Mahalanobis, SAM]",multi-layer perceptron,4,84.8101,84.8101,84.8101
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,3,"Ensemble[PCA Mahalanobis, SAM]",multi-layer perceptron,5,38.5542,86.4865,53.3333
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,3,"Ensemble[PCA Mahalanobis, SAM]",multi-layer perceptron,6,96.6292,73.5043,83.4951
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,3,"Ensemble[PCA Mahalanobis, SAM]",multi-layer perceptron,7,85.1852,85.1852,85.1852
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,4,Percentile → MAD,support vector machine,1,82.0988,95.0000,88.0795
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,4,Percentile → MAD,support vector machine,2,78.9474,83.3333,81.0811
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,4,Percentile → MAD,support vector machine,3,81.2500,87.6404,84.3243
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,4,Percentile → MAD,support vector machine,4,88.6076,92.1053,90.3226
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,4,Percentile → MAD,support vector machine,5,73.4940,73.4940,73.4940
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,4,Percentile → MAD,support vector machine,6,97.7528,98.8636,98.3051
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,4,Percentile → MAD,support vector machine,7,93.8272,53.9007,68.4685
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,5,MAD → Percentile,support vector machine,1,79.9383,95.5720,87.0588
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,5,MAD → Percentile,support vector machine,2,77.8947,82.2222,80.0000
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,5,MAD → Percentile,support vector machine,3,81.2500,85.7143,83.4225
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,5,MAD → Percentile,support vector machine,4,88.6076,90.9091,89.7436
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,5,MAD → Percentile,support vector machine,5,75.9036,73.2558,74.5562
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,5,MAD → Percentile,support vector machine,6,97.7528,98.8636,98.3051
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,5,MAD → Percentile,support vector machine,7,93.8272,52.7778,67.5556
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,6,MAD,support vector machine,1,80.8642,95.2727,87.4791
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,6,MAD,support vector machine,2,76.8421,81.1111,78.9189
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,6,MAD,support vector machine,3,83.3333,88.8889,86.0215
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,6,MAD,support vector machine,4,88.6076,90.9091,89.7436
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,6,MAD,support vector machine,5,73.4940,71.7647,72.6190
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,6,MAD,support vector machine,6,96.6292,98.8506,97.7273
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,6,MAD,support vector machine,7,92.5926,52.4476,66.9643
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,7,"Ensemble[PCA Mahalanobis, MAD]",support vector machine,1,80.8642,95.2727,87.4791
