Run_ID,Wariant,Stan,Raster,Zakres,Lp.,Metoda,Algorytm,DA_%,Kappa,Makro_PA_%,Makro_UA_%,Makro_F1_%,Niesklasyfikowane,Usuniete_px,Czas_s,Blad
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,1,Robust Mahalanobis → PCA Mahalanobis,support vector machine,85.8323,0.8208,83.1321,82.5312,82.4811,0,3798,17.1,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,2,SAM,multi-layer perceptron,85.3601,0.8128,80.8357,84.1024,80.9121,0,61,15.9,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,3,"Ensemble[PCA Mahalanobis, SAM]",multi-layer perceptron,85.3601,0.8128,80.8357,84.1024,80.9121,0,61,15.4,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,4,Percentile → MAD,support vector machine,84.1795,0.8034,85.1397,83.4768,83.4393,0,1269,44.2,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,5,MAD → Percentile,support vector machine,83.4711,0.7954,85.0249,82.7593,82.9488,0,1367,41.2,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,6,MAD,support vector machine,83.4711,0.7951,84.6233,82.7492,82.7820,0,848,47.6,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,7,"Ensemble[PCA Mahalanobis, MAD]",support vector machine,83.3530,0.7936,84.4745,82.6122,82.6326,0,818,48.6,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,8,SAM → MAD,support vector machine,83.2349,0.7922,84.3272,82.4787,82.4859,0,869,47.5,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,9,MAD → SAM,support vector machine,83.2349,0.7921,84.2294,82.6399,82.4759,0,901,46.3,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,10,SAM → Percentile,support vector machine,83.2349,0.7897,82.6252,81.6948,81.3364,0,633,49.1,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,11,Percentile → SAM,support vector machine,83.1169,0.7883,82.3367,81.3193,80.9939,0,604,50.4,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,12,"Ensemble[Robust Mahalanobis, MAD]",support vector machine,82.7627,0.7859,83.6022,82.1287,81.9770,0,736,47.4,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,13,Percentile,support vector machine,82.6446,0.7823,81.7065,80.9019,80.4040,0,547,52.7,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,14,"Ensemble[PCA Mahalanobis, Percentile]",support vector machine,82.4085,0.7796,81.7230,80.8346,80.3393,0,354,54.2,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,15,"Ensemble[Robust Mahalanobis, Percentile]",support vector machine,82.4085,0.7792,81.2342,80.5403,79.9095,0,356,52.7,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,16,Robust Mahalanobis → PCA Mahalanobis,minimum distance,82.2904,0.7761,78.3479,79.3627,77.0123,0,3798,7.0,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,17,Percentile → SAM,multi-layer perceptron,82.1724,0.7755,79.5614,80.1704,78.2058,0,604,18.2,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,18,PCA Mahalanobis → SAM,support vector machine,81.9362,0.7772,83.8556,81.5333,81.5687,0,2129,30.4,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,19,"Ensemble[MAD, Percentile]",support vector machine,81.9362,0.7742,81.5494,80.8550,80.2124,0,204,58.1,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,20,Poziom bazowy,spectral angle mapping,81.8182,0.7741,82.4640,80.9969,80.7444,0,0,11.2,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,21,Poziom bazowy,support vector machine,81.7001,0.7714,81.5470,80.6335,80.1253,0,0,67.5,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,22,SAM,support vector machine,81.7001,0.7714,81.5793,80.7558,80.1344,0,61,59.7,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,23,"Ensemble[PCA Mahalanobis, SAM]",support vector machine,81.7001,0.7714,81.5793,80.7558,80.1344,0,61,59.8,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,24,"Ensemble[Robust Mahalanobis, SAM]",support vector machine,81.7001,0.7714,81.5793,80.7558,80.1344,0,61,58.1,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,25,"Ensemble[Percentile, SAM]",support vector machine,81.7001,0.7714,81.5793,80.7558,80.1344,0,57,60.5,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,26,"Ensemble[MAD, SAM]",spectral angle mapping,81.5821,0.7715,82.4694,81.2053,80.8615,0,48,11.8,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,27,"Ensemble[MAD, SAM]",support vector machine,81.5821,0.7698,81.3009,80.5597,79.8852,0,48,60.4,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,28,"Ensemble[MAD, Percentile]",spectral angle mapping,81.4640,0.7701,82.4369,81.1700,80.8307,0,204,11.8,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,29,SAM,spectral angle mapping,81.3459,0.7686,82.1166,80.8612,80.5442,0,61,11.2,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,30,"Ensemble[PCA Mahalanobis, SAM]",spectral angle mapping,81.3459,0.7686,82.1166,80.8612,80.5442,0,61,11.7,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,31,"Ensemble[Robust Mahalanobis, SAM]",spectral angle mapping,81.3459,0.7686,82.1166,80.8612,80.5442,0,61,11.8,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,32,"Ensemble[Percentile, SAM]",spectral angle mapping,81.3459,0.7686,82.1166,80.8612,80.5442,0,57,11.9,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,33,PCA Mahalanobis,support vector machine,81.2279,0.7691,83.7191,81.1626,81.2217,0,2089,29.7,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,34,Percentile → PCA Mahalanobis,support vector machine,81.2279,0.7690,83.4424,80.9716,80.9486,0,2343,30.6,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,35,MAD,spectral angle mapping,81.2279,0.7667,81.3898,80.6847,80.0964,0,848,11.1,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,36,"Ensemble[PCA Mahalanobis, MAD]",spectral angle mapping,81.2279,0.7667,81.3898,80.6509,80.0808,0,818,11.7,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,37,SAM → PCA Mahalanobis,support vector machine,81.1098,0.7678,83.6766,81.3420,81.1928,0,2021,31.0,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,38,SAM → MAD,spectral angle mapping,80.9917,0.7637,81.0371,80.3276,79.7783,0,869,11.6,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,39,"Ensemble[Robust Mahalanobis, MAD]",spectral angle mapping,80.9917,0.7637,81.2799,80.6220,79.9938,0,736,11.3,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,40,MAD → SAM,spectral angle mapping,80.9917,0.7635,80.7171,80.1659,79.5500,0,901,11.4,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,41,PCA Mahalanobis → MAD,support vector machine,80.8737,0.7648,83.1126,80.6495,80.6194,0,2573,28.3,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,42,"Ensemble[PCA Mahalanobis, Robust Mahalanobis]",support vector machine,80.6375,0.7595,82.1020,81.3889,80.5553,0,1584,34.0,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,43,MAD → Percentile,spectral angle mapping,80.6375,0.7591,80.2779,79.4224,79.0330,0,1367,11.4,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,44,Percentile → MAD,spectral angle mapping,80.6375,0.7590,80.1092,79.5519,78.9972,0,1269,11.5,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,45,PCA Mahalanobis → Percentile,support vector machine,80.5195,0.7598,82.0231,80.1752,79.7165,0,2502,27.3,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,46,"Ensemble[PCA Mahalanobis, Percentile]",spectral angle mapping,80.5195,0.7584,81.0562,79.7711,79.5267,0,354,11.7,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,47,Percentile,spectral angle mapping,80.5195,0.7584,81.0562,79.5861,79.4722,0,547,11.2,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,48,Percentile → SAM,spectral angle mapping,80.4014,0.7568,80.8068,79.1988,79.2196,0,604,11.6,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,49,Robust Mahalanobis → MAD,spectral angle mapping,80.4014,0.7568,81.1418,81.4765,79.7601,0,3086,9.3,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,50,"Ensemble[PCA Mahalanobis, Percentile]",multi-layer perceptron,80.4014,0.7515,76.8928,78.3140,76.0058,0,354,20.1,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,51,Percentile,multi-layer perceptron,80.2834,0.7533,77.8178,76.0157,75.7619,0,547,16.3,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,52,"Ensemble[Robust Mahalanobis, SAM]",multi-layer perceptron,80.2834,0.7532,77.9400,76.4776,75.8934,0,61,18.8,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,53,"Ensemble[MAD, SAM]",multi-layer perceptron,80.1653,0.7522,78.0984,77.7353,76.4359,0,48,16.3,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,54,PCA Mahalanobis → SAM,multi-layer perceptron,79.9292,0.7456,77.0232,79.4581,76.7613,0,2129,19.2,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,55,SAM → Percentile,spectral angle mapping,79.8111,0.7498,80.1895,78.7217,78.6363,0,633,11.7,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,56,"Ensemble[Robust Mahalanobis, Percentile]",spectral angle mapping,79.8111,0.7497,80.0240,78.7717,78.5639,0,356,11.8,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,57,Robust Mahalanobis → PCA Mahalanobis,spectral angle mapping,79.8111,0.7448,74.6844,79.0448,74.0251,0,3798,8.1,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,58,PCA Mahalanobis,multi-layer perceptron,79.6930,0.7444,76.3946,76.0506,75.4502,0,2089,20.5,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,59,MAD → Robust Mahalanobis,support vector machine,79.5750,0.7476,80.3462,78.8903,78.1516,0,3019,22.4,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,60,MAD → SAM,minimum distance,79.4569,0.7419,78.4161,77.7278,77.3115,0,901,8.9,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,61,Poziom bazowy,minimum distance,79.4569,0.7405,78.4112,78.3409,77.3783,0,0,9.2,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,62,PCA Mahalanobis → Percentile,spectral angle mapping,79.3388,0.7435,78.8219,78.2559,77.6153,0,2502,10.1,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,63,MAD,minimum distance,79.2208,0.7393,78.5665,77.5150,77.3129,0,848,8.6,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,64,"Ensemble[PCA Mahalanobis, MAD]",minimum distance,79.2208,0.7393,78.5665,77.5150,77.3129,0,818,8.6,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,65,SAM → MAD,minimum distance,79.1027,0.7378,78.3901,77.3265,77.1489,0,869,8.5,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,66,Percentile → MAD,minimum distance,79.1027,0.7378,78.3509,77.0118,77.0397,0,1269,8.4,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,67,MAD → Percentile,minimum distance,78.8666,0.7366,78.1553,76.1187,76.4026,0,1367,8.3,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,68,"Ensemble[MAD, Percentile]",minimum distance,78.8666,0.7329,77.8329,78.1572,76.9394,0,204,9.3,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,69,"Ensemble[PCA Mahalanobis, Percentile]",minimum distance,78.8666,0.7329,77.9174,78.3505,77.0121,0,354,9.1,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,70,Percentile → PCA Mahalanobis,spectral angle mapping,78.7485,0.7369,78.5161,77.8841,77.2668,0,2343,10.4,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,71,MAD → Robust Mahalanobis,spectral angle mapping,78.7485,0.7366,78.5827,78.7499,77.4172,0,3019,9.8,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,72,SAM,minimum distance,78.7485,0.7317,77.8222,77.8159,76.8187,0,61,8.7,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,73,"Ensemble[PCA Mahalanobis, SAM]",minimum distance,78.7485,0.7317,77.8222,77.8159,76.8187,0,61,9.1,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,74,"Ensemble[Robust Mahalanobis, SAM]",minimum distance,78.7485,0.7317,77.8222,77.8159,76.8187,0,61,9.2,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,75,"Ensemble[MAD, SAM]",minimum distance,78.7485,0.7317,77.8222,77.8159,76.8187,0,48,9.3,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,76,"Ensemble[Percentile, SAM]",minimum distance,78.7485,0.7317,77.8222,77.8159,76.8187,0,57,9.7,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,77,MAD → PCA Mahalanobis,spectral angle mapping,78.6305,0.7350,78.0895,78.3213,77.1725,0,2322,10.2,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,78,"Ensemble[Robust Mahalanobis, Percentile]",minimum distance,78.6305,0.7299,77.5907,77.9292,76.6834,0,356,9.2,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,79,MAD → PCA Mahalanobis,support vector machine,78.5124,0.7371,81.4855,79.7969,78.9392,0,2322,28.4,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,80,SAM → PCA Mahalanobis,spectral angle mapping,78.5124,0.7336,78.0427,77.7122,76.9242,0,2021,10.4,
