Run_ID,Wariant,Stan,Raster,Zakres,Lp.,Metoda,Algorytm,DA_%,Kappa,Makro_PA_%,Makro_UA_%,Makro_F1_%,Niesklasyfikowane,Usuniete_px,Czas_s,Blad
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,1,IQR,random forest,64.8170,0.5828,70.5770,69.6415,66.0585,0,959,45.5,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,2,PCA Mahalanobis,random forest,60.8028,0.5313,63.5045,69.2162,60.3590,0,2366,44.1,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,3,MAD,random forest,59.3861,0.5217,67.8648,67.6584,63.4580,0,1152,45.5,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,4,Mahalanobis,random forest,56.0803,0.4916,68.8130,64.7172,62.3439,0,336,46.0,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,5,OneClassSVM,random forest,55.1358,0.4882,69.9274,65.8967,61.5457,0,99,47.0,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,6,Robust Mahalanobis,random forest,55.1358,0.4821,67.0929,71.2639,61.2040,0,2325,46.0,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,7,Band Z-score,random forest,55.0177,0.4838,69.1385,64.3772,61.3824,0,50,46.0,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,8,HotellingT2,random forest,55.0177,0.4814,68.4528,63.7380,61.3819,0,433,46.2,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,9,Percentile,random forest,54.0732,0.4730,68.5965,63.7022,61.2495,0,641,47.0,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,10,kNN,random forest,53.9551,0.4738,68.8712,64.5492,61.2175,0,61,46.4,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,11,IsolationForest,random forest,53.4829,0.4685,68.5610,63.4298,60.5737,0,61,47.0,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,12,Poziom bazowy,random forest,53.2468,0.4655,67.9939,62.9703,59.9683,0,0,48.2,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,13,SAM,random forest,53.2468,0.4647,67.9907,62.8350,60.1902,0,61,47.5,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,14,GMM,random forest,52.8926,0.4636,68.5993,62.9734,60.1463,0,61,47.3,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,15,Erosion,random forest,52.7745,0.4584,67.1721,63.7585,60.1839,0,2026,46.4,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,16,PCA Reconstruction,random forest,52.6564,0.4602,67.9963,62.4438,59.7151,0,61,46.4,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,17,LOF,random forest,52.4203,0.4579,67.8092,62.5610,59.4474,0,61,46.9,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,18,EllipticEnvelope,random forest,52.1842,0.4550,67.6307,62.6491,59.6821,0,61,46.4,
