Run_ID,Wariant,Stan,Raster,Zakres,Lp.,Metoda,Algorytm,Klasa,PA_%,UA_%,F1_%
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,1,IQR,random forest,1,49.6914,98.7730,66.1191
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,1,IQR,random forest,2,80.0000,42.2222,55.2727
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,1,IQR,random forest,3,69.7917,91.7808,79.2899
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,1,IQR,random forest,4,94.9367,76.5306,84.7458
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,1,IQR,random forest,5,28.9157,50.0000,36.6412
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,1,IQR,random forest,6,96.6292,97.7273,97.1751
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,1,IQR,random forest,7,74.0741,30.4569,43.1655
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,2,PCA Mahalanobis,random forest,1,54.3210,97.7778,69.8413
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,2,PCA Mahalanobis,random forest,2,84.2105,28.0702,42.1053
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,2,PCA Mahalanobis,random forest,3,33.3333,86.4865,48.1203
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,2,PCA Mahalanobis,random forest,4,100.0000,58.5185,73.8318
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,2,PCA Mahalanobis,random forest,5,20.4819,22.9730,21.6561
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,2,PCA Mahalanobis,random forest,6,96.6292,98.8506,97.7273
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,2,PCA Mahalanobis,random forest,7,55.5556,91.8367,69.2308
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,3,MAD,random forest,1,38.2716,83.7838,52.5424
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,3,MAD,random forest,2,75.7895,44.4444,56.0311
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,3,MAD,random forest,3,56.2500,96.4286,71.0526
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,3,MAD,random forest,4,96.2025,76.0000,84.9162
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,3,MAD,random forest,5,44.5783,45.6790,45.1220
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,3,MAD,random forest,6,89.8876,100.0000,94.6746
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,3,MAD,random forest,7,74.0741,27.2727,39.8671
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,4,Mahalanobis,random forest,1,24.0741,74.2857,36.3636
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,4,Mahalanobis,random forest,2,64.2105,50.0000,56.2212
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,4,Mahalanobis,random forest,3,69.7917,97.1014,81.2121
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,4,Mahalanobis,random forest,4,97.4684,74.7573,84.6154
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,4,Mahalanobis,random forest,5,59.0361,28.3237,38.2813
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,4,Mahalanobis,random forest,6,95.5056,97.7011,96.5909
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,4,Mahalanobis,random forest,7,71.6049,30.8511,43.1227
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,5,OneClassSVM,random forest,1,17.5926,87.6923,29.3059
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,5,OneClassSVM,random forest,2,72.6316,42.5926,53.6965
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,5,OneClassSVM,random forest,3,70.8333,97.1429,81.9277
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,5,OneClassSVM,random forest,4,97.4684,74.0385,84.1530
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,5,OneClassSVM,random forest,5,63.8554,28.1915,39.1144
