Run_ID,Wariant,Stan,Raster,Zakres,Lp.,Metoda,Algorytm,DA_%,Kappa,Makro_PA_%,Makro_UA_%,Makro_F1_%,Niesklasyfikowane,Usuniete_px,Czas_s,Blad
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,1,PCA Mahalanobis,random forest,66.8241,0.6104,76.4565,73.2267,70.6966,0,2089,45.7,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,2,IQR,random forest,58.9138,0.5282,72.1383,75.0329,66.0897,0,1190,48.4,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,3,Robust Mahalanobis,random forest,57.4970,0.5056,69.0728,65.5620,63.2606,0,2601,46.1,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,4,MAD,random forest,57.1429,0.5121,72.2557,72.8772,63.9383,0,848,51.0,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,5,Mahalanobis,random forest,55.1358,0.4880,68.9094,66.2099,60.4539,0,632,50.9,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,6,HotellingT2,random forest,51.7119,0.4544,67.3980,64.4143,57.5167,0,742,50.6,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,7,Erosion,random forest,51.5939,0.4548,67.9216,69.0483,58.6326,0,2022,48.8,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,8,Percentile,random forest,50.1771,0.4397,66.7852,65.0114,56.1301,0,547,51.9,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,9,Band Z-score,random forest,49.4687,0.4371,68.5030,65.0011,55.8717,0,212,54.2,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,10,IsolationForest,random forest,49.3506,0.4332,66.9005,64.9540,55.7625,0,61,52.6,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,11,SAM,random forest,48.4061,0.4239,66.2687,63.8890,54.5947,0,61,53.9,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,12,EllipticEnvelope,random forest,48.0519,0.4210,66.3601,64.5058,54.6231,0,61,52.0,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,13,kNN,random forest,47.8158,0.4185,66.1312,63.8850,54.1340,0,61,53.2,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,14,PCA Reconstruction,random forest,47.6978,0.4174,65.9244,64.2997,54.3398,0,61,53.5,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,15,GMM,random forest,47.6978,0.4171,65.9806,63.7885,53.9686,0,61,52.5,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,16,LOF,random forest,47.5797,0.4158,65.7493,58.8021,54.0596,0,61,55.4,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,17,Poziom bazowy,random forest,47.4616,0.4145,65.5800,63.2329,53.5533,0,0,55.9,
1234567_zbledami_L1C_class,1234567,zbledami,L1C,class,18,OneClassSVM,random forest,47.1074,0.4108,65.2218,63.8709,53.5080,0,132,52.8,
