Run_ID,Wariant,Stan,Raster,Zakres,Lp.,Metoda,Algorytm,DA_%,Kappa,Makro_PA_%,Makro_UA_%,Makro_F1_%,Niesklasyfikowane,Usuniete_px,Czas_s,Blad
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,1,PCA Mahalanobis,random forest,67.7686,0.6080,68.3525,71.6316,65.2221,0,2282,45.5,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,2,IQR,random forest,65.2893,0.5877,70.7432,69.9331,66.3680,0,946,45.6,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,3,MAD,random forest,64.4628,0.5762,70.9578,70.3178,67.3760,0,1091,46.5,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,4,Robust Mahalanobis,random forest,59.7403,0.5292,69.4932,73.3243,64.0499,0,2093,48.1,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,5,Band Z-score,random forest,55.0177,0.4838,69.1385,64.3772,61.3824,0,50,47.5,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,6,Percentile,random forest,54.3093,0.4740,68.3658,62.7191,60.8973,0,641,48.0,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,7,OneClassSVM,random forest,54.0732,0.4755,68.9095,63.9432,60.6683,0,99,47.7,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,8,HotellingT2,random forest,53.8371,0.4691,67.6975,62.9048,60.5123,0,433,48.1,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,9,Poziom bazowy,random forest,53.7190,0.4704,68.4073,63.3703,60.5455,0,0,48.1,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,10,SAM,random forest,53.6009,0.4670,67.8887,63.3029,60.8483,0,61,48.1,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,11,Mahalanobis,random forest,53.4829,0.4664,68.0556,63.1641,60.6491,0,336,48.4,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,12,LOF,random forest,53.2468,0.4653,67.9011,62.9986,60.0603,0,61,47.7,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,13,IsolationForest,random forest,53.0106,0.4643,68.1546,63.2694,59.8960,0,61,48.2,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,14,GMM,random forest,52.8926,0.4636,68.5993,62.9734,60.1463,0,61,48.2,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,15,kNN,random forest,52.8926,0.4625,68.1556,63.4249,60.2567,0,61,48.7,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,16,Erosion,random forest,52.7745,0.4584,67.1721,63.7585,60.1839,0,2026,47.6,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,17,PCA Reconstruction,random forest,52.3022,0.4574,68.0952,62.7112,59.7096,0,61,48.2,
1234567_poprawny_L1C_class,1234567,poprawny,L1C,class,18,EllipticEnvelope,random forest,52.1842,0.4550,67.6307,62.6491,59.6821,0,61,48.2,
