Run_ID,Wariant,Stan,Raster,Zakres,Lp.,Metoda,Algorytm,DA_%,Kappa,Makro_PA_%,Makro_UA_%,Makro_F1_%,Niesklasyfikowane,Usuniete_px,Czas_s,Blad
123456_poprawny_L1C_roi,123456,poprawny,L1C,roi,1,Band Z-score,random forest,79.4569,0.7270,81.1285,77.4962,77.6863,0,255,45.5,
123456_poprawny_L1C_roi,123456,poprawny,L1C,roi,2,Mahalanobis,random forest,79.3388,0.7251,80.7699,77.5062,77.5224,0,285,43.4,
123456_poprawny_L1C_roi,123456,poprawny,L1C,roi,3,LOF,random forest,79.3388,0.7251,80.9024,77.2432,77.5431,0,78,44.5,
123456_poprawny_L1C_roi,123456,poprawny,L1C,roi,4,MAD,random forest,79.3388,0.7229,79.6266,78.0743,77.0475,0,787,46.5,
123456_poprawny_L1C_roi,123456,poprawny,L1C,roi,5,PCA Reconstruction,random forest,79.1027,0.7221,80.5261,76.9421,77.1892,0,78,45.0,
123456_poprawny_L1C_roi,123456,poprawny,L1C,roi,6,HotellingT2,random forest,79.1027,0.7219,80.3800,77.0254,77.1716,0,234,44.4,
123456_poprawny_L1C_roi,123456,poprawny,L1C,roi,7,EllipticEnvelope,random forest,78.9847,0.7210,80.6446,76.8827,77.1567,0,78,44.5,
123456_poprawny_L1C_roi,123456,poprawny,L1C,roi,8,GMM,random forest,78.9847,0.7208,80.5103,76.8791,77.1166,0,78,45.0,
123456_poprawny_L1C_roi,123456,poprawny,L1C,roi,9,kNN,random forest,78.9847,0.7207,80.5122,76.9220,77.1090,0,78,44.7,
123456_poprawny_L1C_roi,123456,poprawny,L1C,roi,10,SAM,random forest,78.9847,0.7207,80.4342,76.8627,77.0922,0,78,44.7,
123456_poprawny_L1C_roi,123456,poprawny,L1C,roi,11,OneClassSVM,random forest,78.9847,0.7203,80.3000,76.8275,77.0465,0,669,44.7,
123456_poprawny_L1C_roi,123456,poprawny,L1C,roi,12,PCA Mahalanobis,random forest,78.9847,0.7203,80.4748,77.8941,77.5826,0,2059,43.9,
123456_poprawny_L1C_roi,123456,poprawny,L1C,roi,13,Percentile,random forest,78.9847,0.7195,79.6885,76.7645,76.7199,0,596,45.0,
123456_poprawny_L1C_roi,123456,poprawny,L1C,roi,14,Erosion,random forest,78.9847,0.7181,78.9643,77.3613,76.3714,0,2026,44.1,
123456_poprawny_L1C_roi,123456,poprawny,L1C,roi,15,IsolationForest,random forest,78.8666,0.7193,80.4438,76.9151,77.0481,0,78,44.8,
123456_poprawny_L1C_roi,123456,poprawny,L1C,roi,16,IQR,random forest,78.7485,0.7161,79.6040,78.1209,77.1426,0,1204,42.5,
123456_poprawny_L1C_roi,123456,poprawny,L1C,roi,17,Poziom bazowy,random forest,78.6305,0.7174,81.1208,77.1911,77.4380,0,0,45.2,
123456_poprawny_L1C_roi,123456,poprawny,L1C,roi,18,Robust Mahalanobis,random forest,78.5124,0.7139,79.7361,76.6317,76.5359,0,2185,42.9,
