Run_ID,Wariant,Stan,Raster,Zakres,Lp.,Metoda,Algorytm,DA_%,Kappa,Makro_PA_%,Makro_UA_%,Makro_F1_%,Niesklasyfikowane,Usuniete_px,Czas_s,Blad
124567_poprawny_L2A_roi,124567,poprawny,L2A,roi,1,Mahalanobis,random forest,75.7656,0.6844,75.2166,75.8925,73.7027,0,193,45.5,
124567_poprawny_L2A_roi,124567,poprawny,L2A,roi,2,PCA Reconstruction,random forest,75.4993,0.6816,75.1085,75.5994,73.5507,0,69,45.4,
124567_poprawny_L2A_roi,124567,poprawny,L2A,roi,3,GMM,random forest,75.3662,0.6800,75.0570,75.5515,73.4856,0,69,44.9,
124567_poprawny_L2A_roi,124567,poprawny,L2A,roi,4,HotellingT2,random forest,75.3662,0.6788,74.7583,75.8980,73.4686,0,170,45.0,
124567_poprawny_L2A_roi,124567,poprawny,L2A,roi,5,IsolationForest,random forest,75.0999,0.6755,74.4328,75.2795,72.9494,0,69,44.4,
124567_poprawny_L2A_roi,124567,poprawny,L2A,roi,6,EllipticEnvelope,random forest,74.9667,0.6747,74.6547,75.4239,73.0752,0,69,46.0,
124567_poprawny_L2A_roi,124567,poprawny,L2A,roi,7,kNN,random forest,74.9667,0.6743,74.6547,75.6558,73.1861,0,69,46.0,
124567_poprawny_L2A_roi,124567,poprawny,L2A,roi,8,OneClassSVM,random forest,74.9667,0.6727,73.7536,74.7952,72.5116,0,601,44.4,
124567_poprawny_L2A_roi,124567,poprawny,L2A,roi,9,SAM,random forest,74.8336,0.6715,74.0058,75.1145,72.7131,0,69,45.0,
124567_poprawny_L2A_roi,124567,poprawny,L2A,roi,10,Poziom bazowy,random forest,74.7004,0.6707,74.2785,75.3507,72.8033,0,0,45.1,
124567_poprawny_L2A_roi,124567,poprawny,L2A,roi,11,IQR,random forest,74.4341,0.6667,73.6845,74.6568,72.0533,0,746,44.9,
124567_poprawny_L2A_roi,124567,poprawny,L2A,roi,12,LOF,random forest,74.4341,0.6655,73.3048,74.7236,72.0476,0,69,45.0,
124567_poprawny_L2A_roi,124567,poprawny,L2A,roi,13,Robust Mahalanobis,random forest,74.3009,0.6640,73.1170,73.7436,71.3600,0,1949,43.8,
124567_poprawny_L2A_roi,124567,poprawny,L2A,roi,14,Band Z-score,random forest,74.1678,0.6632,73.5563,74.7059,72.0448,0,151,45.9,
124567_poprawny_L2A_roi,124567,poprawny,L2A,roi,15,MAD,random forest,74.0346,0.6611,72.8771,73.9737,71.4361,0,712,46.0,
124567_poprawny_L2A_roi,124567,poprawny,L2A,roi,16,PCA Mahalanobis,random forest,74.0346,0.6589,71.8823,72.6925,70.5921,0,1471,44.4,
124567_poprawny_L2A_roi,124567,poprawny,L2A,roi,17,Percentile,random forest,73.9015,0.6578,72.6608,74.4011,71.5249,0,546,45.5,
124567_poprawny_L2A_roi,124567,poprawny,L2A,roi,18,Erosion,random forest,72.5699,0.6389,70.7754,72.7713,68.9201,0,1668,44.4,
