Run_ID,Wariant,Stan,Raster,Zakres,Lp.,Metoda,Algorytm,DA_%,Kappa,Makro_PA_%,Makro_UA_%,Makro_F1_%,Niesklasyfikowane,Usuniete_px,Czas_s,Blad
124567_zbledami_L1C_class,124567,zbledami,L1C,class,1,PCA Mahalanobis,random forest,61.1185,0.5347,72.6220,72.6318,65.9555,0,1706,43.3,
124567_zbledami_L1C_class,124567,zbledami,L1C,class,2,EllipticEnvelope,random forest,54.5939,0.4740,72.2086,65.7274,60.5610,0,1020,44.5,
124567_zbledami_L1C_class,124567,zbledami,L1C,class,3,kNN,random forest,53.6618,0.4651,72.3903,64.6308,59.6440,0,1018,45.0,
124567_zbledami_L1C_class,124567,zbledami,L1C,class,4,GMM,random forest,53.6618,0.4636,71.6082,64.1813,59.5961,0,1019,45.0,
124567_zbledami_L1C_class,124567,zbledami,L1C,class,5,IsolationForest,random forest,51.1318,0.4435,71.9053,72.2106,61.3102,0,1019,45.0,
124567_zbledami_L1C_class,124567,zbledami,L1C,class,6,OneClassSVM,random forest,49.0013,0.4214,69.8722,69.5089,57.9354,0,1019,45.0,
124567_zbledami_L1C_class,124567,zbledami,L1C,class,7,SAM,random forest,47.8029,0.4047,66.9216,72.7654,56.9651,0,1019,45.0,
124567_zbledami_L1C_class,124567,zbledami,L1C,class,8,HotellingT2,random forest,47.6698,0.4080,68.7251,68.2737,56.4498,0,663,46.0,
124567_zbledami_L1C_class,124567,zbledami,L1C,class,9,Robust Mahalanobis,random forest,47.5366,0.4017,66.7552,73.2407,57.3145,0,2020,43.3,
124567_zbledami_L1C_class,124567,zbledami,L1C,class,10,Mahalanobis,random forest,46.6045,0.3967,67.5949,68.5291,55.4627,0,566,46.6,
124567_zbledami_L1C_class,124567,zbledami,L1C,class,11,PCA Reconstruction,random forest,46.4714,0.3968,68.2004,64.9653,53.9799,0,1019,46.0,
124567_zbledami_L1C_class,124567,zbledami,L1C,class,12,Percentile,random forest,46.4714,0.3878,64.3116,80.1367,57.7435,0,2742,42.2,
124567_zbledami_L1C_class,124567,zbledami,L1C,class,13,MAD,random forest,46.0719,0.3922,67.6061,70.7713,54.9390,0,727,46.1,
124567_zbledami_L1C_class,124567,zbledami,L1C,class,14,IQR,random forest,46.0719,0.3897,66.6324,74.4804,57.0374,0,992,44.0,
124567_zbledami_L1C_class,124567,zbledami,L1C,class,15,Band Z-score,random forest,45.5393,0.3865,66.8103,67.1990,53.7868,0,172,47.6,
124567_zbledami_L1C_class,124567,zbledami,L1C,class,16,LOF,random forest,45.2730,0.3831,66.0739,62.3217,52.4086,0,1019,46.5,
124567_zbledami_L1C_class,124567,zbledami,L1C,class,17,Poziom bazowy,random forest,44.2077,0.3714,64.7299,63.9692,51.4893,0,0,49.8,
124567_zbledami_L1C_class,124567,zbledami,L1C,class,18,Erosion,random forest,43.0093,0.3566,62.7654,67.0024,50.9592,0,1645,46.0,
