Run_ID,Wariant,Stan,Raster,Zakres,Lp.,Metoda,Algorytm,DA_%,Kappa,Makro_PA_%,Makro_UA_%,Makro_F1_%,Niesklasyfikowane,Usuniete_px,Czas_s,Blad
12456_poprawny_L1C_class,12456,poprawny,L1C,class,1,Erosion,random forest,84.4208,0.7695,82.8490,78.9916,80.4714,0,1668,38.9,
12456_poprawny_L1C_class,12456,poprawny,L1C,class,2,Robust Mahalanobis,random forest,83.6218,0.7606,83.9291,78.7931,80.6666,0,1843,38.7,
12456_poprawny_L1C_class,12456,poprawny,L1C,class,3,Percentile,random forest,83.4887,0.7598,83.8229,78.3558,80.3957,0,572,38.9,
12456_poprawny_L1C_class,12456,poprawny,L1C,class,4,HotellingT2,random forest,82.2903,0.7446,83.2872,77.7854,79.5752,0,354,39.4,
12456_poprawny_L1C_class,12456,poprawny,L1C,class,5,Mahalanobis,random forest,81.3582,0.7326,82.9415,77.3619,79.0340,0,271,39.5,
12456_poprawny_L1C_class,12456,poprawny,L1C,class,6,LOF,random forest,81.0919,0.7300,83.0039,76.4115,78.5965,0,53,40.0,
12456_poprawny_L1C_class,12456,poprawny,L1C,class,7,OneClassSVM,random forest,80.9587,0.7276,82.3797,76.0748,78.1524,0,77,39.4,
12456_poprawny_L1C_class,12456,poprawny,L1C,class,8,SAM,random forest,80.8256,0.7264,82.7744,76.1679,78.3438,0,53,39.4,
12456_poprawny_L1C_class,12456,poprawny,L1C,class,9,EllipticEnvelope,random forest,80.6924,0.7250,83.0777,76.2592,78.5022,0,53,39.4,
12456_poprawny_L1C_class,12456,poprawny,L1C,class,10,GMM,random forest,80.6924,0.7247,82.8861,76.4701,78.5081,0,53,39.9,
12456_poprawny_L1C_class,12456,poprawny,L1C,class,11,IsolationForest,random forest,80.6924,0.7231,82.3418,76.3663,78.3363,0,53,39.5,
12456_poprawny_L1C_class,12456,poprawny,L1C,class,12,PCA Reconstruction,random forest,80.4261,0.7214,82.6262,75.9783,78.1192,0,53,39.4,
12456_poprawny_L1C_class,12456,poprawny,L1C,class,13,Poziom bazowy,random forest,80.1598,0.7185,82.8498,75.9729,78.1154,0,0,39.6,
12456_poprawny_L1C_class,12456,poprawny,L1C,class,14,Band Z-score,random forest,79.8935,0.7132,81.7768,76.0526,77.6526,0,29,40.0,
12456_poprawny_L1C_class,12456,poprawny,L1C,class,15,kNN,random forest,79.7603,0.7132,82.5405,75.6492,77.7762,0,53,39.9,
12456_poprawny_L1C_class,12456,poprawny,L1C,class,16,PCA Mahalanobis,random forest,78.5619,0.6942,77.7928,76.7020,72.4213,0,2050,37.3,
12456_poprawny_L1C_class,12456,poprawny,L1C,class,17,IQR,random forest,77.6298,0.6798,76.4953,77.9464,72.7147,0,643,38.6,
12456_poprawny_L1C_class,12456,poprawny,L1C,class,18,MAD,random forest,76.4314,0.6661,77.2490,78.9208,74.2129,0,772,38.9,
