Run_ID,Wariant,Stan,Raster,Zakres,Lp.,Metoda,Algorytm,DA_%,Kappa,Makro_PA_%,Makro_UA_%,Makro_F1_%,Niesklasyfikowane,Usuniete_px,Czas_s,Blad
12456_zbledami_L2A_class,12456,zbledami,L2A,class,1,GMM,random forest,87.8828,0.8171,85.5531,85.5540,84.2579,0,1019,43.9,
12456_zbledami_L2A_class,12456,zbledami,L2A,class,2,LOF,random forest,87.6165,0.8121,84.7570,84.3843,83.6108,0,1019,46.5,
12456_zbledami_L2A_class,12456,zbledami,L2A,class,3,Mahalanobis,random forest,87.4834,0.8124,85.1204,84.5619,82.8185,0,472,45.0,
12456_zbledami_L2A_class,12456,zbledami,L2A,class,4,HotellingT2,random forest,87.4834,0.8120,84.7677,84.7811,82.6393,0,569,45.5,
12456_zbledami_L2A_class,12456,zbledami,L2A,class,5,Poziom bazowy,random forest,87.3502,0.8120,85.2443,83.3662,82.0152,0,0,51.3,
12456_zbledami_L2A_class,12456,zbledami,L2A,class,6,Band Z-score,random forest,86.9507,0.8041,84.4374,84.5834,82.0600,0,173,46.0,
12456_zbledami_L2A_class,12456,zbledami,L2A,class,7,PCA Reconstruction,random forest,86.4181,0.7973,84.2257,83.7563,81.5644,0,1019,45.4,
12456_zbledami_L2A_class,12456,zbledami,L2A,class,8,MAD,random forest,86.4181,0.7937,82.7558,85.1574,81.3394,0,395,45.0,
12456_zbledami_L2A_class,12456,zbledami,L2A,class,9,EllipticEnvelope,random forest,86.4181,0.7906,82.6889,86.3395,82.5233,0,1020,41.9,
12456_zbledami_L2A_class,12456,zbledami,L2A,class,10,SAM,random forest,86.0186,0.7861,82.5936,84.5652,81.6539,0,1019,45.0,
12456_zbledami_L2A_class,12456,zbledami,L2A,class,11,IQR,random forest,85.8855,0.7839,81.1230,84.9299,80.1505,0,509,44.5,
12456_zbledami_L2A_class,12456,zbledami,L2A,class,12,kNN,random forest,85.6192,0.7792,81.4733,83.5462,80.9602,0,1019,42.4,
12456_zbledami_L2A_class,12456,zbledami,L2A,class,13,Erosion,random forest,85.6192,0.7791,82.0472,85.1854,80.7651,0,1669,44.9,
12456_zbledami_L2A_class,12456,zbledami,L2A,class,14,OneClassSVM,random forest,85.3529,0.7773,81.8632,83.9086,80.3167,0,1019,42.9,
12456_zbledami_L2A_class,12456,zbledami,L2A,class,15,Robust Mahalanobis,random forest,84.1545,0.7651,81.9846,83.2658,78.6152,0,1969,41.7,
12456_zbledami_L2A_class,12456,zbledami,L2A,class,16,IsolationForest,random forest,83.4887,0.7463,79.6230,82.5520,79.1029,0,1019,41.9,
12456_zbledami_L2A_class,12456,zbledami,L2A,class,17,PCA Mahalanobis,random forest,82.6897,0.7237,75.4222,83.1762,76.8576,0,1537,41.5,
12456_zbledami_L2A_class,12456,zbledami,L2A,class,18,Percentile,random forest,75.3662,0.6550,78.6555,80.3382,72.7280,0,2943,39.7,
