Run_ID,Wariant,Stan,Raster,Zakres,Lp.,Metoda,Algorytm,Klasa,PA_%,UA_%,F1_%
134567_poprawny_L1C_class,134567,poprawny,L1C,class,1,Robust Mahalanobis,random forest,1,83.0247,85.6688,84.3260
134567_poprawny_L1C_class,134567,poprawny,L1C,class,1,Robust Mahalanobis,random forest,3,27.0833,92.8571,41.9355
134567_poprawny_L1C_class,134567,poprawny,L1C,class,1,Robust Mahalanobis,random forest,4,96.2025,79.1667,86.8571
134567_poprawny_L1C_class,134567,poprawny,L1C,class,1,Robust Mahalanobis,random forest,5,74.7191,53.2000,62.1495
134567_poprawny_L1C_class,134567,poprawny,L1C,class,1,Robust Mahalanobis,random forest,6,95.5056,97.7011,96.5909
134567_poprawny_L1C_class,134567,poprawny,L1C,class,1,Robust Mahalanobis,random forest,7,79.0123,88.8889,83.6601
134567_poprawny_L1C_class,134567,poprawny,L1C,class,2,PCA Mahalanobis,random forest,1,58.3333,96.9231,72.8324
134567_poprawny_L1C_class,134567,poprawny,L1C,class,2,PCA Mahalanobis,random forest,3,43.7500,91.3043,59.1549
134567_poprawny_L1C_class,134567,poprawny,L1C,class,2,PCA Mahalanobis,random forest,4,100.0000,60.7692,75.5981
134567_poprawny_L1C_class,134567,poprawny,L1C,class,2,PCA Mahalanobis,random forest,5,91.5730,48.6567,63.5478
134567_poprawny_L1C_class,134567,poprawny,L1C,class,2,PCA Mahalanobis,random forest,6,96.6292,98.8506,97.7273
134567_poprawny_L1C_class,134567,poprawny,L1C,class,2,PCA Mahalanobis,random forest,7,56.7901,85.1852,68.1481
134567_poprawny_L1C_class,134567,poprawny,L1C,class,3,MAD,random forest,1,24.0741,84.7826,37.5000
134567_poprawny_L1C_class,134567,poprawny,L1C,class,3,MAD,random forest,3,72.9167,90.9091,80.9249
134567_poprawny_L1C_class,134567,poprawny,L1C,class,3,MAD,random forest,4,97.4684,75.4902,85.0829
134567_poprawny_L1C_class,134567,poprawny,L1C,class,3,MAD,random forest,5,89.8876,46.2428,61.0687
134567_poprawny_L1C_class,134567,poprawny,L1C,class,3,MAD,random forest,6,89.8876,98.7654,94.1176
134567_poprawny_L1C_class,134567,poprawny,L1C,class,3,MAD,random forest,7,72.8395,39.5973,51.3043
134567_poprawny_L1C_class,134567,poprawny,L1C,class,4,IQR,random forest,1,16.3580,100.0000,28.1167
134567_poprawny_L1C_class,134567,poprawny,L1C,class,4,IQR,random forest,3,76.0417,86.9048,81.1111
134567_poprawny_L1C_class,134567,poprawny,L1C,class,4,IQR,random forest,4,94.9367,76.5306,84.7458
134567_poprawny_L1C_class,134567,poprawny,L1C,class,4,IQR,random forest,5,93.2584,45.6044,61.2546
134567_poprawny_L1C_class,134567,poprawny,L1C,class,4,IQR,random forest,6,94.3820,98.8235,96.5517
134567_poprawny_L1C_class,134567,poprawny,L1C,class,4,IQR,random forest,7,74.0741,36.8098,49.1803
