Run_ID,Wariant,Stan,Raster,Zakres,Lp.,Metoda,Algorytm,Klasa,PA_%,UA_%,F1_%
134567_poprawny_L2A_roi,134567,poprawny,L2A,roi,1,Robust Mahalanobis,random forest,1,77.1605,87.7193,82.1018
134567_poprawny_L2A_roi,134567,poprawny,L2A,roi,1,Robust Mahalanobis,random forest,3,76.0417,98.6486,85.8824
134567_poprawny_L2A_roi,134567,poprawny,L2A,roi,1,Robust Mahalanobis,random forest,4,97.4684,65.2542,78.1726
134567_poprawny_L2A_roi,134567,poprawny,L2A,roi,1,Robust Mahalanobis,random forest,5,79.7753,91.6129,85.2853
134567_poprawny_L2A_roi,134567,poprawny,L2A,roi,1,Robust Mahalanobis,random forest,6,93.2584,98.8095,95.9538
134567_poprawny_L2A_roi,134567,poprawny,L2A,roi,1,Robust Mahalanobis,random forest,7,56.7901,35.1145,43.3962
134567_poprawny_L2A_roi,134567,poprawny,L2A,roi,2,PCA Mahalanobis,random forest,1,77.4691,86.2543,81.6260
134567_poprawny_L2A_roi,134567,poprawny,L2A,roi,2,PCA Mahalanobis,random forest,3,78.1250,97.4026,86.7052
134567_poprawny_L2A_roi,134567,poprawny,L2A,roi,2,PCA Mahalanobis,random forest,4,97.4684,65.8120,78.5714
134567_poprawny_L2A_roi,134567,poprawny,L2A,roi,2,PCA Mahalanobis,random forest,5,76.9663,92.5676,84.0491
134567_poprawny_L2A_roi,134567,poprawny,L2A,roi,2,PCA Mahalanobis,random forest,6,93.2584,98.8095,95.9538
134567_poprawny_L2A_roi,134567,poprawny,L2A,roi,2,PCA Mahalanobis,random forest,7,56.7901,35.3846,43.6019
134567_poprawny_L2A_roi,134567,poprawny,L2A,roi,3,OneClassSVM,random forest,1,74.0741,88.5609,80.6723
134567_poprawny_L2A_roi,134567,poprawny,L2A,roi,3,OneClassSVM,random forest,3,79.1667,95.0000,86.3636
134567_poprawny_L2A_roi,134567,poprawny,L2A,roi,3,OneClassSVM,random forest,4,97.4684,65.8120,78.5714
134567_poprawny_L2A_roi,134567,poprawny,L2A,roi,3,OneClassSVM,random forest,5,79.7753,91.6129,85.2853
134567_poprawny_L2A_roi,134567,poprawny,L2A,roi,3,OneClassSVM,random forest,6,93.2584,98.8095,95.9538
134567_poprawny_L2A_roi,134567,poprawny,L2A,roi,3,OneClassSVM,random forest,7,58.0247,33.5714,42.5339
134567_poprawny_L2A_roi,134567,poprawny,L2A,roi,4,Mahalanobis,random forest,1,74.3827,88.6029,80.8725
