Run_ID,Wariant,Stan,Raster,Zakres,Lp.,Metoda,Algorytm,DA_%,Kappa,Makro_PA_%,Makro_UA_%,Makro_F1_%,Niesklasyfikowane,Usuniete_px,Czas_s,Blad
134567_zbledami_L1C_class,134567,zbledami,L1C,class,1,PCA Mahalanobis,random forest,71.6647,0.6541,81.0328,76.8630,75.3559,0,2121,41.4,
134567_zbledami_L1C_class,134567,zbledami,L1C,class,2,IQR,random forest,70.4841,0.6371,80.5369,77.8026,75.3960,0,1375,44.1,
134567_zbledami_L1C_class,134567,zbledami,L1C,class,3,IsolationForest,random forest,66.4699,0.5907,78.6299,77.3224,72.7253,0,1167,45.1,
134567_zbledami_L1C_class,134567,zbledami,L1C,class,4,EllipticEnvelope,random forest,65.6434,0.5860,78.6468,74.4141,70.9238,0,1168,44.1,
134567_zbledami_L1C_class,134567,zbledami,L1C,class,5,Robust Mahalanobis,random forest,64.5809,0.5680,75.6416,73.7876,70.0506,0,2426,42.6,
134567_zbledami_L1C_class,134567,zbledami,L1C,class,6,SAM,random forest,63.8725,0.5637,77.0718,72.2742,68.6779,0,1167,45.2,
134567_zbledami_L1C_class,134567,zbledami,L1C,class,7,MAD,random forest,61.6293,0.5418,76.6125,73.3529,67.2895,0,938,46.2,
134567_zbledami_L1C_class,134567,zbledami,L1C,class,8,OneClassSVM,random forest,61.6293,0.5374,74.8954,70.3283,67.0245,0,1173,45.1,
134567_zbledami_L1C_class,134567,zbledami,L1C,class,9,GMM,random forest,59.8583,0.5181,73.4382,68.8322,65.1034,0,1167,45.7,
134567_zbledami_L1C_class,134567,zbledami,L1C,class,10,Mahalanobis,random forest,59.3861,0.5146,73.4972,68.5518,64.1777,0,648,47.2,
134567_zbledami_L1C_class,134567,zbledami,L1C,class,11,kNN,random forest,59.2680,0.5095,73.5418,72.0517,65.8357,0,1166,45.1,
134567_zbledami_L1C_class,134567,zbledami,L1C,class,12,PCA Reconstruction,random forest,56.3164,0.4852,72.4873,67.1537,61.0849,0,1167,47.2,
134567_zbledami_L1C_class,134567,zbledami,L1C,class,13,HotellingT2,random forest,55.6080,0.4794,71.8753,66.6084,59.9496,0,752,46.7,
134567_zbledami_L1C_class,134567,zbledami,L1C,class,14,Erosion,random forest,55.6080,0.4761,72.8328,69.1731,61.3316,0,1998,46.1,
134567_zbledami_L1C_class,134567,zbledami,L1C,class,15,Band Z-score,random forest,52.8926,0.4522,71.2623,65.5617,57.3870,0,217,48.2,
134567_zbledami_L1C_class,134567,zbledami,L1C,class,16,Percentile,random forest,52.5384,0.4387,70.6234,67.1822,58.3397,0,3318,43.1,
134567_zbledami_L1C_class,134567,zbledami,L1C,class,17,Poziom bazowy,random forest,51.4758,0.4348,68.8182,64.5456,55.6128,0,0,50.9,
134567_zbledami_L1C_class,134567,zbledami,L1C,class,18,LOF,random forest,49.8229,0.4230,68.2303,64.3898,54.3701,0,1167,48.2,
