Run_ID,Wariant,Stan,Raster,Zakres,Lp.,Metoda,Algorytm,DA_%,Kappa,Makro_PA_%,Makro_UA_%,Makro_F1_%,Niesklasyfikowane,Usuniete_px,Czas_s,Blad
134567_zbledami_L1C_roi,134567,zbledami,L1C,roi,1,kNN,random forest,60.4486,0.5238,74.2262,70.9565,66.2370,0,1173,47.2,
134567_zbledami_L1C_roi,134567,zbledami,L1C,roi,2,SAM,random forest,59.6222,0.5165,74.0530,68.8741,65.0055,0,1174,45.7,
134567_zbledami_L1C_roi,134567,zbledami,L1C,roi,3,Robust Mahalanobis,random forest,59.0319,0.5074,73.2091,70.1116,65.2446,0,2505,44.1,
134567_zbledami_L1C_roi,134567,zbledami,L1C,roi,4,IsolationForest,random forest,57.7332,0.4947,72.4416,68.4339,63.5773,0,1174,46.2,
134567_zbledami_L1C_roi,134567,zbledami,L1C,roi,5,Erosion,random forest,57.4970,0.4935,73.8898,71.0498,63.9447,0,1998,47.1,
134567_zbledami_L1C_roi,134567,zbledami,L1C,roi,6,MAD,random forest,57.0248,0.4848,71.6494,69.4907,63.4547,0,1718,45.1,
134567_zbledami_L1C_roi,134567,zbledami,L1C,roi,7,Band Z-score,random forest,56.4345,0.4833,71.2660,66.2992,60.9539,0,305,49.3,
134567_zbledami_L1C_roi,134567,zbledami,L1C,roi,8,PCA Mahalanobis,random forest,56.4345,0.4795,71.3255,68.7971,62.8684,0,2366,44.1,
134567_zbledami_L1C_roi,134567,zbledami,L1C,roi,9,EllipticEnvelope,random forest,56.3164,0.4819,72.0042,67.7074,61.7191,0,1179,46.2,
134567_zbledami_L1C_roi,134567,zbledami,L1C,roi,10,OneClassSVM,random forest,55.7261,0.4773,72.0943,66.7682,60.7992,0,1189,47.2,
134567_zbledami_L1C_roi,134567,zbledami,L1C,roi,11,IQR,random forest,55.4900,0.4682,71.4927,69.8666,62.6601,0,1601,45.7,
134567_zbledami_L1C_roi,134567,zbledami,L1C,roi,12,Percentile,random forest,53.0106,0.4417,69.4990,67.0503,59.9451,0,3423,44.6,
134567_zbledami_L1C_roi,134567,zbledami,L1C,roi,13,Mahalanobis,random forest,52.7745,0.4484,70.1777,65.4132,57.2079,0,499,48.3,
134567_zbledami_L1C_roi,134567,zbledami,L1C,roi,14,LOF,random forest,52.6564,0.4473,70.5869,66.3288,57.9095,0,1174,47.7,
134567_zbledami_L1C_roi,134567,zbledami,L1C,roi,15,HotellingT2,random forest,52.0661,0.4418,69.9112,65.4268,56.5182,0,454,48.3,
134567_zbledami_L1C_roi,134567,zbledami,L1C,roi,16,Poziom bazowy,random forest,51.7119,0.4377,69.2675,64.8101,56.0025,0,0,49.4,
134567_zbledami_L1C_roi,134567,zbledami,L1C,roi,17,GMM,random forest,51.5939,0.4347,68.5710,64.6172,55.7714,0,1174,49.8,
134567_zbledami_L1C_roi,134567,zbledami,L1C,roi,18,PCA Reconstruction,random forest,51.3577,0.4364,69.4134,64.6880,55.6248,0,1174,48.7,
