Run_ID,Wariant,Stan,Raster,Zakres,Lp.,Metoda,Algorytm,DA_%,Kappa,Makro_PA_%,Makro_UA_%,Makro_F1_%,Niesklasyfikowane,Usuniete_px,Czas_s,Blad
134567_zbledami_L2A_class,134567,zbledami,L2A,class,1,SAM,random forest,86.1865,0.8228,85.6982,82.5265,83.3884,0,1167,47.1,
134567_zbledami_L2A_class,134567,zbledami,L2A,class,2,IQR,random forest,85.9504,0.8215,86.7346,82.6388,84.0356,0,996,48.1,
134567_zbledami_L2A_class,134567,zbledami,L2A,class,3,IsolationForest,random forest,84.6517,0.8038,85.0014,81.4468,82.6503,0,1167,46.1,
134567_zbledami_L2A_class,134567,zbledami,L2A,class,4,Erosion,random forest,83.3530,0.7885,84.6738,80.2292,81.5988,0,2022,48.6,
134567_zbledami_L2A_class,134567,zbledami,L2A,class,5,MAD,random forest,82.6446,0.7816,84.7325,80.4397,81.4953,0,729,50.7,
134567_zbledami_L2A_class,134567,zbledami,L2A,class,6,Percentile,random forest,82.2904,0.7745,82.9447,77.9363,79.5258,0,3245,42.9,
134567_zbledami_L2A_class,134567,zbledami,L2A,class,7,Band Z-score,random forest,81.9362,0.7728,84.0766,79.3039,80.5640,0,195,51.3,
134567_zbledami_L2A_class,134567,zbledami,L2A,class,8,EllipticEnvelope,random forest,81.2279,0.7636,83.2335,80.0907,80.4384,0,1168,45.6,
134567_zbledami_L2A_class,134567,zbledami,L2A,class,9,OneClassSVM,random forest,80.8737,0.7589,82.6617,78.1724,79.1445,0,1171,46.6,
134567_zbledami_L2A_class,134567,zbledami,L2A,class,10,HotellingT2,random forest,80.6375,0.7569,82.6026,78.4582,79.0081,0,723,48.2,
134567_zbledami_L2A_class,134567,zbledami,L2A,class,11,Poziom bazowy,random forest,80.6375,0.7566,82.4756,77.5561,78.8682,0,0,56.0,
134567_zbledami_L2A_class,134567,zbledami,L2A,class,12,Mahalanobis,random forest,80.4014,0.7540,82.4197,78.0458,78.7619,0,596,49.2,
134567_zbledami_L2A_class,134567,zbledami,L2A,class,13,PCA Reconstruction,random forest,80.2834,0.7521,82.4897,77.8235,78.7905,0,1167,49.7,
134567_zbledami_L2A_class,134567,zbledami,L2A,class,14,PCA Mahalanobis,random forest,80.1653,0.7495,82.1874,78.8586,79.5395,0,2129,45.1,
134567_zbledami_L2A_class,134567,zbledami,L2A,class,15,LOF,random forest,79.5750,0.7424,81.2592,76.9956,77.6435,0,1167,51.7,
134567_zbledami_L2A_class,134567,zbledami,L2A,class,16,GMM,random forest,78.8666,0.7353,81.7229,77.1978,77.8065,0,1167,48.1,
134567_zbledami_L2A_class,134567,zbledami,L2A,class,17,kNN,random forest,76.8595,0.7101,80.0592,75.7910,76.3139,0,1167,45.6,
134567_zbledami_L2A_class,134567,zbledami,L2A,class,18,Robust Mahalanobis,random forest,76.1511,0.6968,79.2358,75.2037,76.3603,0,2413,43.8,
