Run_ID,Wariant,Stan,Raster,Zakres,Lp.,Metoda,Algorytm,DA_%,Kappa,Makro_PA_%,Makro_UA_%,Makro_F1_%,Niesklasyfikowane,Usuniete_px,Czas_s,Blad
134567_zbledami_L2A_roi,134567,zbledami,L2A,roi,1,Erosion,random forest,83.3530,0.7885,84.6738,80.2292,81.5988,0,2022,48.6,
134567_zbledami_L2A_roi,134567,zbledami,L2A,roi,2,Band Z-score,random forest,81.8182,0.7706,83.3231,78.5755,79.8343,0,255,52.8,
134567_zbledami_L2A_roi,134567,zbledami,L2A,roi,3,GMM,random forest,81.5821,0.7671,82.5041,77.1059,78.7981,0,1174,52.2,
134567_zbledami_L2A_roi,134567,zbledami,L2A,roi,4,Percentile,random forest,81.2279,0.7611,82.2671,78.3536,79.3048,0,3568,45.5,
134567_zbledami_L2A_roi,134567,zbledami,L2A,roi,5,Poziom bazowy,random forest,80.8737,0.7595,82.8501,77.6720,79.1343,0,0,54.9,
134567_zbledami_L2A_roi,134567,zbledami,L2A,roi,6,IQR,random forest,80.1653,0.7496,81.9978,77.3491,78.4051,0,1189,48.1,
134567_zbledami_L2A_roi,134567,zbledami,L2A,roi,7,OneClassSVM,random forest,79.2208,0.7398,82.0412,77.5752,78.1681,0,1178,49.7,
134567_zbledami_L2A_roi,134567,zbledami,L2A,roi,8,Mahalanobis,random forest,78.9847,0.7364,81.3343,76.9666,77.5485,0,501,51.2,
134567_zbledami_L2A_roi,134567,zbledami,L2A,roi,9,HotellingT2,random forest,78.9847,0.7360,81.0249,76.9036,77.4208,0,455,51.2,
134567_zbledami_L2A_roi,134567,zbledami,L2A,roi,10,LOF,random forest,78.3943,0.7302,81.5830,77.1322,77.5544,0,1174,49.6,
134567_zbledami_L2A_roi,134567,zbledami,L2A,roi,11,PCA Reconstruction,random forest,78.2763,0.7294,81.7614,77.0925,77.6994,0,1174,52.8,
134567_zbledami_L2A_roi,134567,zbledami,L2A,roi,12,IsolationForest,random forest,77.5679,0.7193,80.5322,76.5851,76.6906,0,1174,45.6,
134567_zbledami_L2A_roi,134567,zbledami,L2A,roi,13,kNN,random forest,77.0956,0.7141,80.4490,76.2008,76.4162,0,1174,47.6,
134567_zbledami_L2A_roi,134567,zbledami,L2A,roi,14,EllipticEnvelope,random forest,76.9776,0.7123,80.5245,75.6527,76.3352,0,1181,46.6,
134567_zbledami_L2A_roi,134567,zbledami,L2A,roi,15,SAM,random forest,76.8595,0.7107,80.5382,76.2076,76.4849,0,1174,47.2,
134567_zbledami_L2A_roi,134567,zbledami,L2A,roi,16,Robust Mahalanobis,random forest,76.1511,0.7017,80.0696,74.7954,75.9469,0,2493,46.0,
134567_zbledami_L2A_roi,134567,zbledami,L2A,roi,17,MAD,random forest,75.4427,0.6946,79.5034,75.8360,75.5081,0,1363,47.0,
134567_zbledami_L2A_roi,134567,zbledami,L2A,roi,18,PCA Mahalanobis,random forest,75.3247,0.6911,78.7105,75.5923,75.0608,0,2159,44.0,
