Run_ID,Wariant,Stan,Raster,Zakres,Lp.,Metoda,Algorytm,DA_%,Kappa,Makro_PA_%,Makro_UA_%,Makro_F1_%,Niesklasyfikowane,Usuniete_px,Czas_s,Blad
13456_poprawny_L2A_class,13456,poprawny,L2A,class,1,Band Z-score,random forest,86.5407,0.8050,86.1033,87.6201,85.8565,0,72,41.5,
13456_poprawny_L2A_class,13456,poprawny,L2A,class,2,kNN,random forest,86.4227,0.8033,86.0869,87.4267,85.7687,0,61,42.0,
13456_poprawny_L2A_class,13456,poprawny,L2A,class,3,PCA Reconstruction,random forest,86.4227,0.8031,86.1499,87.7269,85.9227,0,61,42.5,
13456_poprawny_L2A_class,13456,poprawny,L2A,class,4,EllipticEnvelope,random forest,86.4227,0.8030,86.1829,87.6655,85.9409,0,61,41.5,
13456_poprawny_L2A_class,13456,poprawny,L2A,class,5,Poziom bazowy,random forest,86.3046,0.8019,86.0375,87.1558,85.5753,0,0,42.2,
13456_poprawny_L2A_class,13456,poprawny,L2A,class,6,SAM,random forest,86.3046,0.8018,86.1005,87.3160,85.7087,0,61,42.0,
13456_poprawny_L2A_class,13456,poprawny,L2A,class,7,LOF,random forest,86.3046,0.8016,86.0375,87.3798,85.7206,0,61,42.0,
13456_poprawny_L2A_class,13456,poprawny,L2A,class,8,GMM,random forest,86.3046,0.8013,85.9415,87.6797,85.7697,0,61,42.6,
13456_poprawny_L2A_class,13456,poprawny,L2A,class,9,OneClassSVM,random forest,86.0685,0.7979,85.8292,87.3458,85.5473,0,79,42.0,
13456_poprawny_L2A_class,13456,poprawny,L2A,class,10,Mahalanobis,random forest,86.0685,0.7975,85.7498,87.6299,85.6463,0,352,41.5,
13456_poprawny_L2A_class,13456,poprawny,L2A,class,11,IsolationForest,random forest,85.9504,0.7963,85.6209,86.9182,85.2600,0,61,43.0,
13456_poprawny_L2A_class,13456,poprawny,L2A,class,12,HotellingT2,random forest,85.8323,0.7937,85.5415,87.6987,85.4995,0,480,42.5,
13456_poprawny_L2A_class,13456,poprawny,L2A,class,13,IQR,random forest,85.5962,0.7926,86.2949,86.7495,85.8731,0,820,41.1,
13456_poprawny_L2A_class,13456,poprawny,L2A,class,14,MAD,random forest,85.4782,0.7895,84.6560,86.8460,84.6343,0,758,41.4,
13456_poprawny_L2A_class,13456,poprawny,L2A,class,15,Percentile,random forest,85.0059,0.7812,83.6667,86.5829,84.0430,0,681,40.5,
13456_poprawny_L2A_class,13456,poprawny,L2A,class,16,PCA Mahalanobis,random forest,83.7072,0.7676,82.8235,85.4717,82.3137,0,1505,41.4,
13456_poprawny_L2A_class,13456,poprawny,L2A,class,17,Erosion,random forest,82.9988,0.7500,82.0771,86.0264,82.4894,0,2026,42.4,
13456_poprawny_L2A_class,13456,poprawny,L2A,class,18,Robust Mahalanobis,random forest,76.0331,0.6481,72.8430,80.7573,72.4215,0,2438,37.6,
