Run_ID,Wariant,Stan,Raster,Zakres,Lp.,Metoda,Algorytm,Klasa,PA_%,UA_%,F1_%
13456_zbledami_L1C_class,13456,zbledami,L1C,class,1,EllipticEnvelope,random forest,1,75.3086,96.5190,84.6047
13456_zbledami_L1C_class,13456,zbledami,L1C,class,1,EllipticEnvelope,random forest,3,91.6667,88.0000,89.7959
13456_zbledami_L1C_class,13456,zbledami,L1C,class,1,EllipticEnvelope,random forest,4,96.2025,78.3505,86.3636
13456_zbledami_L1C_class,13456,zbledami,L1C,class,1,EllipticEnvelope,random forest,5,94.3820,66.1417,77.7778
13456_zbledami_L1C_class,13456,zbledami,L1C,class,1,EllipticEnvelope,random forest,6,89.8876,100.0000,94.6746
13456_zbledami_L1C_class,13456,zbledami,L1C,class,2,PCA Mahalanobis,random forest,1,74.3210,96.4744,83.9609
13456_zbledami_L1C_class,13456,zbledami,L1C,class,2,PCA Mahalanobis,random forest,3,86.4583,93.2584,89.7297
13456_zbledami_L1C_class,13456,zbledami,L1C,class,2,PCA Mahalanobis,random forest,4,91.1392,84.7059,87.8049
13456_zbledami_L1C_class,13456,zbledami,L1C,class,2,PCA Mahalanobis,random forest,5,93.2584,59.4982,72.6477
13456_zbledami_L1C_class,13456,zbledami,L1C,class,2,PCA Mahalanobis,random forest,6,91.0112,98.7805,94.7368
13456_zbledami_L1C_class,13456,zbledami,L1C,class,3,Robust Mahalanobis,random forest,1,72.8395,96.7213,83.0986
13456_zbledami_L1C_class,13456,zbledami,L1C,class,3,Robust Mahalanobis,random forest,3,72.9167,95.8904,82.8402
13456_zbledami_L1C_class,13456,zbledami,L1C,class,3,Robust Mahalanobis,random forest,4,93.6709,75.5102,83.6158
13456_zbledami_L1C_class,13456,zbledami,L1C,class,3,Robust Mahalanobis,random forest,5,83.1461,57.1429,67.7346
13456_zbledami_L1C_class,13456,zbledami,L1C,class,3,Robust Mahalanobis,random forest,6,98.8764,78.5714,87.5622
13456_zbledami_L1C_class,13456,zbledami,L1C,class,4,SAM,random forest,1,58.5185,97.5309,73.1481
