Run_ID,Wariant,Stan,Raster,Zakres,Lp.,Metoda,Algorytm,DA_%,Kappa,Makro_PA_%,Makro_UA_%,Makro_F1_%,Niesklasyfikowane,Usuniete_px,Czas_s,Blad
14567_poprawny_L2A_roi,14567,poprawny,L2A,roi,1,PCA Mahalanobis,random forest,80.1598,0.7337,80.9856,77.9721,78.1116,0,1471,41.3,
14567_poprawny_L2A_roi,14567,poprawny,L2A,roi,2,HotellingT2,random forest,79.3609,0.7260,80.9696,77.6434,77.7157,0,170,41.9,
14567_poprawny_L2A_roi,14567,poprawny,L2A,roi,3,Robust Mahalanobis,random forest,79.3609,0.7242,80.6152,77.5580,77.5618,0,1949,41.3,
14567_poprawny_L2A_roi,14567,poprawny,L2A,roi,4,OneClassSVM,random forest,79.2277,0.7241,80.9918,77.7856,77.7618,0,601,41.9,
14567_poprawny_L2A_roi,14567,poprawny,L2A,roi,5,Poziom bazowy,random forest,79.0945,0.7229,80.8968,77.4811,77.5613,0,0,41.5,
14567_poprawny_L2A_roi,14567,poprawny,L2A,roi,6,IsolationForest,random forest,79.0945,0.7226,80.9807,77.6694,77.6859,0,69,42.4,
14567_poprawny_L2A_roi,14567,poprawny,L2A,roi,7,IQR,random forest,79.0945,0.7215,80.7275,77.7505,77.6225,0,746,41.9,
14567_poprawny_L2A_roi,14567,poprawny,L2A,roi,8,PCA Reconstruction,random forest,78.9614,0.7214,80.8350,77.5118,77.5005,0,69,41.9,
14567_poprawny_L2A_roi,14567,poprawny,L2A,roi,9,kNN,random forest,78.8282,0.7197,80.9079,77.5906,77.5482,0,69,41.9,
14567_poprawny_L2A_roi,14567,poprawny,L2A,roi,10,GMM,random forest,78.8282,0.7196,80.9079,77.5073,77.5314,0,69,42.4,
14567_poprawny_L2A_roi,14567,poprawny,L2A,roi,11,EllipticEnvelope,random forest,78.8282,0.7195,80.7227,77.4353,77.4045,0,69,41.9,
14567_poprawny_L2A_roi,14567,poprawny,L2A,roi,12,Mahalanobis,random forest,78.8282,0.7193,80.6721,77.4963,77.4030,0,193,42.5,
14567_poprawny_L2A_roi,14567,poprawny,L2A,roi,13,SAM,random forest,78.8282,0.7185,80.5708,77.4717,77.4255,0,69,41.9,
14567_poprawny_L2A_roi,14567,poprawny,L2A,roi,14,Band Z-score,random forest,78.6951,0.7177,80.9301,77.6450,77.5760,0,151,43.4,
14567_poprawny_L2A_roi,14567,poprawny,L2A,roi,15,MAD,random forest,78.6951,0.7155,80.3398,77.5495,77.2920,0,712,41.4,
14567_poprawny_L2A_roi,14567,poprawny,L2A,roi,16,LOF,random forest,78.1625,0.7100,80.3461,77.3919,77.1698,0,69,41.9,
14567_poprawny_L2A_roi,14567,poprawny,L2A,roi,17,Percentile,random forest,78.0293,0.7067,80.1151,77.3313,77.0496,0,546,42.4,
14567_poprawny_L2A_roi,14567,poprawny,L2A,roi,18,Erosion,random forest,74.5672,0.6616,77.5322,75.1759,74.3786,0,1668,41.3,
