Run_ID,Wariant,Stan,Raster,Zakres,Lp.,Metoda,Algorytm,DA_%,Kappa,Makro_PA_%,Makro_UA_%,Makro_F1_%,Niesklasyfikowane,Usuniete_px,Czas_s,Blad
1456_zbledami_L1C_roi,1456,zbledami,L1C,roi,1,Percentile,random forest,75.0999,0.6450,86.4579,80.0835,79.7756,0,3073,36.8,
1456_zbledami_L1C_roi,1456,zbledami,L1C,roi,2,SAM,random forest,72.3036,0.6110,85.4163,79.4028,78.0036,0,1025,37.4,
1456_zbledami_L1C_roi,1456,zbledami,L1C,roi,3,MAD,random forest,72.1704,0.6080,84.5998,79.7822,77.8087,0,1499,37.4,
1456_zbledami_L1C_roi,1456,zbledami,L1C,roi,4,PCA Reconstruction,random forest,71.9041,0.6065,84.8004,78.0919,76.9434,0,1025,38.9,
1456_zbledami_L1C_roi,1456,zbledami,L1C,roi,5,EllipticEnvelope,random forest,71.6378,0.6032,85.2651,79.4218,77.6231,0,1030,36.9,
1456_zbledami_L1C_roi,1456,zbledami,L1C,roi,6,LOF,random forest,71.5047,0.6013,85.0891,79.3919,77.6171,0,1025,37.9,
1456_zbledami_L1C_roi,1456,zbledami,L1C,roi,7,IQR,random forest,71.5047,0.5999,84.2911,79.8187,77.4596,0,1453,37.3,
1456_zbledami_L1C_roi,1456,zbledami,L1C,roi,8,Erosion,random forest,71.1052,0.5946,83.6938,78.0921,76.4321,0,1645,37.8,
1456_zbledami_L1C_roi,1456,zbledami,L1C,roi,9,PCA Mahalanobis,random forest,71.1052,0.5939,83.8081,79.6385,77.1837,0,2099,36.4,
1456_zbledami_L1C_roi,1456,zbledami,L1C,roi,10,OneClassSVM,random forest,70.9720,0.5946,84.6154,78.6276,76.7537,0,1038,37.4,
1456_zbledami_L1C_roi,1456,zbledami,L1C,roi,11,Robust Mahalanobis,random forest,70.9720,0.5934,84.0442,79.5476,77.0380,0,2191,36.3,
1456_zbledami_L1C_roi,1456,zbledami,L1C,roi,12,IsolationForest,random forest,70.9720,0.5934,84.1060,78.8760,76.8588,0,1025,36.3,
1456_zbledami_L1C_roi,1456,zbledami,L1C,roi,13,Band Z-score,random forest,70.8389,0.5937,84.7373,78.2702,76.5774,0,282,39.0,
1456_zbledami_L1C_roi,1456,zbledami,L1C,roi,14,kNN,random forest,70.7057,0.5908,83.7448,78.9157,76.3847,0,1024,37.3,
1456_zbledami_L1C_roi,1456,zbledami,L1C,roi,15,HotellingT2,random forest,70.3063,0.5867,83.9903,78.5825,76.1005,0,415,37.9,
1456_zbledami_L1C_roi,1456,zbledami,L1C,roi,16,Mahalanobis,random forest,70.1731,0.5854,84.1046,78.1094,75.8556,0,446,37.9,
1456_zbledami_L1C_roi,1456,zbledami,L1C,roi,17,GMM,random forest,69.6405,0.5797,83.8389,75.6359,74.6647,0,1025,39.4,
1456_zbledami_L1C_roi,1456,zbledami,L1C,roi,18,Poziom bazowy,random forest,69.1079,0.5716,82.3633,75.2953,73.8007,0,0,39.6,
