Run_ID,Wariant,Stan,Raster,Zakres,Lp.,Metoda,Algorytm,Klasa,PA_%,UA_%,F1_%
1456_zbledami_L1C_roi,1456,zbledami,L1C,roi,1,Percentile,random forest,1,56.7901,98.2906,71.9875
1456_zbledami_L1C_roi,1456,zbledami,L1C,roi,1,Percentile,random forest,4,97.4684,70.6422,81.9149
1456_zbledami_L1C_roi,1456,zbledami,L1C,roi,1,Percentile,random forest,5,97.1910,53.7267,69.2000
1456_zbledami_L1C_roi,1456,zbledami,L1C,roi,1,Percentile,random forest,6,94.3820,97.6744,96.0000
1456_zbledami_L1C_roi,1456,zbledami,L1C,roi,2,SAM,random forest,1,51.3580,99.5215,67.7524
1456_zbledami_L1C_roi,1456,zbledami,L1C,roi,2,SAM,random forest,4,98.7342,70.2703,82.1053
1456_zbledami_L1C_roi,1456,zbledami,L1C,roi,2,SAM,random forest,5,97.1910,50.1449,66.1568
1456_zbledami_L1C_roi,1456,zbledami,L1C,roi,2,SAM,random forest,6,94.3820,97.6744,96.0000
1456_zbledami_L1C_roi,1456,zbledami,L1C,roi,3,MAD,random forest,1,51.6049,99.0521,67.8571
1456_zbledami_L1C_roi,1456,zbledami,L1C,roi,3,MAD,random forest,4,97.4684,71.2963,82.3529
1456_zbledami_L1C_roi,1456,zbledami,L1C,roi,3,MAD,random forest,5,98.3146,50.0000,66.2879
1456_zbledami_L1C_roi,1456,zbledami,L1C,roi,3,MAD,random forest,6,91.0112,98.7805,94.7368
1456_zbledami_L1C_roi,1456,zbledami,L1C,roi,4,PCA Reconstruction,random forest,1,50.8642,100.0000,67.4304
1456_zbledami_L1C_roi,1456,zbledami,L1C,roi,4,PCA Reconstruction,random forest,4,96.2025,67.2566,79.1667
1456_zbledami_L1C_roi,1456,zbledami,L1C,roi,4,PCA Reconstruction,random forest,5,97.7528,50.7289,66.7946
1456_zbledami_L1C_roi,1456,zbledami,L1C,roi,4,PCA Reconstruction,random forest,6,94.3820,94.3820,94.3820
1456_zbledami_L1C_roi,1456,zbledami,L1C,roi,5,EllipticEnvelope,random forest,1,49.6296,99.5050,66.2273
1456_zbledami_L1C_roi,1456,zbledami,L1C,roi,5,EllipticEnvelope,random forest,4,98.7342,69.6429,81.6754
1456_zbledami_L1C_roi,1456,zbledami,L1C,roi,5,EllipticEnvelope,random forest,5,98.3146,49.7159,66.0377
1456_zbledami_L1C_roi,1456,zbledami,L1C,roi,5,EllipticEnvelope,random forest,6,94.3820,98.8235,96.5517
1456_zbledami_L1C_roi,1456,zbledami,L1C,roi,6,LOF,random forest,1,49.6296,100.0000,66.3366
1456_zbledami_L1C_roi,1456,zbledami,L1C,roi,6,LOF,random forest,4,97.4684,71.9626,82.7957
1456_zbledami_L1C_roi,1456,zbledami,L1C,roi,6,LOF,random forest,5,97.7528,49.0141,65.2908
1456_zbledami_L1C_roi,1456,zbledami,L1C,roi,6,LOF,random forest,6,95.5056,96.5909,96.0452
1456_zbledami_L1C_roi,1456,zbledami,L1C,roi,7,IQR,random forest,1,50.3704,99.5122,66.8852
