Run_ID,Wariant,Stan,Raster,Zakres,Lp.,Metoda,Algorytm,DA_%,Kappa,Makro_PA_%,Makro_UA_%,Makro_F1_%,Niesklasyfikowane,Usuniete_px,Czas_s,Blad
1456_zbledami_L2A_roi,1456,zbledami,L2A,roi,1,Poziom bazowy,random forest,92.4101,0.8824,93.5008,88.6828,90.5620,0,0,46.6,
1456_zbledami_L2A_roi,1456,zbledami,L2A,roi,2,PCA Reconstruction,random forest,92.4101,0.8819,93.7124,89.7018,91.1068,0,1025,45.4,
1456_zbledami_L2A_roi,1456,zbledami,L2A,roi,3,Band Z-score,random forest,92.1438,0.8778,93.3959,89.0953,90.7186,0,230,43.9,
1456_zbledami_L2A_roi,1456,zbledami,L2A,roi,4,OneClassSVM,random forest,91.6112,0.8692,92.4483,89.1672,90.0852,0,1025,42.9,
1456_zbledami_L2A_roi,1456,zbledami,L2A,roi,5,HotellingT2,random forest,91.6112,0.8691,92.4483,89.2777,90.2010,0,424,43.5,
1456_zbledami_L2A_roi,1456,zbledami,L2A,roi,6,EllipticEnvelope,random forest,91.4780,0.8670,92.1319,89.0335,89.8988,0,1032,40.9,
1456_zbledami_L2A_roi,1456,zbledami,L2A,roi,7,IQR,random forest,91.4780,0.8669,92.0531,89.1011,89.8925,0,1075,41.8,
1456_zbledami_L2A_roi,1456,zbledami,L2A,roi,8,GMM,random forest,91.3449,0.8662,92.7106,87.0642,89.2015,0,1025,46.5,
1456_zbledami_L2A_roi,1456,zbledami,L2A,roi,9,Mahalanobis,random forest,91.3449,0.8652,92.1057,88.8775,89.7252,0,459,43.9,
1456_zbledami_L2A_roi,1456,zbledami,L2A,roi,10,Robust Mahalanobis,random forest,91.2117,0.8626,91.6318,88.8902,89.5635,0,2180,39.8,
1456_zbledami_L2A_roi,1456,zbledami,L2A,roi,11,LOF,random forest,91.2117,0.8621,91.6935,89.1869,89.8708,0,1025,42.4,
1456_zbledami_L2A_roi,1456,zbledami,L2A,roi,12,kNN,random forest,91.0786,0.8600,91.6503,89.1282,89.7126,0,1025,41.3,
1456_zbledami_L2A_roi,1456,zbledami,L2A,roi,13,IsolationForest,random forest,89.8802,0.8405,90.2890,88.3566,88.5787,0,1025,40.5,
1456_zbledami_L2A_roi,1456,zbledami,L2A,roi,14,MAD,random forest,89.8802,0.8403,90.1486,88.4533,88.5424,0,1176,40.4,
1456_zbledami_L2A_roi,1456,zbledami,L2A,roi,15,Erosion,random forest,89.6138,0.8357,90.3507,88.2373,88.5988,0,1669,42.3,
1456_zbledami_L2A_roi,1456,zbledami,L2A,roi,16,SAM,random forest,89.3475,0.8320,90.1656,88.0876,88.3703,0,1025,40.9,
1456_zbledami_L2A_roi,1456,zbledami,L2A,roi,17,Percentile,random forest,88.9481,0.8256,89.4016,87.6334,87.7610,0,3203,40.3,
1456_zbledami_L2A_roi,1456,zbledami,L2A,roi,18,PCA Mahalanobis,random forest,88.1491,0.8112,88.1036,87.7282,86.9773,0,1891,38.7,
