Run_ID,Wariant,Stan,Raster,Zakres,Lp.,Metoda,Algorytm,Klasa,PA_%,UA_%,F1_%
1456_zbledami_L2A_roi,1456,zbledami,L2A,roi,1,Poziom bazowy,random forest,1,90.8642,98.1333,94.3590
1456_zbledami_L2A_roi,1456,zbledami,L2A,roi,1,Poziom bazowy,random forest,4,94.9367,69.4444,80.2139
1456_zbledami_L2A_roi,1456,zbledami,L2A,roi,1,Poziom bazowy,random forest,5,93.8202,93.8202,93.8202
1456_zbledami_L2A_roi,1456,zbledami,L2A,roi,1,Poziom bazowy,random forest,6,94.3820,93.3333,93.8547
1456_zbledami_L2A_roi,1456,zbledami,L2A,roi,2,PCA Reconstruction,random forest,1,90.8642,96.8421,93.7580
1456_zbledami_L2A_roi,1456,zbledami,L2A,roi,2,PCA Reconstruction,random forest,4,97.4684,70.0000,81.4815
1456_zbledami_L2A_roi,1456,zbledami,L2A,roi,2,PCA Reconstruction,random forest,5,93.2584,94.3182,93.7853
1456_zbledami_L2A_roi,1456,zbledami,L2A,roi,2,PCA Reconstruction,random forest,6,93.2584,97.6471,95.4023
1456_zbledami_L2A_roi,1456,zbledami,L2A,roi,3,Band Z-score,random forest,1,90.8642,96.8421,93.7580
1456_zbledami_L2A_roi,1456,zbledami,L2A,roi,3,Band Z-score,random forest,4,96.2025,70.3704,81.2834
1456_zbledami_L2A_roi,1456,zbledami,L2A,roi,3,Band Z-score,random forest,5,92.1348,93.7143,92.9178
1456_zbledami_L2A_roi,1456,zbledami,L2A,roi,3,Band Z-score,random forest,6,94.3820,95.4545,94.9153
1456_zbledami_L2A_roi,1456,zbledami,L2A,roi,4,OneClassSVM,random forest,1,90.8642,96.0836,93.4010
1456_zbledami_L2A_roi,1456,zbledami,L2A,roi,4,OneClassSVM,random forest,4,97.4684,68.1416,80.2083
1456_zbledami_L2A_roi,1456,zbledami,L2A,roi,4,OneClassSVM,random forest,5,91.5730,93.6782,92.6136
1456_zbledami_L2A_roi,1456,zbledami,L2A,roi,4,OneClassSVM,random forest,6,89.8876,98.7654,94.1176
1456_zbledami_L2A_roi,1456,zbledami,L2A,roi,5,HotellingT2,random forest,1,90.8642,95.8333,93.2826
1456_zbledami_L2A_roi,1456,zbledami,L2A,roi,5,HotellingT2,random forest,4,97.4684,69.3694,81.0526
1456_zbledami_L2A_roi,1456,zbledami,L2A,roi,5,HotellingT2,random forest,5,91.5730,93.1429,92.3513
1456_zbledami_L2A_roi,1456,zbledami,L2A,roi,5,HotellingT2,random forest,6,89.8876,98.7654,94.1176
1456_zbledami_L2A_roi,1456,zbledami,L2A,roi,6,EllipticEnvelope,random forest,1,90.8642,95.8333,93.2826
1456_zbledami_L2A_roi,1456,zbledami,L2A,roi,6,EllipticEnvelope,random forest,4,96.2025,67.8571,79.5812
1456_zbledami_L2A_roi,1456,zbledami,L2A,roi,6,EllipticEnvelope,random forest,5,91.5730,93.6782,92.6136
1456_zbledami_L2A_roi,1456,zbledami,L2A,roi,6,EllipticEnvelope,random forest,6,89.8876,98.7654,94.1176
